database	model	descr	ncurated	nllm	ninter	generatio	bgratio	non_hgcn	ndup	p_val	p_val_adj
KEGG_2021_Human	gpt-3.5-turbo-0125	Arrhythmogenic right ventricular cardiomyopathy	77	18	8	0.4444444444444444	0.0038798750377909905	1	0	1.5449103747810294e-15	4.943713199299294e-13
KEGG_2021_Human	gpt-3.5-turbo-0125	Ascorbate and aldarate metabolism	30	18	4	0.2222222222222222	0.001511639625113373	1	0	1.2865995548103634e-08	4.117118575393163e-06
KEGG_2021_Human	gpt-3.5-turbo-0125	Asthma	31	57	7	0.12280701754385964	0.001562027612617152	3	15	2.773362187277374e-12	8.874758999287596e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Autoimmune thyroid disease	53	7	4	0.5714285714285714	0.002670563337700292	0	0	1.5936364837829556e-09	5.099636748105458e-07
KEGG_2021_Human	gpt-3.5-turbo-0125	Autophagy	137	20	13	0.65	0.006903154288017736	6	0	3.671894243692872e-24	1.1750061579817191e-21
KEGG_2021_Human	gpt-3.5-turbo-0125	Axon guidance	182	20	20	1.0	0.009170613725687796	0	0	7.272515050092149e-42	2.3272048160294876e-39
KEGG_2021_Human	gpt-3.5-turbo-0125	B cell receptor signaling pathway	81	26	21	0.8076923076923077	0.004081426987806107	0	0	2.790010591590666e-47	8.928033893090132e-45
KEGG_2021_Human	gpt-3.5-turbo-0125	Bacterial invasion of epithelial cells	77	21	10	0.47619047619047616	0.0038798750377909905	1	0	1.4920499204011756e-19	4.774559745283762e-17
KEGG_2021_Human	gpt-3.5-turbo-0125	Basal cell carcinoma	63	14	7	0.5	0.003174443212738083	0	0	7.939432913734737e-15	2.540618532395116e-12
KEGG_2021_Human	gpt-3.5-turbo-0125	Basal transcription factors	45	29	9	0.3103448275862069	0.0022674594376700594	6	1	6.672657415322829e-18	2.1352503729033052e-15
KEGG_2021_Human	gpt-3.5-turbo-0125	Base excision repair	33	11	9	0.8181818181818182	0.0016628035876247102	0	3	1.6354296900716463e-24	5.233375008229268e-22
KEGG_2021_Human	gpt-3.5-turbo-0125	Bile secretion	90	32	17	0.53125	0.004534918875340119	3	4	1.6886068234040602e-32	5.403541834892992e-30
KEGG_2021_Human	gpt-3.5-turbo-0125	Biosynthesis of unsaturated fatty acids	27	8	6	0.75	0.0013604756626020356	0	0	9.836616362511169e-17	3.147717236003574e-14
KEGG_2021_Human	gpt-3.5-turbo-0125	Bladder cancer	41	20	9	0.45	0.002065907487654943	0	0	4.490789526928559e-20	1.4370526486171388e-17
KEGG_2021_Human	gpt-3.5-turbo-0125	Breast cancer	147	14	8	0.5714285714285714	0.007407034163055527	0	0	2.2939866361192862e-14	7.340757235581715e-12
KEGG_2021_Human	gpt-3.5-turbo-0125	Butanoate metabolism	28	23	14	0.6086956521739131	0.0014108636501058147	1	0	1.9798504296261192e-36	6.3355213748035815e-34
KEGG_2021_Human	gpt-3.5-turbo-0125	C-type lectin receptor signaling pathway	104	7	7	1.0	0.005240350700393026	0	0	9.170169562671174e-17	2.9344542600547754e-14
KEGG_2021_Human	gpt-3.5-turbo-0125	Caffeine metabolism	6	20	5	0.25	0.0003023279250226746	0	0	3.6308896809758716e-15	1.161884697912279e-12
KEGG_2021_Human	gpt-3.5-turbo-0125	Calcium signaling pathway	240	25	13	0.52	0.012093117000906983	0	0	4.564737955190637e-19	1.4607161456610038e-16
KEGG_2021_Human	gpt-3.5-turbo-0125	Carbohydrate digestion and absorption	47	10	5	0.5	0.0023682354126776176	3	0	1.511993761907856e-11	4.838380038105139e-09
KEGG_2021_Human	gpt-3.5-turbo-0125	Cardiac muscle contraction	87	20	13	0.65	0.0043837549128287814	0	0	6.916010695020341e-27	2.2131234224065093e-24
KEGG_2021_Human	gpt-3.5-turbo-0125	Cell adhesion molecules	148	75	33	0.44	0.007457422150559306	3	2	2.7638834208124215e-51	8.844426946599748e-49
KEGG_2021_Human	gpt-3.5-turbo-0125	Cell cycle	124	40	34	0.85	0.006248110450468608	1	0	3.651806113947441e-71	1.1685779564631812e-68
KEGG_2021_Human	gpt-3.5-turbo-0125	Cellular senescence	156	35	16	0.45714285714285713	0.007860526050589539	0	0	3.9088090924814923e-25	1.2508189095940776e-22
KEGG_2021_Human	gpt-3.5-turbo-0125	Central carbon metabolism in cancer	70	14	6	0.42857142857142855	0.003527159125264537	0	0	4.638619296546432e-12	1.4843581748948582e-09
KEGG_2021_Human	gpt-3.5-turbo-0125	Chagas disease	102	43	20	0.46511627906976744	0.005139574725385468	1	2	2.2093208933310442e-35	7.069826858659342e-33
KEGG_2021_Human	gpt-3.5-turbo-0125	Chemical carcinogenesis	239	24	13	0.5416666666666666	0.012042729013403204	0	0	2.094653495113451e-19	6.702891184363043e-17
KEGG_2021_Human	gpt-3.5-turbo-0125	Chemokine signaling pathway	192	33	33	1.0	0.009674493600725587	0	0	2.562597621588143e-68	8.200312389082057e-66
KEGG_2021_Human	gpt-3.5-turbo-0125	Cholesterol metabolism	50	8	5	0.625	0.002519399375188955	0	0	4.659209031290122e-12	1.490946890012839e-09
KEGG_2021_Human	gpt-3.5-turbo-0125	Choline metabolism in cancer	98	47	10	0.2127659574468085	0.0049380227753703515	1	2	2.516030604659008e-14	8.051297934908825e-12
KEGG_2021_Human	gpt-3.5-turbo-0125	Cholinergic synapse	113	14	9	0.6428571428571429	0.005693842587927038	0	0	9.352562032235198e-18	2.992819850315263e-15
KEGG_2021_Human	gpt-3.5-turbo-0125	Chronic myeloid leukemia	76	9	5	0.5555555555555556	0.0038294870502872114	0	0	9.143471165366424e-11	2.9259107729172556e-08
KEGG_2021_Human	gpt-3.5-turbo-0125	Circadian entrainment	97	17	3	0.17647058823529413	0.004887634787866572	9	0	7.429975623717115e-05	0.023775921995894768
KEGG_2021_Human	gpt-3.5-turbo-0125	Circadian rhythm	31	15	10	0.6666666666666666	0.001562027612617152	4	0	5.1663582568644905e-26	1.653234642196637e-23
KEGG_2021_Human	gpt-3.5-turbo-0125	Citrate cycle (TCA cycle)	30	17	17	1.0	0.001511639625113373	0	0	3.829034854049598e-51	1.2252911532958713e-48
KEGG_2021_Human	gpt-3.5-turbo-0125	Cocaine addiction	49	26	8	0.3076923076923077	0.0024690113876851758	2	2	1.1663796303841365e-15	3.732414817229237e-13
KEGG_2021_Human	gpt-3.5-turbo-0125	Collecting duct acid secretion	27	17	12	0.7058823529411765	0.0013604756626020356	1	0	1.4027508386600807e-32	4.488802683712258e-30
KEGG_2021_Human	gpt-3.5-turbo-0125	Colorectal cancer	86	15	10	0.6666666666666666	0.004333366925325002	0	0	4.187368362440464e-21	1.3399578759809485e-18
KEGG_2021_Human	gpt-3.5-turbo-0125	Complement and coagulation cascades	85	76	49	0.6447368421052632	0.004282978937821223	1	2	6.979365705945436e-104	2.2333970259025395e-101
KEGG_2021_Human	gpt-3.5-turbo-0125	Coronavirus disease	232	53	23	0.4339622641509434	0.01169001310087675	3	1	7.143696828589496e-31	2.285982985148639e-28
KEGG_2021_Human	gpt-3.5-turbo-0125	Cortisol synthesis and secretion	65	11	6	0.5454545454545454	0.0032752191877456413	0	1	4.531357463909776e-13	1.4500343884511283e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Cushing syndrome	155	15	9	0.6	0.00781013806308576	0	0	4.4111856851237855e-16	1.4115794192396114e-13
KEGG_2021_Human	gpt-3.5-turbo-0125	Cysteine and methionine metabolism	50	15	9	0.6	0.002519399375188955	0	0	9.655586607042215e-21	3.089787714253509e-18
KEGG_2021_Human	gpt-3.5-turbo-0125	Cytokine-cytokine receptor interaction	295	40	40	1.0	0.014864456313614834	0	1	9.12368359980849e-75	2.919578751938717e-72
KEGG_2021_Human	gpt-3.5-turbo-0125	Cytosolic DNA-sensing pathway	63	10	3	0.3	0.003174443212738083	5	0	3.635054756608058e-06	0.0011632175221145786
KEGG_2021_Human	gpt-3.5-turbo-0125	D-Glutamine and D-glutamate metabolism	5	19	4	0.21052631578947367	0.0002519399375188955	1	0	3.000401188461082e-12	9.601283803075463e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	DNA replication	36	19	19	1.0	0.0018139675501360475	0	0	2.4121904735342004e-55	7.719009515309441e-53
KEGG_2021_Human	gpt-3.5-turbo-0125	Diabetic cardiomyopathy	203	25	9	0.36	0.010228761463267157	1	0	1.9929159578926614e-12	6.377331065256516e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Dilated cardiomyopathy	96	12	12	1.0	0.004837246800362793	0	0	8.523796514012278e-29	2.727614884483929e-26
KEGG_2021_Human	gpt-3.5-turbo-0125	Dopaminergic synapse	132	48	25	0.5208333333333334	0.006651214350498841	2	0	1.0852215957947374e-42	3.4727091065431595e-40
KEGG_2021_Human	gpt-3.5-turbo-0125	Drug metabolism	108	21	17	0.8095238095238095	0.0054419026504081425	0	0	5.539079832845108e-36	1.7725055465104346e-33
KEGG_2021_Human	gpt-3.5-turbo-0125	ECM-receptor interaction	88	19	19	1.0	0.0044341429003325605	0	0	2.6280856154995284e-46	8.409873969598491e-44
KEGG_2021_Human	gpt-3.5-turbo-0125	Endocrine and other factor-regulated calcium reabsorption	53	8	7	0.875	0.002670563337700292	0	0	5.217225898556781e-18	1.6695122875381698e-15
KEGG_2021_Human	gpt-3.5-turbo-0125	Endocytosis	252	16	11	0.6875	0.012697772850952332	0	0	5.2818809110482404e-18	1.6902018915354369e-15
KEGG_2021_Human	gpt-3.5-turbo-0125	Endometrial cancer	58	24	13	0.5416666666666666	0.0029225032752191876	0	1	6.745432417252776e-28	2.1585383735208883e-25
KEGG_2021_Human	gpt-3.5-turbo-0125	Epithelial cell signaling in Helicobacter pylori infection	70	39	5	0.1282051282051282	0.003527159125264537	1	0	2.5197375250107685e-07	8.06316008003446e-05
KEGG_2021_Human	gpt-3.5-turbo-0125	Epstein-Barr virus infection	202	45	23	0.5111111111111111	0.010178373475763378	1	0	1.7769114364608024e-34	5.686116596674568e-32
KEGG_2021_Human	gpt-3.5-turbo-0125	ErbB signaling pathway	85	13	12	0.9230769230769231	0.004282978937821223	0	0	2.310398579871712e-28	7.393275455589478e-26
KEGG_2021_Human	gpt-3.5-turbo-0125	Estrogen signaling pathway	137	47	16	0.3404255319148936	0.006903154288017736	4	0	1.5094974273895267e-23	4.8303917676464855e-21
KEGG_2021_Human	gpt-3.5-turbo-0125	Ether lipid metabolism	49	36	6	0.16666666666666666	0.0024690113876851758	5	0	3.0827995819788826e-10	9.864958662332425e-08
KEGG_2021_Human	gpt-3.5-turbo-0125	Fanconi anemia pathway	54	15	10	0.6666666666666666	0.0027209513252040712	5	0	2.8052351025712925e-23	8.976752328228136e-21
KEGG_2021_Human	gpt-3.5-turbo-0125	Fat digestion and absorption	43	12	5	0.4166666666666667	0.002166683462662501	0	0	2.972003873337351e-11	9.510412394679523e-09
KEGG_2021_Human	gpt-3.5-turbo-0125	Fatty acid biosynthesis	18	14	3	0.21428571428571427	0.0009069837750680237	0	0	2.272270621966276e-07	7.271265990292083e-05
KEGG_2021_Human	gpt-3.5-turbo-0125	Fatty acid degradation	43	17	14	0.8235294117647058	0.002166683462662501	0	3	3.259085547699843e-36	1.0429073752639498e-33
KEGG_2021_Human	gpt-3.5-turbo-0125	Fatty acid elongation	27	12	6	0.5	0.0013604756626020356	0	0	3.2343022324397544e-15	1.0349767143807214e-12
KEGG_2021_Human	gpt-3.5-turbo-0125	Fc epsilon RI signaling pathway	68	51	27	0.5294117647058824	0.0034263831502569786	0	5	1.6629392881991864e-55	5.321405722237397e-53
KEGG_2021_Human	gpt-3.5-turbo-0125	Fc gamma R-mediated phagocytosis	97	17	14	0.8235294117647058	0.004887634787866572	1	0	1.1989255094973646e-30	3.8365616303915667e-28
KEGG_2021_Human	gpt-3.5-turbo-0125	Ferroptosis	41	27	10	0.37037037037037035	0.002065907487654943	2	0	3.6163913376090435e-21	1.157245228034894e-18
KEGG_2021_Human	gpt-3.5-turbo-0125	Fluid shear stress and atherosclerosis	139	5	2	0.4	0.0070039302630252945	1	0	0.0004871079829236334	0.1558745545355627
KEGG_2021_Human	gpt-3.5-turbo-0125	Focal adhesion	201	44	41	0.9318181818181818	0.010127985488259598	0	0	4.2956818094594216e-80	1.374618179027015e-77
KEGG_2021_Human	gpt-3.5-turbo-0125	Folate biosynthesis	26	9	2	0.2222222222222222	0.0013100876750982565	0	0	5.923461365180181e-05	0.01895507636857658
KEGG_2021_Human	gpt-3.5-turbo-0125	FoxO signaling pathway	131	27	20	0.7407407407407407	0.006600826362995062	0	0	5.2727743431830245e-39	1.687287789818568e-36
KEGG_2021_Human	gpt-3.5-turbo-0125	Fructose and mannose metabolism	33	14	4	0.2857142857142857	0.0016628035876247102	5	2	6.306992244081992e-09	2.0182375181062378e-06
KEGG_2021_Human	gpt-3.5-turbo-0125	GABAergic synapse	89	26	23	0.8846153846153846	0.00448453088783634	0	0	1.2490797156073352e-52	3.9970550899434724e-50
KEGG_2021_Human	gpt-3.5-turbo-0125	Galactose metabolism	31	8	5	0.625	0.001562027612617152	0	10	3.7274668122235903e-13	1.1927893799115488e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Gap junction	88	9	1	0.1111111111111111	0.0044341429003325605	0	0	0.03938609626133431	1.0
KEGG_2021_Human	gpt-3.5-turbo-0125	Gastric acid secretion	76	12	6	0.5	0.0038294870502872114	1	0	2.3936435638161432e-12	7.659659404211658e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Gastric cancer	149	9	7	0.7777777777777778	0.0075078101380630854	0	0	4.3717106430927865e-14	1.3989474057896917e-11
KEGG_2021_Human	gpt-3.5-turbo-0125	Glioma	75	22	13	0.5909090909090909	0.0037790990627834323	0	2	5.4371687972640944e-27	1.7398940151245104e-24
KEGG_2021_Human	gpt-3.5-turbo-0125	Glucagon signaling pathway	107	7	4	0.5714285714285714	0.005391514662904363	2	0	2.8207275018265032e-08	9.02632800584481e-06
KEGG_2021_Human	gpt-3.5-turbo-0125	Glutamatergic synapse	114	31	31	1.0	0.005744230575430817	0	1	4.669525061751682e-72	1.4942480197605384e-69
KEGG_2021_Human	gpt-3.5-turbo-0125	Glutathione metabolism	57	18	18	1.0	0.0028721152877154085	0	0	9.244597591326175e-48	2.958271229224376e-45
KEGG_2021_Human	gpt-3.5-turbo-0125	Glycerolipid metabolism	61	23	14	0.6086956521739131	0.003073667237730525	1	1	1.121424839897466e-30	3.588559487671891e-28
KEGG_2021_Human	gpt-3.5-turbo-0125	Glycerophospholipid metabolism	98	23	21	0.9130434782608695	0.0049380227753703515	0	2	1.0255692302243639e-47	3.2818215367179646e-45
KEGG_2021_Human	gpt-3.5-turbo-0125	Glycine, serine and threonine metabolism	40	19	7	0.3684210526315789	0.002015519500151164	2	1	3.895494651570729e-15	1.2465582885026333e-12
KEGG_2021_Human	gpt-3.5-turbo-0125	Glycolysis / Gluconeogenesis	67	47	30	0.6382978723404256	0.0033759951627531995	6	4	9.357809475110499e-66	2.99449903203536e-63
KEGG_2021_Human	gpt-3.5-turbo-0125	Glycosaminoglycan biosynthesis	53	30	24	0.8	0.002670563337700292	2	0	2.2085847804902224e-59	7.067471297568712e-57
KEGG_2021_Human	gpt-3.5-turbo-0125	Glycosaminoglycan degradation	19	16	13	0.8125	0.0009573717625718028	3	2	1.297034508914078e-39	4.150510428525049e-37
KEGG_2021_Human	gpt-3.5-turbo-0125	Glycosphingolipid biosynthesis	45	22	2	0.09090909090909091	0.0022674594376700594	15	13	0.0011333310644255183	0.36266594061616586
KEGG_2021_Human	gpt-3.5-turbo-0125	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	26	15	12	0.8	0.0013100876750982565	0	0	5.735541143849938e-34	1.8353731660319801e-31
KEGG_2021_Human	gpt-3.5-turbo-0125	Glyoxylate and dicarboxylate metabolism	30	16	7	0.4375	0.001511639625113373	0	0	9.704351797858656e-17	3.10539257531477e-14
KEGG_2021_Human	gpt-3.5-turbo-0125	GnRH secretion	64	8	4	0.5	0.003224831200241862	1	1	6.905104516640751e-09	2.2096334453250405e-06
KEGG_2021_Human	gpt-3.5-turbo-0125	GnRH signaling pathway	93	8	4	0.5	0.004686082837851456	3	1	3.1767215010328615e-08	1.0165508803305157e-05
KEGG_2021_Human	gpt-3.5-turbo-0125	Graft-versus-host disease	42	30	10	0.3333333333333333	0.002116295475158722	0	0	1.6825100965643938e-20	5.38403230900606e-18
KEGG_2021_Human	gpt-3.5-turbo-0125	Growth hormone synthesis, secretion and action	119	12	9	0.75	0.0059961705129497125	0	0	1.684235996452318e-18	5.389555188647418e-16
KEGG_2021_Human	gpt-3.5-turbo-0125	HIF-1 signaling pathway	109	17	10	0.5882352941176471	0.005492290637911922	0	0	3.2559183688165273e-19	1.0418938780212888e-16
KEGG_2021_Human	gpt-3.5-turbo-0125	Hedgehog signaling pathway	56	48	14	0.2916666666666667	0.0028217273002116294	0	0	1.6216824030738907e-25	5.18938368983645e-23
KEGG_2021_Human	gpt-3.5-turbo-0125	Hematopoietic cell lineage	99	54	33	0.6111111111111112	0.004988410762874131	1	1	1.5163592434159405e-64	4.852349578931009e-62
KEGG_2021_Human	gpt-3.5-turbo-0125	Hepatitis B	162	35	12	0.34285714285714286	0.008162853975612214	8	0	4.5273374090943954e-17	1.4487479709102066e-14
KEGG_2021_Human	gpt-3.5-turbo-0125	Hepatitis C	157	42	21	0.5	0.007910914038093318	7	0	1.005596188242293e-33	3.2179078023753374e-31
KEGG_2021_Human	gpt-3.5-turbo-0125	Hepatocellular carcinoma	168	20	12	0.6	0.008465181900634888	0	0	1.1953151913624673e-20	3.825008612359895e-18
KEGG_2021_Human	gpt-3.5-turbo-0125	Herpes simplex virus 1 infection	498	29	8	0.27586206896551724	0.02509321777688199	5	0	4.856089652451295e-07	0.00015539486887844144
KEGG_2021_Human	gpt-3.5-turbo-0125	Hippo signaling pathway	163	15	10	0.6666666666666666	0.008213241963115993	4	0	3.3251257520019732e-18	1.0640402406406314e-15
KEGG_2021_Human	gpt-3.5-turbo-0125	Histidine metabolism	22	10	1	0.1	0.0011085357250831401	0	0	0.01104489686335174	1.0
KEGG_2021_Human	gpt-3.5-turbo-0125	Homologous recombination	41	22	18	0.8181818181818182	0.002065907487654943	1	0	4.3215891129796553e-47	1.3829085161534898e-44
KEGG_2021_Human	gpt-3.5-turbo-0125	Human T-cell leukemia virus 1 infection	219	15	6	0.4	0.011034969263327622	0	0	8.293947452181702e-09	2.654063184698145e-06
KEGG_2021_Human	gpt-3.5-turbo-0125	Human cytomegalovirus infection	225	58	11	0.1896551724137931	0.011337297188350297	0	0	5.008332890346551e-11	1.6026665249108963e-08
KEGG_2021_Human	gpt-3.5-turbo-0125	Human immunodeficiency virus 1 infection	212	16	11	0.6875	0.010682253350801169	4	0	7.465079728005013e-19	2.3888255129616043e-16
KEGG_2021_Human	gpt-3.5-turbo-0125	Human papillomavirus infection	331	30	19	0.6333333333333333	0.01667842386375088	0	0	6.296381251560489e-27	2.0148420004993566e-24
KEGG_2021_Human	gpt-3.5-turbo-0125	Huntington disease	306	10	3	0.3	0.015418724176156404	0	0	0.0004206111139211343	0.13459555645476298
KEGG_2021_Human	gpt-3.5-turbo-0125	Hypertrophic cardiomyopathy	90	31	12	0.3870967741935484	0.004534918875340119	0	0	4.902589448487782e-21	1.5688286235160904e-18
KEGG_2021_Human	gpt-3.5-turbo-0125	IL-17 signaling pathway	94	19	13	0.6842105263157895	0.004736470825355235	6	0	7.169146932948582e-27	2.2941270185435463e-24
KEGG_2021_Human	gpt-3.5-turbo-0125	Inflammatory bowel disease	65	10	7	0.7	0.0032752191877456413	0	0	3.5295160081675375e-16	1.129445122613612e-13
KEGG_2021_Human	gpt-3.5-turbo-0125	Inflammatory mediator regulation of TRP channels	98	10	6	0.6	0.0049380227753703515	2	0	2.6427829739368902e-12	8.456905516598049e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Influenza A	172	40	25	0.625	0.008666733850650005	3	0	2.0357140834418154e-42	6.51428506701381e-40
KEGG_2021_Human	gpt-3.5-turbo-0125	Inositol phosphate metabolism	73	10	10	1.0	0.003678323087775874	0	0	2.473686694211939e-25	7.915797421478204e-23
KEGG_2021_Human	gpt-3.5-turbo-0125	Insulin resistance	108	14	12	0.8571428571428571	0.0054419026504081425	0	0	3.456791148803899e-26	1.1061731676172477e-23
KEGG_2021_Human	gpt-3.5-turbo-0125	Insulin secretion	86	15	11	0.7333333333333333	0.004333366925325002	1	2	7.350498027401188e-24	2.3521593687683803e-21
KEGG_2021_Human	gpt-3.5-turbo-0125	Insulin signaling pathway	137	25	18	0.72	0.006903154288017736	4	0	2.0782721399733326e-34	6.650470847914664e-32
KEGG_2021_Human	gpt-3.5-turbo-0125	Intestinal immune network for IgA production	48	22	6	0.2727272727272727	0.0024186234001813967	1	0	1.0641307895877124e-11	3.4052185266806795e-09
KEGG_2021_Human	gpt-3.5-turbo-0125	JAK-STAT signaling pathway	162	20	20	1.0	0.008162853975612214	0	0	6.040960206613056e-43	1.933107266116178e-40
KEGG_2021_Human	gpt-3.5-turbo-0125	Kaposi sarcoma-associated herpesvirus infection	193	16	4	0.25	0.009724881588229366	7	1	1.496024947884299e-05	0.004787279833229757
KEGG_2021_Human	gpt-3.5-turbo-0125	Legionellosis	57	16	9	0.5625	0.0028721152877154085	0	2	7.917518147552944e-20	2.533605807216942e-17
KEGG_2021_Human	gpt-3.5-turbo-0125	Leishmaniasis	77	30	11	0.36666666666666664	0.0038798750377909905	0	0	7.647456974752389e-20	2.4471862319207647e-17
KEGG_2021_Human	gpt-3.5-turbo-0125	Leukocyte transendothelial migration	114	19	11	0.5789473684210527	0.005744230575430817	0	0	1.0610891091901206e-20	3.395485149408386e-18
KEGG_2021_Human	gpt-3.5-turbo-0125	Linoleic acid metabolism	29	15	5	0.3333333333333333	0.0014612516376095938	0	0	1.3868562579103932e-11	4.437940025313258e-09
KEGG_2021_Human	gpt-3.5-turbo-0125	Lipid and atherosclerosis	215	25	12	0.48	0.010833417313312506	0	0	1.0034604914163246e-17	3.211073572532239e-15
KEGG_2021_Human	gpt-3.5-turbo-0125	Long-term depression	60	14	6	0.42857142857142855	0.003023279250226746	0	0	1.7719600641286753e-12	5.670272205211761e-10
KEGG_2021_Human	gpt-3.5-turbo-0125	Long-term potentiation	67	24	18	0.75	0.0033759951627531995	0	0	3.736196299688485e-41	1.1955828159003152e-38
KEGG_2021_Human	gpt-3.5-turbo-0125	Longevity regulating pathway	102	10	7	0.7	0.005139574725385468	3	0	9.438962759596615e-15	3.020468083070917e-12
KEGG_2021_Human	gpt-3.5-turbo-0125	Lysine degradation	63	17	5	0.29411764705882354	0.003174443212738083	0	0	1.6734965440734817e-09	5.355188941035141e-07
KEGG_2021_Human	gpt-3.5-turbo-0125	Lysosome	128	16	12	0.75	0.006449662400483724	0	0	5.878520363723275e-24	1.881126516391448e-21
KEGG_2021_Human	gpt-3.5-turbo-0125	MAPK signaling pathway	294	21	21	1.0	0.014814068326111055	0	0	2.5542447035688185e-39	8.17358305142022e-37
KEGG_2021_Human	gpt-3.5-turbo-0125	Malaria	50	13	5	0.38461538461538464	0.002519399375188955	1	0	1.0606803702324495e-10	3.394177184743838e-08
KEGG_2021_Human	gpt-3.5-turbo-0125	Mannose type O-glycan biosynthesis	23	25	0	0.0	0.0011589237125869192	3	0	1.0	1.0
