model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method
gpt-3.5-turbo-0125	KEGG_2021_Human	Olfactory transduction, Primary bile acid biosynthesis	Olfactory transduction, Primary bile acid biosynthesis	System of unrelated proteins	0.0	0.0	0.24744079834407123	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Arachidonic acid metabolism, Wnt signaling pathway	Arachidonic acid metabolism, Wnt signaling pathway	Wnt signaling pathway modulation	0.5	0.4	0.5969419639282731	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, Purine metabolism	Antigen processing and presentation, Purine metabolism	Antigen Processing and Presentation	0.6666666666666666	0.6	0.7465179849846693	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	DNA replication, TGF-beta signaling pathway	DNA replication, TGF-beta signaling pathway	Transforming growth factor beta (TGF-β) signaling cascade	0.5	0.0	0.6520686898897021	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Porphyrin and chlorophyll metabolism, Purine metabolism	Porphyrin and chlorophyll metabolism, Purine metabolism	Metabolic Regulation and Signaling Cascade	0.3333333333333333	0.0	0.40434391598464114	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid degradation, Wnt signaling pathway	Fatty acid degradation, Wnt signaling pathway	Wnt signaling pathway modulation	0.5	0.4	0.5884221950464097	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Hedgehog signaling pathway, Notch signaling pathway	Hedgehog signaling pathway, Notch signaling pathway	Hedgehog signaling pathway regulation	0.5	0.4	0.7114663299711153	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Porphyrin and chlorophyll metabolism, Steroid hormone biosynthesis	Porphyrin and chlorophyll metabolism, Steroid hormone biosynthesis	Heme biosynthesis and steroid metabolism	0.5714285714285714	0.0	0.8002995258322981	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine and proline metabolism, Sulfur metabolism	Arginine and proline metabolism, Sulfur metabolism	Polyamine Metabolism and Nitric Oxide Signaling	0.3333333333333333	0.0	0.5786915472678795	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid degradation, Vitamin B6 metabolism	Fatty acid degradation, Vitamin B6 metabolism	Fatty acid metabolism and beta-oxidation	0.5	0.2	0.6467549865744204	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	TGF-beta signaling pathway, Wnt signaling pathway	TGF-beta signaling pathway, Wnt signaling pathway	Wnt signaling pathway regulation	0.42857142857142855	0.3333333333333333	0.6179467067462548	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Porphyrin and chlorophyll metabolism, Primary bile acid biosynthesis	Porphyrin and chlorophyll metabolism, Primary bile acid biosynthesis	Heme Biosynthesis and Cholesterol Metabolism	0.375	0.0	0.6789657211153699	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Axon guidance, Glycosaminoglycan biosynthesis	Axon guidance, Glycosaminoglycan biosynthesis	Regulation of Cytoskeletal Dynamics and Cell Migration	0.0	0.0	0.33634801009266596	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Sphingolipid metabolism, Wnt signaling pathway	Sphingolipid metabolism, Wnt signaling pathway	Wnt signaling pathway regulation	0.6	0.5	0.5827522410161844	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	MAPK signaling pathway, T cell receptor signaling pathway	MAPK signaling pathway, T cell receptor signaling pathway	Cell Signaling Cascade	0.25	0.0	0.5222717921541267	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	GABAergic synapse, Glycerophospholipid metabolism	GABAergic synapse, Glycerophospholipid metabolism	System of unrelated proteins	0.0	0.0	0.29699800728090797	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Axon guidance, TGF-beta signaling pathway	Axon guidance, TGF-beta signaling pathway	Cellular Growth and Differentiation Signaling	0.16666666666666666	0.0	0.502699750185425	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	GABAergic synapse, Hedgehog signaling pathway	GABAergic synapse, Hedgehog signaling pathway	Hedgehog Signaling Pathway	0.6	0.5	0.6729649759003046	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	DNA replication, Wnt signaling pathway	DNA replication, Wnt signaling pathway	Wnt signaling pathway regulation	0.6	0.5	0.6428608223176108	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Non-homologous end-joining, Renin-angiotensin system	Non-homologous end-joining, Renin-angiotensin system	Peptide processing and DNA repair	0.0	0.0	0.4660471902738573	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine and proline metabolism, Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Arginine and proline metabolism, Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Polyamine metabolism and oxidative stress response  	0.25	0.0	0.5342856526204617	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Base excision repair, Fatty acid degradation	Base excision repair, Fatty acid degradation	DNA repair and maintenance	0.16666666666666666	0.0	0.52105319785365	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	DNA replication, Renin-angiotensin system	DNA replication, Renin-angiotensin system	DNA Replication and Repair	0.4	0.25	0.595491094680562	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	GABAergic synapse, MAPK signaling pathway	GABAergic synapse, MAPK signaling pathway	Cell Signaling Pathway Mediation	0.4	0.25	0.494710649108705	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Axon guidance, Notch signaling pathway	Axon guidance, Notch signaling pathway	Neurite outgrowth and axon guidance	0.4	0.25	0.5192678133732405	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, T cell receptor signaling pathway	Antigen processing and presentation, T cell receptor signaling pathway	Immune response and signaling cascade	0.2222222222222222	0.0	0.5102732860520324	GSAI
gpt-3.5-turbo-0125	KEGG_2021_Human	Olfactory transduction, Steroid hormone biosynthesis	Olfactory transduction, Steroid hormone biosynthesis	Olfactory transduction, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Calcium signaling pathway	0.4	0.25	0.6942191504293536	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid elongation, MAPK signaling pathway	Fatty acid elongation, MAPK signaling pathway	Positive regulation of ERK1 and ERK2 cascade, MAPK signaling pathway, Regulation of MAP kinase activity, Positive regulation of cell proliferation by VEGF signaling pathway, ErbB signaling pathway, Positive regulation of MAPK cascade, Response to lipopolysaccharide, Positive regulation of ERK5 cascade, Positive regulation of protein phosphorylation, Negative regulation of JNK cascade, Ras signaling pathway, Cellular response to fibroblast growth factor stimulus, Positive regulation of cell proliferation, Activation of MAPKKK activity, Cellular response to epidermal growth factor stimulus, EGFR signaling pathway, Cellular response to growth factor stimulus, Cellular response to insulin stimulus, Positive regulation of MAPKKK cascade, Inflammatory response, Positive regulation of GTPase activity, Positive regulation of protein kinase activity, Cellular response to TGF-beta stimulus, Positive regulation of gene expression, Positive regulation of NF-kappaB transcription factor activity, Positive regulation of MAP kinase activity, Regulation of cytokine production, Positive regulation of NIK/NF-kappaB signaling, Apoptotic process, Positive regulation of DNA-binding transcription factor activity	0.5	0.4	0.5039516129303544	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Sphingolipid metabolism, Tryptophan metabolism	Sphingolipid metabolism, Tryptophan metabolism	Glycosphingolipid metabolism, Sphingolipid biosynthetic process, Sphingosine biosynthetic process, Tryptophan metabolism, Ceramide metabolic process, Sphingoid base biosynthetic process, Ceramide biosynthetic process, Ceramide catabolic process, Sphingolipid catabolic process, Globoside biosynthetic process, Glycosphingolipid catabolic process, Sphingomyelin metabolism, Sphingosine metabolic process, Sphingomyelin catabolic process, Ganglioside catabolic process, Melatonin biosynthesis, Galactosylceramide biosynthetic process, Sphingomyelin biosynthetic process, Serotonin biosynthesis, Acyl-CoA metabolic process, Ganglioside biosynthetic process, Galactosylceramide metabolic process, Glycolipid metabolism, Sphingolipid metabolism, Galactosylceramide catabolic process, Histidine metabolism, Lysosome	1.0	0.6666666666666666	0.7250122413428561	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, TGF-beta signaling pathway	Antigen processing and presentation, TGF-beta signaling pathway	TGF-beta signaling pathway, BMP signaling pathway, Protein folding, Positive regulation of cell proliferation	0.5	0.42857142857142855	0.6501300197419417	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Steroid hormone biosynthesis, Wnt signaling pathway	Steroid hormone biosynthesis, Wnt signaling pathway	Wnt signaling pathway, Negative regulation of Wnt signaling pathway, Regulation of androgen and estrogen production, Negative regulation of canonical Wnt signaling pathway, Negative regulation of canonical Wnt signaling pathway, Negative regulation of TCF-dependent signaling, Response to steroid hormone, Regulation of steroid biosynthetic process	0.8333333333333334	0.6	0.7223258005917594	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Cholesterol metabolism, Olfactory transduction	Cholesterol metabolism, Olfactory transduction	Detection of chemical stimulus involved in sensory perception of smell, Olfactory receptor activity, Olfactory transduction, Sensory perception of smell	0.5	0.3333333333333333	0.6008315324474856	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid degradation, Glycerophospholipid metabolism	Fatty acid degradation, Glycerophospholipid metabolism	Glycerophospholipid biosynthetic process, Phospholipase A2 biochemical pathways, Lysophospholipid acyltransferase activity, Alcohol dehydrogenase activity, Glycerolipid metabolic process	0.4	0.0	0.633980468736264	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Arachidonic acid metabolism, Hedgehog signaling pathway	Arachidonic acid metabolism, Hedgehog signaling pathway	Arachidonic acid metabolism, Hedgehog signaling pathway	1.0	1.0	0.9999990797065623	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycosaminoglycan biosynthesis, T cell receptor signaling pathway	Glycosaminoglycan biosynthesis, T cell receptor signaling pathway	T cell receptor signaling pathway, Glycosaminoglycan biosynthesis - heparan sulfate / heparin, NF-kappa B signaling pathway, Fc epsilon RI signaling pathway, MAPK signaling pathway	1.0	0.8333333333333334	0.7320339150967216	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycerophospholipid metabolism, Tryptophan metabolism	Glycerophospholipid metabolism, Tryptophan metabolism	Glycerophospholipid metabolism, Choline metabolism, Arachidonic acid metabolism, Fatty acid biosynthesis	0.75	0.3333333333333333	0.7626762161972618	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Tryptophan metabolism, Tyrosine metabolism	Tryptophan metabolism, Tyrosine metabolism	Tryptophan metabolism, Alcohol metabolic process, Melatonin biosynthesis, Tryptamine metabolism, Dopamine metabolism, Kynurenine pathway, Catecholamine biosynthetic process, Amino acid metabolism, Mitochondrial fatty acid beta-oxidation, Enzyme activity, Hormone biosynthesis, Tyrosine metabolism	1.0	0.6666666666666666	0.7450582260882592	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Axon guidance, mTOR signaling pathway	Axon guidance, mTOR signaling pathway	Wnt signaling pathway, Ras signaling pathway, MAPK signaling pathway	0.4	0.25	0.5283382662406476	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine and proline metabolism, Hedgehog signaling pathway	Arginine and proline metabolism, Hedgehog signaling pathway	Negative regulation of smoothened signaling pathway, Proline biosynthetic process, Regulation of protein kinases activity, Cyclin-dependent protein serine/threonine kinase holoenzyme complex	0.42857142857142855	0.16666666666666666	0.6179717917742482	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Homologous recombination, Tyrosine metabolism	Homologous recombination, Tyrosine metabolism	Homologous recombination, Response to DNA damage stimulus, DNA repair	0.5	0.3333333333333333	0.6279193593491623	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, Fatty acid degradation	Antigen processing and presentation, Fatty acid degradation	Antigen processing and presentation, Fatty acid beta-oxidation, Alcohol metabolism, Heat shock protein binding	0.8571428571428571	0.8333333333333334	0.7960566667871061	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Notch signaling pathway, Purine metabolism	Notch signaling pathway, Purine metabolism	Notch signaling pathway	0.6	0.5	0.7548442677885863	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	DNA replication, Purine metabolism	DNA replication, Purine metabolism	Purine metabolism, Pyrimidine metabolism, Guanine nucleotide biosynthesis, Cytosolic ribonucleoside-diphosphate reductase complex, Ribonucleoside-diphosphate reductase complex	0.5	0.3333333333333333	0.705410850096983	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, Sphingolipid metabolism	Antigen processing and presentation, Sphingolipid metabolism	Antigen processing and presentation, Sphingolipid metabolism, Phagosome, Lysosome	1.0	1.0	0.8961804757593201	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine and proline metabolism, Cholesterol metabolism	Arginine and proline metabolism, Cholesterol metabolism	Lipoprotein catabolic process, Cholesterol metabolism, Cholesterol homeostasis	0.3333333333333333	0.4	0.5330902423209354	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Base excision repair, T cell receptor signaling pathway	Base excision repair, T cell receptor signaling pathway	Base excision repair, PI3K-Akt signaling pathway, MAPK signaling pathway, NF-kappa B signaling pathway	0.625	0.42857142857142855	0.7728463207713093	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Renin-angiotensin system, Sulfur metabolism	Renin-angiotensin system, Sulfur metabolism	Renin-angiotensin system pathway, Peptidase activity	0.6	0.5	0.6421574386928341	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Notch signaling pathway, Vitamin B6 metabolism	Notch signaling pathway, Vitamin B6 metabolism	Notch signaling pathway, Positive regulation of Notch signaling pathway, Regulation of Notch signaling pathway, Negative regulation of Notch signaling pathway, Regulation of transcription by RNA polymerase II	0.5	0.4	0.6052278024436661	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Glycosaminoglycan biosynthesis, Wnt signaling pathway	Glycosaminoglycan biosynthesis, Wnt signaling pathway	Wnt signaling pathway, Glycosaminoglycan biosynthesis, Calcium signaling pathway, MAPK signaling pathway	1.0	0.75	0.8036854512863166	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Glutathione metabolism, Sphingolipid metabolism	Glutathione metabolism, Sphingolipid metabolism	Glutathione metabolism, Sphingolipid metabolism	1.0	1.0	1.0000001688491942	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Olfactory transduction, Primary bile acid biosynthesis	Olfactory transduction, Primary bile acid biosynthesis	Olfactory transduction	0.3333333333333333	0.2	0.6808669283450266	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Arachidonic acid metabolism, Wnt signaling pathway	Arachidonic acid metabolism, Wnt signaling pathway	Wnt signaling pathway, Cell cycle, Calcium signaling pathway	0.5	0.4	0.6450333581015089	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Antigen processing and presentation, Purine metabolism	Antigen processing and presentation, Purine metabolism	Regulation of cAMP metabolic process, MHC class II protein complex, cAMP signaling pathway, MHC protein complex, Cyclic nucleotide signaling pathway, Major histocompatibility complex class II protein complex, Purine ribonucleoside monophosphate metabolic process	0.5	0.0	0.5599393765227797	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	DNA replication, TGF-beta signaling pathway	DNA replication, TGF-beta signaling pathway	BMP signaling pathway, Cellular response to transforming growth factor beta stimulus, Cellular response to BMP stimulus, Regulation of DNA replication, Negative regulation of BMP signaling pathway	0.8333333333333334	0.4	0.6589674628738382	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Porphyrin and chlorophyll metabolism, Purine metabolism	Porphyrin and chlorophyll metabolism, Purine metabolism	Purine ribonucleosides degradation, Purine metabolism, GMP biosynthesis, Pyrimidine metabolism, Adenine and adenosine salvage I	0.6666666666666666	0.2	0.6104345380677688	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid degradation, Wnt signaling pathway	Fatty acid degradation, Wnt signaling pathway	Regulation of Wnt signaling pathway, Wnt signaling pathway, Mitochondrial fatty acid beta-oxidation, Fatty acid beta-oxidation, Mitochondrial long-chain fatty acid beta-oxidation, Negative regulation of canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation, Negative regulation of canonical Wnt signaling pathway involved in positive regulation of osteoblast differentiation, Negative regulation of canonical Wnt signaling pathway, Negative regulation of canonical Wnt signaling pathway involved in cardiac cell fate commitment, Beta-catenin destruction complex, Axin-APC-beta-catenin complex assembly, Positive regulation of DNA-binding transcription factor activity, Non-canonical Wnt signaling pathway, Response to fluid shear stress, Regulation of epithelial cell proliferation, Regulation of intrinsic apoptotic signaling pathway, Adherens junction, Regulation of cell morphogenesis	0.8333333333333334	0.6	0.654790451389322	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Hedgehog signaling pathway, Notch signaling pathway	Hedgehog signaling pathway, Notch signaling pathway	Notch signaling pathway, Hedgehog signaling pathway, Cellular response to hedgehog signaling, Cullin-RING ubiquitin ligase complex	1.0	0.8	0.7499351552766906	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Porphyrin and chlorophyll metabolism, Steroid hormone biosynthesis	Porphyrin and chlorophyll metabolism, Steroid hormone biosynthesis	Androgen and estrogen metabolism, Estrogen biosynthesis, Steroid hormone biosynthetic process, Heme biosynthetic process, C21-steroid hormone biosynthetic process	0.7142857142857143	0.16666666666666666	0.6710204278035724	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Arginine and proline metabolism, Sulfur metabolism	Arginine and proline metabolism, Sulfur metabolism	Arginine and proline metabolism, Nitric oxide signaling pathway, Alanine, aspartate and glutamate metabolism	0.8333333333333334	0.6	0.7718682407050393	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Fatty acid degradation, Vitamin B6 metabolism	Fatty acid degradation, Vitamin B6 metabolism	Fatty acid beta-oxidation, Fatty acid beta-oxidation, Fatty acid beta-oxidation, Fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Fatty acid beta-oxidation, Fatty acid beta-oxidation using acyl-CoA dehydrogenase, Mitochondrial fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Long-chain fatty-acyl-CoA biosynthetic process, Fatty acid beta-oxidation using acyl-CoA dehydrogenase, Fatty acid beta-oxidation, Fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation multienzyme complex, Mitochondrial fatty acid beta-oxidation multienzyme complex, Mitochondrial fatty acid beta-oxidation multienzyme complex, Mitochondrial fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Fatty acid beta-oxidation, Fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation multienzyme complex, Acetyl-CoA metabolic process, Acetyl-CoA metabolic process, Fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Mitochondrial fatty acid beta-oxidation, Acyl-CoA dehydrogenase activity, Mitochondrial fatty acid beta-oxidation multienzyme complex, Acyl-CoA dehydrogenase activity, Mitochondrial fatty acid beta-oxidation multienzyme complex, Mitochondrial fatty acid beta-oxidation multienzyme complex, Mitochondrial fatty acid beta-oxidation multienzyme complex, Long-chain fatty-acyl-CoA biosynthetic process, Fatty acid metabolic process, Mitochondrial long-chain fatty acid import, Mitochondrial fatty acid beta-oxidation multienzyme complex, Mitochondrial long-chain fatty acid import, Mitochondrial long-chain fatty acid import, Mitochondrial fatty acid beta-oxidation, Carnitine shuttle, Response to ethanol, Mitochondrial long-chain fatty acid import, Mitochondrial long-chain fatty acid import, Mitochondrial long-chain fatty acid import, Mitochondrial long-chain fatty acid import, Response to alcohol, Response to ethanol, Peroxisomal acyl-CoA dehydrogenase activity, Acyl-CoA dehydrogenase activity, Acyl-CoA dehydrogenase activity, Mitochondrial acetyl-CoA biosynthetic process from pyruvate, Acyl-CoA dehydrogenase activity, Fatty acid beta-oxidation using acyl-CoA dehydrogenase, Acyl-CoA dehydrogenase activity, Acyl-CoA dehydrogenase activity, Acyl-CoA dehydrogenase activity, Long-chain fatty-acyl-CoA biosynthetic process, Peroxisomal matrix, fatty acyl-CoA biosynthetic process, Mitochondrial long-chain fatty acid import, Mitochondrial long-chain fatty acid import, Acyl-CoA dehydrogenase activity, Acyl-CoA dehydrogenase activity, Acyl-CoA dehydrogenase activity, Response to alcohol, Mitochondrial long-chain fatty acid import, Mitochondrial long-chain fatty acid import, Mitochondrial matrix	0.5	0.2	0.5240142919192244	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	TGF-beta signaling pathway, Wnt signaling pathway	TGF-beta signaling pathway, Wnt signaling pathway	Wnt signaling pathway, TGF-beta signaling pathway, Rac signaling pathway	1.0	0.8333333333333334	0.8044771380432081	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Porphyrin and chlorophyll metabolism, Primary bile acid biosynthesis	Porphyrin and chlorophyll metabolism, Primary bile acid biosynthesis	Heme biosynthesis, Heme catabolism, Porphyrin and chlorophyll metabolism, Steroid hormone biosynthesis, Cholesterol metabolism	0.625	0.42857142857142855	0.7420231065104541	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Axon guidance, Glycosaminoglycan biosynthesis	Axon guidance, Glycosaminoglycan biosynthesis	Axon guidance, Glycosaminoglycan biosynthesis, PI3K-Akt signaling pathway, Ras signaling pathway	1.0	1.0	0.79429844463347	LLM2geneset
gpt-3.5-turbo-0125	KEGG_2021_Human	Sphingolipid metabolism, Wnt signaling pathway	Sphingolipid metabolism, Wnt signaling pathway	Positive regulation of canonical Wnt signaling pathway, Regulation of Wnt signaling pathway, Cellular response to Wnt stimulus, Wnt signaling pathway, Negative regulation of canonical Wnt signaling pathway, Negative regulation of AXIN-binding, Positive regulation of protein neddylation via conjugation with 'head-to-tail' poly-NEDD8, Positive regulation of transcription by RNA polymerase II, Positive regulation of osteoblast differentiation, Positive regulation of protein dephosphorylation, Negative regulation of transcription by RNA polymerase II	0.6	0.5	0.5337132721966205	LLM2geneset
