lib_name	descr	num_genes
KEGG_2021_Human	Sphingolipid signaling pathway	119
KEGG_2021_Human	Spinocerebellar ataxia	143
KEGG_2021_Human	Spliceosome	150
KEGG_2021_Human	Staphylococcus aureus infection	95
KEGG_2021_Human	Starch and sucrose metabolism	36
KEGG_2021_Human	Steroid biosynthesis	20
KEGG_2021_Human	Steroid hormone biosynthesis	61
KEGG_2021_Human	Sulfur metabolism	10
KEGG_2021_Human	Sulfur relay system	8
KEGG_2021_Human	Synaptic vesicle cycle	78
KEGG_2021_Human	Synthesis and degradation of ketone bodies	10
KEGG_2021_Human	Systemic lupus erythematosus	135
KEGG_2021_Human	T cell receptor signaling pathway	104
KEGG_2021_Human	TGF-beta signaling pathway	94
KEGG_2021_Human	TNF signaling pathway	112
KEGG_2021_Human	Taste transduction	86
KEGG_2021_Human	Taurine and hypotaurine metabolism	11
KEGG_2021_Human	Terpenoid backbone biosynthesis	22
KEGG_2021_Human	Th1 and Th2 cell differentiation	92
KEGG_2021_Human	Th17 cell differentiation	107
KEGG_2021_Human	Thermogenesis	232
KEGG_2021_Human	Thiamine metabolism	15
KEGG_2021_Human	Thyroid cancer	37
KEGG_2021_Human	Thyroid hormone signaling pathway	121
KEGG_2021_Human	Thyroid hormone synthesis	75
KEGG_2021_Human	Tight junction	169
KEGG_2021_Human	Toll-like receptor signaling pathway	104
KEGG_2021_Human	Toxoplasmosis	112
KEGG_2021_Human	Transcriptional misregulation in cancer	192
KEGG_2021_Human	Tryptophan metabolism	42
KEGG_2021_Human	Tuberculosis	180
KEGG_2021_Human	Type I diabetes mellitus	43
KEGG_2021_Human	Type II diabetes mellitus	46
KEGG_2021_Human	Tyrosine metabolism	36
KEGG_2021_Human	Ubiquinone and other terpenoid-quinone biosynthesis	11
KEGG_2021_Human	Ubiquitin mediated proteolysis	140
KEGG_2021_Human	VEGF signaling pathway	59
KEGG_2021_Human	Valine, leucine and isoleucine degradation	48
KEGG_2021_Human	Various types of N-glycan biosynthesis	39
KEGG_2021_Human	Vascular smooth muscle contraction	133
KEGG_2021_Human	Vasopressin-regulated water reabsorption	44
KEGG_2021_Human	Vibrio cholerae infection	50
KEGG_2021_Human	Viral carcinogenesis	203
KEGG_2021_Human	Viral myocarditis	60
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	100
KEGG_2021_Human	Vitamin B6 metabolism	6
KEGG_2021_Human	Vitamin digestion and absorption	24
KEGG_2021_Human	Wnt signaling pathway	166
KEGG_2021_Human	Yersinia infection	137
KEGG_2021_Human	alpha-Linolenic acid metabolism	25
KEGG_2021_Human	beta-Alanine metabolism	30
KEGG_2021_Human	cAMP signaling pathway	216
KEGG_2021_Human	cGMP-PKG signaling pathway	167
KEGG_2021_Human	mRNA surveillance pathway	98
KEGG_2021_Human	mTOR signaling pathway	154
KEGG_2021_Human	p53 signaling pathway	73
