term	go_id	go_depth
Actin Filament Organization (GO:0007015)	GO:0007015	8
Actin Filament Polymerization (GO:0030041)	GO:0030041	10
Actin Filament Reorganization (GO:0090527)	GO:0090527	0
Actin Filament-Based Transport (GO:0099515)	GO:0099515	7
Actin Nucleation (GO:0045010)	GO:0045010	9
Actin Polymerization Or Depolymerization (GO:0008154)	GO:0008154	9
Actin-Mediated Cell Contraction (GO:0070252)	GO:0070252	5
Actin-Myosin Filament Sliding (GO:0033275)	GO:0033275	6
Action Potential (GO:0001508)	GO:0001508	5
Activation Of GTPase Activity (GO:0090630)	GO:0090630	8
Activation Of NF-kappaB-inducing Kinase Activity (GO:0007250)	GO:0007250	12
Activation Of Adenylate Cyclase Activity (GO:0007190)	GO:0007190	8
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202)	GO:0097202	9
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)	GO:0006919	13
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C (GO:0008635)	GO:0008635	14
Activation Of Phospholipase C Activity (GO:0007202)	GO:0007202	10
Activation Of Protein Kinase B Activity (GO:0032148)	GO:0032148	12
Activation Of Protein Kinase Activity (GO:0032147)	GO:0032147	11
Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)	GO:0007171	8
Activin Receptor Signaling Pathway (GO:0032924)	GO:0032924	8
Actomyosin Structure Organization (GO:0031032)	GO:0031032	8
Acute Inflammatory Response (GO:0002526)	GO:0002526	6
Acute-Phase Response (GO:0006953)	GO:0006953	7
acyl-CoA Biosynthetic Process (GO:0071616)	GO:0071616	11
acyl-CoA Metabolic Process (GO:0006637)	GO:0006637	10
Acylglycerol Biosynthetic Process (GO:0046463)	GO:0046463	8
Acylglycerol Catabolic Process (GO:0046464)	GO:0046464	8
Acylglycerol Homeostasis (GO:0055090)	GO:0055090	5
Acylglycerol Metabolic Process (GO:0006639)	GO:0006639	7
Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460)	GO:0002460	5
Adenine Nucleotide Transport (GO:0051503)	GO:0051503	9
Adenosine Metabolic Process (GO:0046085)	GO:0046085	10
Adenosine To Inosine Editing (GO:0006382)	GO:0006382	10
Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)	GO:0007189	7
Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway (GO:0071880)	GO:0071880	8
Adenylate Cyclase-Activating Dopamine Receptor Signaling Pathway (GO:0007191)	GO:0007191	8
Adenylate Cyclase-Inhibiting G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007197)	GO:0007197	8
Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)	GO:0007193	7
Adenylate Cyclase-Inhibiting Serotonin Receptor Signaling Pathway (GO:0007198)	GO:0007198	8
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	GO:0007188	6
Adherens Junction Assembly (GO:0034333)	GO:0034333	8
Adherens Junction Maintenance (GO:0034334)	GO:0034334	8
Adherens Junction Organization (GO:0034332)	GO:0034332	7
Adiponectin-Activated Signaling Pathway (GO:0033211)	GO:0033211	6
Adipose Tissue Development (GO:0060612)	GO:0060612	5
Adrenal Gland Development (GO:0030325)	GO:0030325	6
Adrenergic Receptor Signaling Pathway (GO:0071875)	GO:0071875	6
Adult Feeding Behavior (GO:0008343)	GO:0008343	5
Adult Heart Development (GO:0007512)	GO:0007512	6
Adult Locomotory Behavior (GO:0008344)	GO:0008344	5
Aerobic Electron Transport Chain (GO:0019646)	GO:0019646	9
Aerobic Respiration (GO:0009060)	GO:0009060	7
Aggrephagy (GO:0035973)	GO:0035973	8
Alanine Transport (GO:0032328)	GO:0032328	10
Alcohol Catabolic Process (GO:0046164)	GO:0046164	5
Aldehyde Biosynthetic Process (GO:0046184)	GO:0046184	5
Aldehyde Catabolic Process (GO:0046185)	GO:0046185	5
Alditol Metabolic Process (GO:0019400)	GO:0019400	5
Alpha-Amino Acid Biosynthetic Process (GO:1901607)	GO:1901607	9
Alpha-Amino Acid Catabolic Process (GO:1901606)	GO:1901606	7
Alpha-Amino Acid Metabolic Process (GO:1901605)	GO:1901605	8
Alpha-Beta T Cell Activation (GO:0046631)	GO:0046631	7
Alpha-Linolenic Acid Metabolic Process (GO:0036109)	GO:0036109	10
Alternative mRNA Splicing, Via Spliceosome (GO:0000380)	GO:0000380	12
Ameboidal-Type Cell Migration (GO:0001667)	GO:0001667	5
Amide Biosynthetic Process (GO:0043604)	GO:0043604	5
Amide Transport (GO:0042886)	GO:0042886	6
Amine Metabolic Process (GO:0009308)	GO:0009308	5
Amine Transport (GO:0015837)	GO:0015837	6
Amino Acid Catabolic Process (GO:0009063)	GO:0009063	8
Amino Acid Import Across Plasma Membrane (GO:0089718)	GO:0089718	10
Amino Acid Transmembrane Transport (GO:0003333)	GO:0003333	9
Amino Acid Transport (GO:0006865)	GO:0006865	8
Amino Sugar Biosynthetic Process (GO:0046349)	GO:0046349	6
Amino Sugar Catabolic Process (GO:0046348)	GO:0046348	6
Amino Sugar Metabolic Process (GO:0006040)	GO:0006040	5
Amino-Acid Betaine Metabolic Process (GO:0006577)	GO:0006577	5
Amino-Acid Betaine Transport (GO:0015838)	GO:0015838	7
Aminoglycan Biosynthetic Process (GO:0006023)	GO:0006023	6
Aminoglycan Catabolic Process (GO:0006026)	GO:0006026	6
Aminoglycan Metabolic Process (GO:0006022)	GO:0006022	5
Aminophospholipid Transport (GO:0015917)	GO:0015917	7
Ammonium Homeostasis (GO:0097272)	GO:0097272	5
Ammonium Transmembrane Transport (GO:0072488)	GO:0072488	6
Amylin Receptor Signaling Pathway (GO:0097647)	GO:0097647	7
Amyloid Fibril Formation (GO:1990000)	GO:1990000	6
Amyloid Precursor Protein Catabolic Process (GO:0042987)	GO:0042987	7
Amyloid Precursor Protein Metabolic Process (GO:0042982)	GO:0042982	6
Amyloid-Beta Formation (GO:0034205)	GO:0034205	8
Amyloid-Beta Metabolic Process (GO:0050435)	GO:0050435	6
Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145)	GO:0031145	10
Androgen Biosynthetic Process (GO:0006702)	GO:0006702	7
Androgen Receptor Signaling Pathway (GO:0030521)	GO:0030521	7
Angiogenesis Involved In Wound Healing (GO:0060055)	GO:0060055	9
Angiotensin Maturation (GO:0002003)	GO:0002003	13
Angiotensin-Activated Signaling Pathway (GO:0038166)	GO:0038166	6
Anoikis (GO:0043276)	GO:0043276	6
Anterior/Posterior Axis Specification (GO:0009948)	GO:0009948	6
Anterior/Posterior Axis Specification, Embryo (GO:0008595)	GO:0008595	7
Anterior/Posterior Pattern Specification (GO:0009952)	GO:0009952	6
Anterograde Axonal Protein Transport (GO:0099641)	GO:0099641	9
Anterograde Axonal Transport (GO:0008089)	GO:0008089	8
Anterograde Dendritic Transport (GO:0098937)	GO:0098937	8
Anterograde Synaptic Vesicle Transport (GO:0048490)	GO:0048490	9
Anterograde Trans-Synaptic Signaling (GO:0098916)	GO:0098916	7
Antibacterial Humoral Response (GO:0019731)	GO:0019731	6
Antifungal Innate Immune Response (GO:0061760)	GO:0061760	5
Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483)	GO:0002483	5
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I (GO:0019885)	GO:0019885	6
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484)	GO:0002484	7
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)	GO:0002486	8
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476)	GO:0002476	6
Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	GO:0002478	5
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class I (GO:0042590)	GO:0042590	6
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)	GO:0019886	6
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	GO:0002474	5
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)	GO:0002495	5
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428)	GO:0002428	5
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	GO:0050851	6
Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	GO:0061844	6
Antimicrobial Humoral Response (GO:0019730)	GO:0019730	5
Antiviral Innate Immune Response (GO:0140374)	GO:0140374	5
Aorta Development (GO:0035904)	GO:0035904	8
Aorta Morphogenesis (GO:0035909)	GO:0035909	9
Aortic Valve Development (GO:0003176)	GO:0003176	8
Aortic Valve Morphogenesis (GO:0003180)	GO:0003180	9
Apical Junction Assembly (GO:0043297)	GO:0043297	8
Apical Protein Localization (GO:0045176)	GO:0045176	6
Apoptotic DNA Fragmentation (GO:0006309)	GO:0006309	9
Apoptotic Cell Clearance (GO:0043277)	GO:0043277	8
Apoptotic Mitochondrial Changes (GO:0008637)	GO:0008637	6
Apoptotic Nuclear Changes (GO:0030262)	GO:0030262	7
Apoptotic Process (GO:0006915)	GO:0006915	5
Arachidonate Transport (GO:1903963)	GO:1903963	8
Arachidonic Acid Metabolic Process (GO:0019369)	GO:0019369	10
Arachidonic Acid Secretion (GO:0050482)	GO:0050482	7
Arginine Catabolic Process (GO:0006527)	GO:0006527	11
Arginine Metabolic Process (GO:0006525)	GO:0006525	10
Aromatic Amino Acid Family Catabolic Process (GO:0009074)	GO:0009074	9
Aromatic Amino Acid Transport (GO:0015801)	GO:0015801	9
Aromatic Compound Biosynthetic Process (GO:0019438)	GO:0019438	5
Aromatic Compound Catabolic Process (GO:0019439)	GO:0019439	5
Artery Development (GO:0060840)	GO:0060840	7
Artery Morphogenesis (GO:0048844)	GO:0048844	8
Aspartate Family Amino Acid Biosynthetic Process (GO:0009067)	GO:0009067	10
Aspartate Family Amino Acid Catabolic Process (GO:0009068)	GO:0009068	9
Aspartate Family Amino Acid Metabolic Process (GO:0009066)	GO:0009066	9
Aspartate Metabolic Process (GO:0006531)	GO:0006531	10
