term	go_id	go_depth
5'-Nucleotidase Activity (GO:0008253)	GO:0008253	8
5S rRNA Binding (GO:0008097)	GO:0008097	7
7SK snRNA Binding (GO:0097322)	GO:0097322	7
ABC-type Glutathione S-conjugate Transporter Activity (GO:0015431)	GO:0015431	8
ABC-type Xenobiotic Transporter Activity (GO:0008559)	GO:0008559	5
ADP Binding (GO:0043531)	GO:0043531	8
ADP Transmembrane Transporter Activity (GO:0015217)	GO:0015217	8
ADP-D-ribose Modification-Dependent Protein Binding (GO:0160002)	GO:0160002	5
AMP Binding (GO:0016208)	GO:0016208	8
ATP Binding (GO:0005524)	GO:0005524	8
ATP Transmembrane Transporter Activity (GO:0005347)	GO:0005347	8
ATP-activated Inward Rectifier Potassium Channel Activity (GO:0015272)	GO:0015272	10
ATP-gated Ion Channel Activity (GO:0035381)	GO:0035381	8
ATPase Activity, Coupled To Transmembrane Movement Of Ions, Rotational Mechanism (GO:0044769)	GO:0044769	8
ATPase Binding (GO:0051117)	GO:0051117	5
BH Domain Binding (GO:0051400)	GO:0051400	5
BH3 Domain Binding (GO:0051434)	GO:0051434	6
BMP Binding (GO:0036122)	GO:0036122	5
BMP Receptor Activity (GO:0098821)	GO:0098821	9
BMP Receptor Binding (GO:0070700)	GO:0070700	7
C-C Chemokine Binding (GO:0019957)	GO:0019957	6
C-acyltransferase Activity (GO:0016408)	GO:0016408	6
C2H2 Zinc Finger Domain Binding (GO:0070742)	GO:0070742	5
C3HC4-type RING Finger Domain Binding (GO:0055131)	GO:0055131	5
C4-dicarboxylate Transmembrane Transporter Activity (GO:0015556)	GO:0015556	6
CARD Domain Binding (GO:0050700)	GO:0050700	5
CCR Chemokine Receptor Binding (GO:0048020)	GO:0048020	7
CCR6 Chemokine Receptor Binding (GO:0031731)	GO:0031731	8
CD4 Receptor Binding (GO:0042609)	GO:0042609	5
CDP-alcohol Phosphatidyltransferase Activity (GO:0017169)	GO:0017169	6
CXCR Chemokine Receptor Binding (GO:0045236)	GO:0045236	7
CoA Carboxylase Activity (GO:0016421)	GO:0016421	5
CoA Hydrolase Activity (GO:0016289)	GO:0016289	6
CoA-ligase Activity (GO:0016405)	GO:0016405	5
D-glucose Transmembrane Transporter Activity (GO:0055056)	GO:0055056	9
DEAD/H-box RNA Helicase Binding (GO:0017151)	GO:0017151	5
DNA N-glycosylase Activity (GO:0019104)	GO:0019104	6
DNA Binding (GO:0003677)	GO:0003677	5
DNA Binding, Bending (GO:0008301)	GO:0008301	6
DNA Endonuclease Activity (GO:0004520)	GO:0004520	7
DNA Endonuclease Activity, Producing 3'-Phosphomonoesters (GO:0016889)	GO:0016889	8
DNA Exonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016895)	GO:0016895	8
DNA Nuclease Activity (GO:0004536)	GO:0004536	6
DNA Polymerase Activity (GO:0034061)	GO:0034061	6
DNA Polymerase Binding (GO:0070182)	GO:0070182	5
DNA Replication Origin Binding (GO:0003688)	GO:0003688	8
DNA Secondary Structure Binding (GO:0000217)	GO:0000217	6
DNA-(apurinic Or Apyrimidinic Site) Endonuclease Activity (GO:0003906)	GO:0003906	5
DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	GO:0001228	5
DNA-binding Transcription Factor Binding (GO:0140297)	GO:0140297	5
DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)	GO:0001227	5
DNA-directed 5'-3' RNA Polymerase Activity (GO:0003899)	GO:0003899	8
DNA-directed DNA Polymerase Activity (GO:0003887)	GO:0003887	7
DNA-methyltransferase Activity (GO:0009008)	GO:0009008	6
E-box Binding (GO:0070888)	GO:0070888	9
FAD Binding (GO:0071949)	GO:0071949	6
FMN Binding (GO:0010181)	GO:0010181	6
G Protein-Coupled Acetylcholine Receptor Activity (GO:0016907)	GO:0016907	7
G Protein-Coupled Amine Receptor Activity (GO:0008227)	GO:0008227	6
G Protein-Coupled Chemoattractant Receptor Activity (GO:0001637)	GO:0001637	6
G Protein-Coupled Glutamate Receptor Binding (GO:0035256)	GO:0035256	6
G Protein-Coupled Neurotransmitter Receptor Activity (GO:0099528)	GO:0099528	6
G Protein-Coupled Opioid Receptor Activity (GO:0004985)	GO:0004985	6
G Protein-Coupled Peptide Receptor Activity (GO:0008528)	GO:0008528	5
G Protein-Coupled Photoreceptor Activity (GO:0008020)	GO:0008020	6
G Protein-Coupled Purinergic Nucleotide Receptor Activity (GO:0045028)	GO:0045028	7
G Protein-Coupled Receptor Activity (GO:0004930)	GO:0004930	5
G Protein-Coupled Receptor Binding (GO:0001664)	GO:0001664	5
G Protein-Coupled Receptor Kinase Activity (GO:0004703)	GO:0004703	8
G Protein-Coupled Serotonin Receptor Activity (GO:0004993)	GO:0004993	7
G-quadruplex DNA Binding (GO:0051880)	GO:0051880	6
G-quadruplex RNA Binding (GO:0002151)	GO:0002151	6
G-rich Strand Telomeric DNA Binding (GO:0098505)	GO:0098505	9
GABA Receptor Activity (GO:0016917)	GO:0016917	5
GABA Receptor Binding (GO:0050811)	GO:0050811	5
GABA-A Receptor Activity (GO:0004890)	GO:0004890	6
GABA-gated Chloride Ion Channel Activity (GO:0022851)	GO:0022851	8
GDP Binding (GO:0019003)	GO:0019003	8
GDP Phosphatase Activity (GO:0004382)	GO:0004382	8
GDP-dissociation Inhibitor Activity (GO:0005092)	GO:0005092	6
GPI Anchor Binding (GO:0034235)	GO:0034235	6
GTP Binding (GO:0005525)	GO:0005525	8
GTPase Activator Activity (GO:0005096)	GO:0005096	5
GTPase Activity (GO:0003924)	GO:0003924	8
GTPase Binding (GO:0051020)	GO:0051020	5
GTPase Inhibitor Activity (GO:0005095)	GO:0005095	5
GTPase Regulator Activity (GO:0030695)	GO:0030695	5
Hsp70 Protein Binding (GO:0030544)	GO:0030544	5
Hsp90 Protein Binding (GO:0051879)	GO:0051879	5
I-SMAD Binding (GO:0070411)	GO:0070411	5
JUN Kinase Binding (GO:0008432)	GO:0008432	7
JUN Kinase Kinase Kinase Activity (GO:0004706)	GO:0004706	9
K48-linked Deubiquitinase Activity (GO:1990380)	GO:1990380	7
K48-linked Polyubiquitin Modification-Dependent Protein Binding (GO:0036435)	GO:0036435	6
K63-linked Deubiquitinase Activity (GO:0061578)	GO:0061578	7
K63-linked Polyubiquitin Modification-Dependent Protein Binding (GO:0070530)	GO:0070530	6
L-alanine Transmembrane Transporter Activity (GO:0015180)	GO:0015180	8
L-amino Acid Transmembrane Transporter Activity (GO:0015179)	GO:0015179	7
L-arginine Transmembrane Transporter Activity (GO:0061459)	GO:0061459	8
L-aspartate Transmembrane Transporter Activity (GO:0015183)	GO:0015183	7
L-glutamate Transmembrane Transporter Activity (GO:0005313)	GO:0005313	8
L-glutamine Transmembrane Transporter Activity (GO:0015186)	GO:0015186	8
L-leucine Transmembrane Transporter Activity (GO:0015190)	GO:0015190	8
L-lysine Transmembrane Transporter Activity (GO:0015189)	GO:0015189	8
L-proline Transmembrane Transporter Activity (GO:0015193)	GO:0015193	8
L-serine Transmembrane Transporter Activity (GO:0015194)	GO:0015194	8
LBD Domain Binding (GO:0050693)	GO:0050693	5
LRR Domain Binding (GO:0030275)	GO:0030275	5
MAP Kinase Activity (GO:0004707)	GO:0004707	8
MAP Kinase Kinase Activity (GO:0004708)	GO:0004708	8
MAP Kinase Kinase Kinase Activity (GO:0004709)	GO:0004709	8
MAP Kinase Phosphatase Activity (GO:0033549)	GO:0033549	8
MAP Kinase Tyrosine Phosphatase Activity (GO:0033550)	GO:0033550	9
MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017)	GO:0017017	9
MAP-kinase Scaffold Activity (GO:0005078)	GO:0005078	5
MHC Class I Protein Binding (GO:0042288)	GO:0042288	6
MHC Class I Receptor Activity (GO:0032393)	GO:0032393	5
MHC Class II Protein Binding (GO:0042289)	GO:0042289	6
MHC Class II Protein Complex Binding (GO:0023026)	GO:0023026	5
MHC Class II Receptor Activity (GO:0032395)	GO:0032395	5
MHC Class Ib Protein Binding (GO:0023029)	GO:0023029	6
MHC Protein Binding (GO:0042287)	GO:0042287	5
MutLalpha Complex Binding (GO:0032405)	GO:0032405	5
MutSalpha Complex Binding (GO:0032407)	GO:0032407	5
N,N-dimethylaniline Monooxygenase Activity (GO:0004499)	GO:0004499	6
N-acetylglucosamine 6-O-sulfotransferase Activity (GO:0001517)	GO:0001517	6
N-acetyltransferase Activity (GO:0008080)	GO:0008080	7
N-acylsphingosine Amidohydrolase Activity (GO:0017040)	GO:0017040	6
N-acyltransferase Activity (GO:0016410)	GO:0016410	6
N-methyltransferase Activity (GO:0008170)	GO:0008170	6
N6-methyladenosine-containing RNA Binding (GO:1990247)	GO:1990247	6
NAD Binding (GO:0051287)	GO:0051287	7
NAD(P)H Oxidase H2O2-forming Activity (GO:0016174)	GO:0016174	6
NAD+ ADP-ribosyltransferase Activity (GO:0003950)	GO:0003950	6
NAD+ Binding (GO:0070403)	GO:0070403	5
NAD-dependent Protein Deacetylase Activity (GO:0034979)	GO:0034979	6
NAD-retinol Dehydrogenase Activity (GO:0004745)	GO:0004745	6
NADH Dehydrogenase (Quinone) Activity (GO:0050136)	GO:0050136	6
NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137)	GO:0008137	5
NADH Dehydrogenase Activity (GO:0003954)	GO:0003954	5
NADP Binding (GO:0050661)	GO:0050661	7
NADP-retinol Dehydrogenase Activity (GO:0052650)	GO:0052650	8
NADPH Binding (GO:0070402)	GO:0070402	5
NEDD8 Transferase Activity (GO:0019788)	GO:0019788	7
NF-kappaB Binding (GO:0051059)	GO:0051059	7
NMDA Glutamate Receptor Activity (GO:0004972)	GO:0004972	7
Notch Binding (GO:0005112)	GO:0005112	5
O-acetyltransferase Activity (GO:0016413)	GO:0016413	7
O-acyltransferase Activity (GO:0008374)	GO:0008374	6
O-methyltransferase Activity (GO:0008171)	GO:0008171	6
P-type Calcium Transporter Activity (GO:0005388)	GO:0005388	8
P-type Ion Transporter Activity (GO:0015662)	GO:0015662	8
P-type Potassium Transmembrane Transporter Activity (GO:0008556)	GO:0008556	8
P-type Sodium Transporter Activity (GO:0008554)	GO:0008554	8
P-type Sodium:Potassium-Exchanging Transporter Activity (GO:0005391)	GO:0005391	9
PDZ Domain Binding (GO:0030165)	GO:0030165	5
R-SMAD Binding (GO:0070412)	GO:0070412	5
RAGE Receptor Binding (GO:0050786)	GO:0050786	5
RNA 2'-O-methyltransferase Activity (GO:0062105)	GO:0062105	7
RNA 7-Methylguanosine Cap Binding (GO:0000340)	GO:0000340	7
RNA Binding (GO:0003723)	GO:0003723	5
RNA Cap Binding (GO:0000339)	GO:0000339	6
RNA Endonuclease Activity (GO:0004521)	GO:0004521	7
RNA Endonuclease Activity, Producing 3'-Phosphomonoesters (GO:0016892)	GO:0016892	8
RNA Endonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016891)	GO:0016891	8
RNA Exonuclease Activity (GO:0004532)	GO:0004532	7
RNA Exonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016896)	GO:0016896	8
RNA Methyltransferase Activity (GO:0008173)	GO:0008173	6
RNA Nuclease Activity (GO:0004540)	GO:0004540	6
RNA Polymerase I Activity (GO:0001054)	GO:0001054	9
RNA Polymerase I Core Promoter Sequence-Specific DNA Binding (GO:0001164)	GO:0001164	8
RNA Polymerase I Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0001163)	GO:0001163	7
RNA Polymerase II C-terminal Domain Binding (GO:0099122)	GO:0099122	7
RNA Polymerase II CTD Heptapeptide Repeat Kinase Activity (GO:0008353)	GO:0008353	8
RNA Polymerase II CTD Heptapeptide Repeat Phosphatase Activity (GO:0008420)	GO:0008420	9
RNA Polymerase II Activity (GO:0001055)	GO:0001055	9
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	GO:0000978	8
RNA Polymerase II Complex Binding (GO:0000993)	GO:0000993	6
RNA Polymerase II Core Promoter Sequence-Specific DNA Binding (GO:0000979)	GO:0000979	8
RNA Polymerase II General Transcription Initiation Factor Binding (GO:0001091)	GO:0001091	6
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	GO:0000977	7
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	GO:0061629	6
RNA Polymerase III Activity (GO:0001056)	GO:0001056	9
RNA Polymerase III Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000992)	GO:0000992	8
RNA Polymerase III Type 3 Promoter Sequence-Specific DNA Binding (GO:0001006)	GO:0001006	9
RNA Polymerase Binding (GO:0070063)	GO:0070063	5
RNA Polymerase Core Enzyme Binding (GO:0043175)	GO:0043175	6
RNA Stem-Loop Binding (GO:0035613)	GO:0035613	6
RNA-directed DNA Polymerase Activity (GO:0003964)	GO:0003964	7
Roundabout Binding (GO:0048495)	GO:0048495	5
S-adenosylmethionine-dependent Methyltransferase Activity (GO:0008757)	GO:0008757	6
S-methyltransferase Activity (GO:0008172)	GO:0008172	6
SH2 Domain Binding (GO:0042169)	GO:0042169	5
SH3 Domain Binding (GO:0017124)	GO:0017124	5
STAT Family Protein Binding (GO:0097677)	GO:0097677	7
SUMO Binding (GO:0032183)	GO:0032183	5
SUMO Ligase Activity (GO:0061665)	GO:0061665	8
SUMO Transferase Activity (GO:0019789)	GO:0019789	7
TBP-class Protein Binding (GO:0017025)	GO:0017025	6
Tat Protein Binding (GO:0030957)	GO:0030957	7
Toll-like Receptor Binding (GO:0035325)	GO:0035325	5
U1 snRNA Binding (GO:0030619)	GO:0030619	7
U3 snoRNA Binding (GO:0034511)	GO:0034511	7
U4 snRNA Binding (GO:0030621)	GO:0030621	7
U6 snRNA Binding (GO:0017070)	GO:0017070	7
UDP Phosphatase Activity (GO:0045134)	GO:0045134	8
UDP-galactose:beta-N-acetylglucosamine Beta-1,3-Galactosyltransferase Activity (GO:0008499)	GO:0008499	7
UDP-galactosyltransferase Activity (GO:0035250)	GO:0035250	6
UDP-glucosyltransferase Activity (GO:0035251)	GO:0035251	6
UDP-glycosyltransferase Activity (GO:0008194)	GO:0008194	5
UDP-xylosyltransferase Activity (GO:0035252)	GO:0035252	6
WW Domain Binding (GO:0050699)	GO:0050699	5
Wnt Receptor Activity (GO:0042813)	GO:0042813	5
[Heparan Sulfate]-Glucosamine 3-Sulfotransferase 1 Activity (GO:0008467)	GO:0008467	7
acetyl-CoA C-acyltransferase Activity (GO:0003988)	GO:0003988	7
Acetylation-Dependent Protein Binding (GO:0140033)	GO:0140033	5
Acetylcholine Receptor Activity (GO:0015464)	GO:0015464	5
Acetylcholine Receptor Binding (GO:0033130)	GO:0033130	5
Acetylcholine Receptor Inhibitor Activity (GO:0030550)	GO:0030550	5
Acetylcholine Receptor Regulator Activity (GO:0030548)	GO:0030548	5
Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity (GO:0022848)	GO:0022848	11
Acetylgalactosaminyltransferase Activity (GO:0008376)	GO:0008376	6
Acetylglucosaminyltransferase Activity (GO:0008375)	GO:0008375	6
Acetyltransferase Activator Activity (GO:0010698)	GO:0010698	5
Acetyltransferase Activity (GO:0016407)	GO:0016407	6
Acid Phosphatase Activity (GO:0003993)	GO:0003993	7
Acid-Amino Acid Ligase Activity (GO:0016881)	GO:0016881	5
Acid-Thiol Ligase Activity (GO:0016878)	GO:0016878	5
Acidic Amino Acid Transmembrane Transporter Activity (GO:0015172)	GO:0015172	7
Actin Binding (GO:0003779)	GO:0003779	5
Actin Monomer Binding (GO:0003785)	GO:0003785	6
Actinin Binding (GO:0042805)	GO:0042805	5
Active Monoatomic Ion Transmembrane Transporter Activity (GO:0022853)	GO:0022853	5
Activin Receptor Activity (GO:0017002)	GO:0017002	9
acyl-CoA Dehydrogenase Activity (GO:0003995)	GO:0003995	6
acyl-CoA Hydrolase Activity (GO:0047617)	GO:0047617	7
acyl-CoA Oxidase Activity (GO:0003997)	GO:0003997	6
Acylglycerol O-acyltransferase Activity (GO:0016411)	GO:0016411	7
Acylglycerol Lipase Activity (GO:0047372)	GO:0047372	6
Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups (GO:0016747)	GO:0016747	5
Adenine Nucleotide Transmembrane Transporter Activity (GO:0000295)	GO:0000295	7
Adenosine Deaminase Activity (GO:0004000)	GO:0004000	6
Adenyl Nucleotide Binding (GO:0030554)	GO:0030554	6
Adenyl Ribonucleotide Binding (GO:0032559)	GO:0032559	7
Adenylate Cyclase Binding (GO:0008179)	GO:0008179	5
Adenylate Cyclase Inhibiting G Protein-Coupled Glutamate Receptor Activity (GO:0001640)	GO:0001640	7
Adenylate Cyclase Regulator Activity (GO:0010854)	GO:0010854	5
Adenylate Kinase Activity (GO:0004017)	GO:0004017	7
Adenylyltransferase Activity (GO:0070566)	GO:0070566	6
Adrenergic Receptor Binding (GO:0031690)	GO:0031690	6
Alanine Transmembrane Transporter Activity (GO:0022858)	GO:0022858	8
Alcohol Dehydrogenase (NAD+) Activity (GO:0004022)	GO:0004022	7
Alcohol Dehydrogenase (NADP+) Activity (GO:0008106)	GO:0008106	7
Alcohol Dehydrogenase [NAD(P)+] Activity (GO:0018455)	GO:0018455	6
Alcohol Dehydrogenase Activity, Zinc-Dependent (GO:0004024)	GO:0004024	8
Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029)	GO:0004029	7
Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030)	GO:0004030	6
Aldehyde-Lyase Activity (GO:0016832)	GO:0016832	5
alditol:NADP+ 1-Oxidoreductase Activity (GO:0004032)	GO:0004032	8
Aldo-Keto Reductase (NADP) Activity (GO:0004033)	GO:0004033	6
Alkali Metal Ion Binding (GO:0031420)	GO:0031420	6
Alkaline Phosphatase Activity (GO:0004035)	GO:0004035	7
Alpha-(1->3)-Fucosyltransferase Activity (GO:0046920)	GO:0046920	7
alpha-N-acetylgalactosaminide Alpha-2,6-Sialyltransferase Activity (GO:0001665)	GO:0001665	6
alpha-N-acetylneuraminate Alpha-2,8-Sialyltransferase Activity (GO:0003828)	GO:0003828	6
Alpha-Actinin Binding (GO:0051393)	GO:0051393	6
Alpha-Glucosidase Activity (GO:0090599)	GO:0090599	7
Alpha-Mannosidase Activity (GO:0004559)	GO:0004559	7
Alpha-Tubulin Binding (GO:0043014)	GO:0043014	6
Amino Acid Binding (GO:0016597)	GO:0016597	6
Amino Acid Transmembrane Transporter Activity (GO:0015171)	GO:0015171	6
Amino Acid:Monoatomic Cation Symporter Activity (GO:0005416)	GO:0005416	7
Amino Acid:Proton Symporter Activity (GO:0005280)	GO:0005280	8
Amino Acid:Sodium Symporter Activity (GO:0005283)	GO:0005283	6
aminoacyl-tRNA Ligase Activity (GO:0004812)	GO:0004812	5
Aminopeptidase Activity (GO:0004177)	GO:0004177	6
Aminophospholipid Flippase Activity (GO:0015247)	GO:0015247	5
Ammonium Transmembrane Transporter Activity (GO:0008519)	GO:0008519	6
Amyloid-Beta Binding (GO:0001540)	GO:0001540	5
Androsterone Dehydrogenase Activity (GO:0047023)	GO:0047023	6
Ankyrin Binding (GO:0030506)	GO:0030506	5
Annealing Activity (GO:0140666)	GO:0140666	5
Antiporter Activity (GO:0015297)	GO:0015297	6
Apolipoprotein Receptor Binding (GO:0034190)	GO:0034190	5
arachidonate-CoA Ligase Activity (GO:0047676)	GO:0047676	8
Arachidonic Acid Binding (GO:0050544)	GO:0050544	7
Arachidonic Acid Epoxygenase Activity (GO:0008392)	GO:0008392	6
Arachidonic Acid Monooxygenase Activity (GO:0008391)	GO:0008391	5
Arginine N-methyltransferase Activity (GO:0016273)	GO:0016273	7
Arginine Binding (GO:0034618)	GO:0034618	7
Armadillo Repeat Domain Binding (GO:0070016)	GO:0070016	5
Aromatic Amino Acid Transmembrane Transporter Activity (GO:0015173)	GO:0015173	7
Aryl Hydrocarbon Receptor Binding (GO:0017162)	GO:0017162	5
Aryl Sulfotransferase Activity (GO:0004062)	GO:0004062	6
Arylesterase Activity (GO:0004064)	GO:0004064	6
Arylsulfatase Activity (GO:0004065)	GO:0004065	6
Aspartic Endopeptidase Activity, Intramembrane Cleaving (GO:0042500)	GO:0042500	7
Aspartic-Type Endopeptidase Activity (GO:0004190)	GO:0004190	6
Aspartic-Type Endopeptidase Inhibitor Activity (GO:0019828)	GO:0019828	7
Aspartic-Type Peptidase Activity (GO:0070001)	GO:0070001	5
Axon Guidance Receptor Activity (GO:0008046)	GO:0008046	5
bHLH Transcription Factor Binding (GO:0043425)	GO:0043425	6
Basal RNA Polymerase II Transcription Machinery Binding (GO:0001099)	GO:0001099	5
Basic Amino Acid Transmembrane Transporter Activity (GO:0015174)	GO:0015174	7
Benzodiazepine Receptor Activity (GO:0008503)	GO:0008503	5
Beta-1,3-Galactosyltransferase Activity (GO:0048531)	GO:0048531	7
Beta-Galactoside (CMP) Alpha-2,3-Sialyltransferase Activity (GO:0003836)	GO:0003836	6
Beta-Glucosidase Activity (GO:0008422)	GO:0008422	7
Beta-Tubulin Binding (GO:0048487)	GO:0048487	6
Bicarbonate Transmembrane Transporter Activity (GO:0015106)	GO:0015106	5
Bile Acid Binding (GO:0032052)	GO:0032052	7
Bile Acid:Sodium Symporter Activity (GO:0008508)	GO:0008508	5
Bioactive Lipid Receptor Activity (GO:0045125)	GO:0045125	6
Bitter Taste Receptor Activity (GO:0033038)	GO:0033038	6
Branched-Chain Amino Acid Transmembrane Transporter Activity (GO:0015658)	GO:0015658	7
Bubble DNA Binding (GO:0000405)	GO:0000405	7
cAMP Binding (GO:0030552)	GO:0030552	6
cAMP Response Element Binding (GO:0035497)	GO:0035497	9
cAMP Response Element Binding Protein Binding (GO:0008140)	GO:0008140	6
cAMP-dependent Protein Kinase Activity (GO:0004691)	GO:0004691	9
cAMP-dependent Protein Kinase Inhibitor Activity (GO:0004862)	GO:0004862	7
cAMP-dependent Protein Kinase Regulator Activity (GO:0008603)	GO:0008603	6
cGMP Binding (GO:0030553)	GO:0030553	6
Cadherin Binding (GO:0045296)	GO:0045296	5
Cadherin Binding Involved In Cell-Cell Adhesion (GO:0098641)	GO:0098641	6
Calcium Activated Cation Channel Activity (GO:0005227)	GO:0005227	7
Calcium Channel Activity (GO:0005262)	GO:0005262	7
Calcium Channel Inhibitor Activity (GO:0019855)	GO:0019855	6
Calcium Channel Regulator Activity (GO:0005246)	GO:0005246	5
Calcium Ion Binding (GO:0005509)	GO:0005509	6
Calcium Ion Transmembrane Transporter Activity (GO:0015085)	GO:0015085	7
Calcium-Activated Potassium Channel Activity (GO:0015269)	GO:0015269	8
Calcium-Dependent Cysteine-Type Endopeptidase Activity (GO:0004198)	GO:0004198	7
Calcium-Dependent Phospholipase A2 Activity (GO:0047498)	GO:0047498	8
Calcium-Dependent Phospholipid Binding (GO:0005544)	GO:0005544	5
Calcium-Dependent Protein Kinase Activity (GO:0010857)	GO:0010857	7
Calcium-Dependent Protein Serine/Threonine Kinase Activity (GO:0009931)	GO:0009931	8
Calcium-Dependent Protein Serine/Threonine Phosphatase Activity (GO:0004723)	GO:0004723	9
Calcium-Independent Phospholipase A2 Activity (GO:0047499)	GO:0047499	8
Calcium-Release Channel Activity (GO:0015278)	GO:0015278	10
Calcium:Monoatomic Cation Antiporter Activity (GO:0015368)	GO:0015368	8
Calcium:Sodium Antiporter Activity (GO:0005432)	GO:0005432	8
Calmodulin-Dependent Protein Kinase Activity (GO:0004683)	GO:0004683	8
Carbohydrate Kinase Activity (GO:0019200)	GO:0019200	6
Carbohydrate:Monoatomic Cation Symporter Activity (GO:0005402)	GO:0005402	5
Carbohydrate:Proton Symporter Activity (GO:0005351)	GO:0005351	6
Carbon-Nitrogen Ligase Activity, With Glutamine As amido-N-donor (GO:0016884)	GO:0016884	5
Carbonate Dehydratase Activity (GO:0004089)	GO:0004089	6
Carbonyl Reductase (NADPH) Activity (GO:0004090)	GO:0004090	6
Carboxy-Lyase Activity (GO:0016831)	GO:0016831	5
Carboxylic Acid Binding (GO:0031406)	GO:0031406	5
Carboxylic Acid Transmembrane Transporter Activity (GO:0046943)	GO:0046943	5
Carboxylic Ester Hydrolase Activity (GO:0052689)	GO:0052689	5
Carboxypeptidase Activity (GO:0004180)	GO:0004180	6
Cardiolipin Binding (GO:1901612)	GO:1901612	6
Carnitine O-acyltransferase Activity (GO:0016406)	GO:0016406	7
Caspase Binding (GO:0089720)	GO:0089720	6
Catalytic Activity, Acting On A tRNA (GO:0140101)	GO:0140101	5
Cell Adhesion Mediator Activity (GO:0098631)	GO:0098631	5
Cell-Cell Adhesion Mediator Activity (GO:0098632)	GO:0098632	6
Cell-Matrix Adhesion Mediator Activity (GO:0098634)	GO:0098634	6
Ceramide 1-Phosphate Binding (GO:1902387)	GO:1902387	5
Ceramide 1-Phosphate Transfer Activity (GO:1902388)	GO:1902388	6
Ceramide Transfer Activity (GO:0120017)	GO:0120017	6
Channel Activity (GO:0015267)	GO:0015267	5
Chemoattractant Activity (GO:0042056)	GO:0042056	6
Chemokine Activity (GO:0008009)	GO:0008009	7
Chemokine Binding (GO:0019956)	GO:0019956	5
Chemokine Receptor Activity (GO:0004950)	GO:0004950	7
Chemokine Receptor Binding (GO:0042379)	GO:0042379	6
Chemorepellent Activity (GO:0045499)	GO:0045499	6
Chitinase Activity (GO:0004568)	GO:0004568	6
