Analyte	Target	EntrezGeneSymbol	Estimate	Standard_error	Pvalue	FDR	bonferroni	diffexpressed
X17706.4	PPR1A	PPP1R1A	0.086615861	0.00339251	1.50E-113	5.53E-111	1.05E-109	Significant
X14156.33	14-3-3 protein beta/alpha	YWHAB	0.118098849	0.004713813	1.78E-110	6.25E-108	1.25E-106	Significant
X22968.9	GGE2D	GAGE2D	0.077477471	0.003107141	4.35E-109	1.46E-106	3.06E-105	Significant
X24637.3	TCAL5	TCEAL5	0.138584428	0.005717464	1.20E-104	3.84E-102	8.44E-101	Significant
X18930.28	SLIT2	SLIT2	0.118948241	0.005065418	1.85E-99	5.53E-97	1.30E-95	Significant
X23677.30	SPN90	NCKIPSD	0.039580623	0.001682363	1.89E-99	5.53E-97	1.33E-95	Significant
X4903.72	Calcineurin	PPP3CA|PPP3R1	0.168319342	0.007274527	3.86E-97	1.09E-94	2.72E-93	Significant
X20956.13	PFD4	PFDN4	0.038777709	0.001699668	6.49E-95	1.76E-92	4.56E-91	Significant
X18303.39	NEUG	NRGN	0.185051313	0.008223444	6.72E-93	1.75E-90	4.72E-89	Significant
X8901.40	14-3-3 protein gamma	YWHAG	0.130809867	0.005865825	1.81E-91	4.55E-89	1.27E-87	Significant
X15325.14	NEUM	GAP43	0.149937912	0.006745747	5.63E-91	1.36E-88	3.96E-87	Significant
X10900.272	STMN2	STMN2	0.112669772	0.005075476	9.23E-91	2.16E-88	6.49E-87	Significant
X3905.62	UBE2N	UBE2N	0.089061519	0.004017139	1.20E-90	2.72E-88	8.44E-87	Significant
X21667.57	PDE1B	PDE1B	0.070497512	0.00319748	1.07E-89	2.34E-87	7.49E-86	Significant
X21173.25	ELAV2	ELAVL2	0.084434236	0.003862675	2.23E-88	4.76E-86	1.57E-84	Significant
X20197.14	VISL1	VSNL1	0.106366194	0.004871969	2.76E-88	5.70E-86	1.94E-84	Significant
X23528.199	PHIPL	PHYHIPL	0.109557567	0.005059261	3.84E-87	7.71E-85	2.70E-83	Significant
X19113.66	SH3L2	SH3BGRL2	0.126144899	0.00583266	5.69E-87	1.11E-84	4.00E-83	Significant
X11354.21	Phospholipase C-beta-1	PLCB1	0.147300284	0.00684049	2.52E-86	4.78E-84	1.77E-82	Significant
X19112.2	TCAL3	TCEAL3	0.039734982	0.001842246	3.28E-86	6.07E-84	2.31E-82	Significant
X13242.134	SHAN3	SHANK3	0.059104785	0.002749099	4.96E-86	8.94E-84	3.49E-82	Significant
X8358.30	Peroxiredoxin-3	PRDX3	0.08102156	0.003785163	1.69E-85	2.97E-83	1.19E-81	Significant
X21747.8	UBE2N/UB2V1 Complex	UBE2N|UBE2V1	0.107556751	0.005029491	1.96E-85	3.35E-83	1.37E-81	Significant
X13522.20	VISL1	VSNL1	0.080441854	0.003762512	2.76E-85	4.62E-83	1.94E-81	Significant
X22037.47	EFHD2	EFHD2	0.079480832	0.003727295	8.18E-85	1.34E-82	5.75E-81	Significant
X17781.191	MLP3A	MAP1LC3A	0.090478682	0.004252324	1.06E-84	1.70E-82	7.47E-81	Significant
X9099.19	SYT5	SYT5	0.083677552	0.003927952	1.15E-84	1.80E-82	8.10E-81	Significant
X17704.74	HS105	HSPH1	0.029502901	0.001387318	1.47E-84	2.25E-82	1.04E-80	Significant
X12517.52	TFAR19	PDCD5	0.105722166	0.004999069	7.94E-84	1.19E-81	5.58E-80	Significant
X11476.43	VPS4A	VPS4A	0.035347588	0.001673302	1.90E-83	2.79E-81	1.34E-79	Significant
X11557.3	SMUF1	SMURF1	0.02955452	0.001408577	1.23E-82	1.77E-80	8.67E-79	Significant
X8070.88	DLG4	DLG4	0.043560011	0.002076958	2.46E-82	3.46E-80	1.73E-78	Significant
X15612.5	LIN7B	LIN7B	0.053980163	0.002583815	5.17E-82	7.12E-80	3.63E-78	Significant
X4707.50	14-3-3 eta	YWHAH	0.122130754	0.005851224	5.38E-82	7.27E-80	3.78E-78	Significant
X21756.5	UBE2N/UBE2V2 Complex	UBE2N|UBE2V2	0.103951451	0.005092563	4.56E-79	6.04E-77	3.20E-75	Significant
X12358.6	IGBP1	IGBP1	0.042706387	0.002093776	8.65E-79	1.13E-76	6.08E-75	Significant
X17367.5	Stathmin	STMN1	0.104152023	0.005112075	1.04E-78	1.33E-76	7.31E-75	Significant
X8300.82	PEX14:N-term	PEX14	0.051530228	0.002529458	1.19E-78	1.50E-76	8.40E-75	Significant
X19196.73	HOP	HOPX	0.067004385	0.003324598	2.96E-77	3.65E-75	2.08E-73	Significant
X19290.5	HPRT	HPRT1	0.122605575	0.006162921	1.07E-75	1.30E-73	7.52E-72	Significant
X3503.4	Integrin a1b1	ITGA1|ITGB1	0.162969	0.008302584	7.45E-74	8.88E-72	5.24E-70	Significant
X19267.14	GLO2	HAGH	0.104122921	0.005316804	1.04E-73	1.22E-71	7.34E-70	Significant
X24474.12	TTC9A	TTC9	0.06123865	0.003123695	1.22E-73	1.41E-71	8.60E-70	Significant
X13967.14	Thioredoxin reductase 1	TXNRD1	0.093395773	0.004773751	1.36E-73	1.54E-71	9.55E-70	Significant
X24908.19	AMPH	AMPH	0.102420795	0.005254528	4.50E-73	5.02E-71	3.16E-69	Significant
X11214.40	DNJB9	DNAJB9	0.085380936	0.004389081	6.79E-73	7.46E-71	4.77E-69	Significant
X17156.72	DCAK1	DCLK1	0.119264276	0.006132093	8.55E-73	9.24E-71	6.01E-69	Significant
X12796.44	NUDT3	NUDT3	0.053243439	0.002739147	1.03E-72	1.09E-70	7.21E-69	Significant
X9169.14	SUMO3	SUMO3	0.09559026	0.004970671	1.79E-71	1.88E-69	1.26E-67	Significant
X9900.36	NFH	NEFH	0.099030839	0.005152972	2.54E-71	2.63E-69	1.79E-67	Significant
X25276.32	RABL6	RABL6	0.067548726	0.003515723	2.89E-71	2.94E-69	2.03E-67	Significant
X3351.1	CAMK2B	CAMK2B	0.03605826	0.001891014	2.77E-70	2.78E-68	1.95E-66	Significant
X12499.108	SH3G2	SH3GL2	0.059194936	0.003139733	4.86E-69	4.81E-67	3.42E-65	Significant
X14623.26	SUMO3	SUMO3	0.084286602	0.004489506	1.34E-68	1.31E-66	9.44E-65	Significant
X25285.14	KBTBB	KBTBD11	0.0391097	0.002092928	9.43E-68	9.08E-66	6.63E-64	Significant
X21351.8	Glycyl t-RNA synthetase	GARS1	0.101902103	0.005500731	4.47E-67	4.24E-65	3.14E-63	Significant
X23546.9	HAGHL	HAGHL	0.045915484	0.002499697	5.19E-66	4.86E-64	3.65E-62	Significant
X9816.37	ISOC1	ISOC1	0.026144454	0.001424606	7.82E-66	7.23E-64	5.50E-62	Significant
X9877.28	CRKL	CRKL	0.07810681	0.004268892	1.18E-65	1.08E-63	8.29E-62	Significant
X17721.82	GAS7	GAS7	0.027385713	0.001496776	1.66E-65	1.49E-63	1.16E-61	Significant
X18226.148	COX5A	COX5A	0.05501705	0.003009075	2.08E-65	1.85E-63	1.46E-61	Significant
X9126.171	NT5D3	NT5DC3	0.06335467	0.003497231	1.66E-64	1.46E-62	1.17E-60	Significant
X12661.44	GBRL1	GABARAPL1	0.077375157	0.004288854	4.13E-64	3.59E-62	2.91E-60	Significant
X23327.1	BORC5	BORCS5	0.032373314	0.001799242	1.00E-63	8.59E-62	7.05E-60	Significant
X17775.8	TAGL3	TAGLN3	0.107537249	0.005988186	1.34E-63	1.13E-61	9.41E-60	Significant
X17757.86	CAB39	CAB39	0.079559137	0.004466259	1.04E-62	8.72E-61	7.33E-59	Significant
X11293.14	LRRN1:CD	LRRN1	0.231639133	0.013081835	4.33E-62	3.58E-60	3.04E-58	Significant
X25912.131	FK506 binding protein 1A	FKBP1A	0.113288148	0.006395531	4.88E-62	3.99E-60	3.43E-58	Significant
X3872.2	TCTP	TPT1	0.075966221	0.004297263	6.58E-62	5.32E-60	4.62E-58	Significant
X17735.130	GBRAP	GABARAP	0.072385593	0.004097321	7.69E-62	6.14E-60	5.41E-58	Significant
X4272.46	PHI	GPI	0.114197541	0.006494703	2.58E-61	2.04E-59	1.81E-57	Significant
X4276.10	prostatic binding protein	PEBP1	0.068142823	0.003881703	4.03E-61	3.15E-59	2.83E-57	Significant
X5476.66	PKC-G	PRKCG	0.087386815	0.004981494	4.36E-61	3.37E-59	3.06E-57	Significant
X9934.29	PIPNA	PITPNA	0.061043172	0.003480796	5.22E-61	3.99E-59	3.67E-57	Significant
X21889.2	CG024	GGCT	0.047500219	0.002738461	8.78E-60	6.63E-58	6.17E-56	Significant
X21747.114	UBE2N/UB2V1 Complex	UBE2N|UBE2V1	0.086415759	0.005011362	2.74E-59	2.05E-57	1.93E-55	Significant
X14066.49	MAGI2	MAGI2	0.070669891	0.004098648	3.24E-59	2.40E-57	2.28E-55	Significant
X21206.218	HAX1	HAX1	0.105273747	0.006119332	4.42E-59	3.23E-57	3.10E-55	Significant
X7788.1	CF6	ATP5PF	0.041715611	0.002431288	1.09E-58	7.91E-57	7.67E-55	Significant
X23387.18	TIPRL	TIPRL	0.09521645	0.005558507	1.25E-58	8.99E-57	8.81E-55	Significant
X22782.80	SPC25	SPC25	0.355504822	0.020801118	2.06E-58	1.46E-56	1.45E-54	Significant
X13482.14	CNOT1	CNOT1	0.023105309	0.001354911	4.25E-58	2.99E-56	2.99E-54	Significant
X20111.5	BASP	BASP1	0.109406663	0.006422902	5.05E-58	3.51E-56	3.55E-54	Significant
X19555.1	SUMO2	SUMO2	0.029194988	0.001729666	4.75E-57	3.27E-55	3.34E-53	Significant
X11649.3	SMAP1	SMAP1	0.023199705	0.00137554	5.88E-57	4.01E-55	4.13E-53	Significant
X3405.6	UFC1	UFC1	0.069069415	0.004100266	6.33E-57	4.28E-55	4.45E-53	Significant
X4250.23	NSF1C	NSFL1C	0.060836577	0.003610818	6.74E-57	4.52E-55	4.74E-53	Significant
X21955.36	BAT3	BAG6	0.068428478	0.004067203	8.26E-57	5.48E-55	5.81E-53	Significant
X21154.8	CB39L	CAB39L	0.082840323	0.004935099	1.40E-56	9.23E-55	9.87E-53	Significant
X19243.2	PFD2	PFDN2	0.02539162	0.001513006	1.57E-56	1.02E-54	1.10E-52	Significant
X17791.25	HPCL1	HPCAL1	0.032085433	0.001913724	2.20E-56	1.42E-54	1.54E-52	Significant
X11490.42	UBL4A	UBL4A	0.059176811	0.003540201	3.70E-56	2.36E-54	2.60E-52	Significant
X11626.7	UB2V1	UBE2V1	0.088771088	0.005323787	6.07E-56	3.84E-54	4.27E-52	Significant
X9738.7	FAF2	FAF2	0.055678332	0.003356294	2.01E-55	1.26E-53	1.41E-51	Significant
X24255.38	EPN1	EPN1	0.038105131	0.002305887	5.87E-55	3.65E-53	4.12E-51	Significant
X10085.25	STAR	STAR	0.086085531	0.005242315	1.92E-54	1.19E-52	1.35E-50	Significant
X14070.56	ITSN1	ITSN1	0.028694648	0.001745945	2.10E-54	1.28E-52	1.48E-50	Significant
X11683.19	GGA3	GGA3	0.020879459	0.001272155	2.52E-54	1.53E-52	1.77E-50	Significant
X3766.51	STX1a	STX1A	0.058965452	0.003616274	9.93E-54	5.96E-52	6.98E-50	Significant
X22049.24	14-3-3 eta	YWHAH	0.094269405	0.005808533	2.17E-53	1.29E-51	1.52E-49	Significant
X3636.37	OLR1	OLR1	0.098945831	0.00610771	3.26E-53	1.93E-51	2.29E-49	Significant
X17380.2	UBE2K	UBE2K	0.093004999	0.005760173	6.70E-53	3.93E-51	4.71E-49	Significant
X9789.52	Nesprin-2	SYNE2	0.073955298	0.004598169	1.52E-52	8.86E-51	1.07E-48	Significant
X25488.6	PKHO2	PLEKHO2	0.071646724	0.004471107	3.38E-52	1.95E-50	2.38E-48	Significant
X18910.45	LIN7A	LIN7A	0.03584536	0.002250684	1.34E-51	7.67E-50	9.44E-48	Significant
X13475.10	UB2D4	UBE2D4	0.077483135	0.004867066	1.36E-51	7.73E-50	9.59E-48	Significant
X3115.64	MK01	MAPK1	0.023899121	0.001500829	1.46E-51	8.20E-50	1.02E-47	Significant
X19239.5	ARF1	ARF1	0.058098388	0.003666604	3.37E-51	1.88E-49	2.37E-47	Significant
X19194.9	Histidyl-tRNA synthetase-related	DTD1	0.079764088	0.00503354	3.41E-51	1.89E-49	2.40E-47	Significant
X22045.8	SUMO4	SUMO4	0.018346207	0.001156793	3.43E-51	1.89E-49	2.41E-47	Significant
X11633.89	AHSA1	AHSA1	0.022239828	0.001401377	3.49E-51	1.90E-49	2.45E-47	Significant
X10479.18	MMP-10	MMP10	0.060181865	0.003800487	5.09E-51	2.75E-49	3.58E-47	Significant
X20912.10	HDHD1	PUDP	0.039449822	0.002493852	5.18E-51	2.78E-49	3.64E-47	Significant
X3392.68	PKB gamma	AKT3	0.07691754	0.004868303	6.39E-51	3.40E-49	4.49E-47	Significant
X12522.6	RD23B	RAD23B	0.080793409	0.005115269	6.45E-51	3.41E-49	4.53E-47	Significant
X8963.8	Vti1-rp1	VTI1B	0.059680092	0.003778829	7.35E-51	3.86E-49	5.17E-47	Significant
X13256.21	SHAN1	SHANK1	0.014151605	0.00089595	8.23E-51	4.28E-49	5.78E-47	Significant
X18387.7	suppression of tumorigenicity 13	ST13	0.113624126	0.007200937	9.01E-51	4.65E-49	6.33E-47	Significant
X8019.73	STMN3	STMN3	0.055952823	0.003550449	1.26E-50	6.44E-49	8.83E-47	Significant
X15321.8	CPLX2	CPLX2	0.079644398	0.005071241	2.06E-50	1.05E-48	1.44E-46	Significant
X19238.12	GLNA	GLUL	0.091473499	0.005831913	2.90E-50	1.47E-48	2.04E-46	Significant
X3397.7	SHP-2	PTPN11	0.121590923	0.007772818	4.54E-50	2.28E-48	3.19E-46	Significant
X18284.77	WWC1	WWC1	0.036888904	0.002356073	5.22E-50	2.60E-48	3.67E-46	Significant
X16810.3	RhoGDI	GDI1	0.102959689	0.006590725	6.91E-50	3.42E-48	4.86E-46	Significant
X7997.118	DOC2B	DOC2B	0.07317188	0.00468953	8.09E-50	3.97E-48	5.68E-46	Significant
X19392.6	DDAH1	DDAH1	0.076466669	0.004907391	1.06E-49	5.19E-48	7.48E-46	Significant
X7893.19	OLR1	OLR1	0.088882146	0.005728964	2.44E-49	1.18E-47	1.71E-45	Significant
X13594.158	GGA1	GGA1	0.073492744	0.004759244	6.39E-49	3.08E-47	4.49E-45	Significant
X13574.50	RND1	RND1	0.04155472	0.002692496	7.65E-49	3.66E-47	5.38E-45	Significant
X13698.28	K319L	KIAA0319L	0.042673603	0.00276752	8.17E-49	3.88E-47	5.74E-45	Significant
X17686.27	TBCB	TBCB	0.074394525	0.004833379	1.16E-48	5.49E-47	8.18E-45	Significant
X14068.29	TECK	CCL25	0.053534769	0.003478404	1.18E-48	5.54E-47	8.30E-45	Significant
X22981.3	HPCL1	HPCAL1	0.020304463	0.001318466	1.25E-48	5.81E-47	8.77E-45	Significant
X12401.3	STALP	STAMBPL1	0.066372874	0.004314186	1.46E-48	6.77E-47	1.03E-44	Significant
X10058.1	RD23A	RAD23A	0.076702381	0.004999169	2.19E-48	1.00E-46	1.54E-44	Significant
X18165.181	UB2V2	UBE2V2	0.066329656	0.004346445	6.67E-48	3.04E-46	4.69E-44	Significant
X8274.64	Syntaxin-7	STX7	0.068599915	0.004498788	7.65E-48	3.47E-46	5.37E-44	Significant
X5864.10	aldolase A	ALDOA	0.065768846	0.004334221	1.89E-47	8.53E-46	1.33E-43	Significant
X21110.5	UBE2Z	UBE2Z	0.060365936	0.003976558	2.04E-47	9.07E-46	1.43E-43	Significant
X13943.38	DPY30	DPY30	0.048210314	0.003172219	2.04E-47	9.07E-46	1.43E-43	Significant
X13732.79	Cardiotrophin-1	CTF1	0.156419742	0.010340419	4.31E-47	1.90E-45	3.03E-43	Significant
X22966.20	GBRAP	GABARAP	0.046254308	0.003065206	5.43E-47	2.39E-45	3.82E-43	Significant
X5467.15	HSP 90b	HSP90AB1	0.072175596	0.004789213	7.02E-47	3.06E-45	4.93E-43	Significant
X4976.57	CRK	CRK	0.056029445	0.003727292	1.14E-46	4.97E-45	8.04E-43	Significant
X16803.4	CALB2	CALB2	0.0988432	0.006595418	2.03E-46	8.75E-45	1.43E-42	Significant
X23022.5	RhoGDI	GDI1	0.080400802	0.005384728	4.99E-46	2.14E-44	3.51E-42	Significant
X9719.145	MMP-16	MMP16	0.042896327	0.00288309	7.66E-46	3.26E-44	5.38E-42	Significant
X4696.2	FABP	FABP3	0.015731037	0.001058106	1.08E-45	4.58E-44	7.61E-42	Significant
X19175.18	MARCKSL1	MARCKSL1	0.065446647	0.004413935	1.49E-45	6.26E-44	1.04E-41	Significant
X17325.10	KGUA	GUK1	0.064514294	0.004362049	2.50E-45	1.04E-43	1.75E-41	Significant
X19523.215	PARK7	PARK7	0.102717153	0.006974365	5.08E-45	2.11E-43	3.57E-41	Significant
X8887.21	NUDC:CS	NUDC	0.034381817	0.002340022	8.18E-45	3.38E-43	5.75E-41	Significant
X9826.135	Fragile histidine triad protein	FHIT	0.048916303	0.003335587	1.15E-44	4.71E-43	8.06E-41	Significant
X11608.5	MLP3B	MAP1LC3B	0.066797588	0.004560278	1.33E-44	5.43E-43	9.34E-41	Significant
X10001.7	c-Raf	RAF1	0.027405039	0.00187177	1.64E-44	6.68E-43	1.15E-40	Significant
X21916.82	OTUL	OTULIN	0.035048311	0.002394796	1.67E-44	6.74E-43	1.17E-40	Significant
X19273.3	Glutathione reductase	GSR	0.069396234	0.004746859	1.97E-44	7.91E-43	1.38E-40	Significant
X13621.31	AP2A2	AP2A2	0.072137044	0.004940662	2.38E-44	9.49E-43	1.67E-40	Significant
X6378.2	CEI	C5orf38	0.183352393	0.012644706	8.17E-44	3.24E-42	5.74E-40	Significant
X13615.60	NCK2	NCK2	0.030068948	0.002079507	1.64E-43	6.48E-42	1.15E-39	Significant
X15526.33	GSHB	GSS	0.066934358	0.004657145	4.24E-43	1.67E-41	2.98E-39	Significant
X19176.27	FA49B	CYRIB	0.073643178	0.005181772	2.80E-42	1.10E-40	1.97E-38	Significant
X19277.4	KAT	TSTD1	0.029657943	0.002090628	4.32E-42	1.68E-40	3.03E-38	Significant
X10082.251	NFL	NEFL	0.105897477	0.007522479	1.54E-41	5.96E-40	1.09E-37	Significant
X11659.31	EPN4	CLINT1	0.051618152	0.003675036	2.21E-41	8.47E-40	1.55E-37	Significant
X4230.1	IF4G2	EIF4G2	0.044537525	0.003175605	3.01E-41	1.15E-39	2.12E-37	Significant
X19293.6	VP26A	VPS26A	0.068643716	0.004900827	3.29E-41	1.25E-39	2.31E-37	Significant
X2864.2	MEK1	MAP2K1	0.036614547	0.002621504	5.83E-41	2.20E-39	4.10E-37	Significant
X7761.125	CHKB	CHKB	0.058056349	0.004165858	9.26E-41	3.48E-39	6.51E-37	Significant
X4254.6	NUDC3	NUDCD3	0.019088384	0.001369999	9.85E-41	3.68E-39	6.92E-37	Significant
X4959.2	AGR2	AGR2	0.014014388	0.001008952	1.39E-40	5.17E-39	9.77E-37	Significant
X17320.19	ADPPT	AASDHPPT	0.052682544	0.003800699	1.89E-40	6.98E-39	1.33E-36	Significant
X20387.277	CHCH7	CHCHD7	0.057325338	0.004143487	2.52E-40	9.27E-39	1.77E-36	Significant
X20972.37	CPSF5	NUDT21	0.061618629	0.004459823	3.35E-40	1.23E-38	2.36E-36	Significant
X2625.53	HSP 90a	HSP90AA1	0.076250556	0.005522648	3.75E-40	1.37E-38	2.64E-36	Significant
X12667.2	GUAD	GDA	0.126508973	0.009172212	5.47E-40	1.98E-38	3.85E-36	Significant
X3896.5	Phosphoglycerate mutase 1	PGAM1	0.081045693	0.005890877	7.21E-40	2.60E-38	5.07E-36	Significant
X24669.12	DNJ5B	DNAJC5B	0.065245021	0.004753206	9.60E-40	3.44E-38	6.75E-36	Significant
X19630.2	g-Synuclein	SNCG	0.068281187	0.004976088	9.86E-40	3.52E-38	6.93E-36	Significant
X13113.7	Osteopontin	SPP1	0.0774994	0.005647895	1.03E-39	3.67E-38	7.26E-36	Significant
X11462.8	RBM9	RBFOX2	0.016521735	0.001206166	1.39E-39	4.91E-38	9.76E-36	Significant
X3432.21	EPHA3	EPHA3	0.026144081	0.001911429	1.86E-39	6.55E-38	1.31E-35	Significant
X5980.55	BOLA3	BOLA3	0.03418606	0.00250458	2.45E-39	8.58E-38	1.72E-35	Significant
X20960.47	FUBP1	FUBP1	0.052544741	0.003869063	5.25E-39	1.83E-37	3.69E-35	Significant
X12399.194	CCD50	CCDC50	0.031679924	0.002333694	6.21E-39	2.15E-37	4.37E-35	Significant
X17852.5	PPME1	PPME1	0.028382726	0.002092887	7.71E-39	2.66E-37	5.42E-35	Significant
X14037.18	RANB3	RANBP3	0.031271627	0.002319233	1.83E-38	6.26E-37	1.28E-34	Significant
X12936.38	RLBP1	RLBP1	0.015796764	0.001174451	2.52E-38	8.59E-37	1.77E-34	Significant
X9514.46	K0494:C-term	EFCAB14	0.202209812	0.015053004	2.93E-38	9.94E-37	2.06E-34	Significant
X8307.47	CK068	C11orf68	0.063440018	0.004773144	1.60E-37	5.41E-36	1.13E-33	Significant
X21736.60	HS2ST	HS2ST1	0.027801593	0.00209245	1.70E-37	5.73E-36	1.20E-33	Significant
X18318.98	SH3G3	SH3GL3	0.028247533	0.002130442	2.40E-37	8.04E-36	1.69E-33	Significant
X3853.56	MDHC	MDH1	0.05910745	0.004470196	3.71E-37	1.24E-35	2.61E-33	Significant
X18319.7	ODPX	PDHX	0.021454922	0.001629635	6.92E-37	2.29E-35	4.86E-33	Significant
X21328.2	SYT1	SYT1	0.072998007	0.005565242	1.12E-36	3.69E-35	7.88E-33	Significant
X20139.57	SH3G2	SH3GL2	0.038500402	0.002934366	1.12E-36	3.69E-35	7.89E-33	Significant
X19601.15	ASB9	ASB9	0.099542705	0.007603964	1.49E-36	4.86E-35	1.04E-32	Significant
X11161.5	SPG20	SPART	0.015394321	0.001179777	2.63E-36	8.56E-35	1.85E-32	Significant
X12880.1	SV2A	SV2A	0.022490132	0.00172888	4.23E-36	1.37E-34	2.97E-32	Significant
X5496.49	Spondin-1	SPON1	0.051635267	0.003975139	4.74E-36	1.53E-34	3.33E-32	Significant
X11243.90	GPR110	ADGRF1	0.056282558	0.00434493	7.16E-36	2.30E-34	5.03E-32	Significant
X3419.49	CAMK2D	CAMK2D	0.01873697	0.001446567	7.99E-36	2.55E-34	5.62E-32	Significant
X9997.12	UBXN4:CD 1	UBXN4	0.045690152	0.003530319	8.34E-36	2.65E-34	5.86E-32	Significant
X11438.6	DNJB2	DNAJB2	0.025989099	0.00200783	9.05E-36	2.86E-34	6.36E-32	Significant
X12881.17	RDH16	RDH16	-0.043309751	0.003357142	1.35E-35	4.26E-34	9.50E-32	Significant
X23396.21	TWF2	TWF2	0.067009486	0.005196167	1.38E-35	4.33E-34	9.71E-32	Significant
X17816.58	NCALD	NCALD	0.017491045	0.00135866	1.88E-35	5.86E-34	1.32E-31	Significant
X6285.71	K0152	MLEC	0.04820185	0.003751892	2.49E-35	7.75E-34	1.75E-31	Significant
X23320.11	MB12B	MVB12B	0.057513401	0.004480013	2.67E-35	8.28E-34	1.88E-31	Significant
X13960.15	AGAP3	AGAP3	0.026195118	0.002041678	3.22E-35	9.94E-34	2.27E-31	Significant
X11926.23	P34	AAGAB	0.026114288	0.002040767	4.59E-35	1.41E-33	3.22E-31	Significant
X12993.21	NPL4	NPLOC4	0.022012932	0.001721786	5.11E-35	1.56E-33	3.59E-31	Significant
X7898.29	MDM1	MDM1	0.028670071	0.002249284	7.44E-35	2.26E-33	5.23E-31	Significant
X19233.75	ATOX1	ATOX1	0.060780721	0.004767152	7.71E-35	2.34E-33	5.42E-31	Significant
X11279.42	GABR1	GABBR1	0.032983817	0.002591997	9.67E-35	2.92E-33	6.80E-31	Significant
X11664.32	ARFG2	ARFGAP2	0.028069681	0.002205677	1.03E-34	3.09E-33	7.23E-31	Significant
X22786.57	SPT46	SPATA46	0.044245635	0.003488895	1.72E-34	5.16E-33	1.21E-30	Significant
X20126.19	GFAP	GFAP	0.054935831	0.004358642	3.89E-34	1.16E-32	2.73E-30	Significant
X3825.18	MK08	MAPK8	0.018816803	0.001496856	5.44E-34	1.61E-32	3.82E-30	Significant
X6400.33	P5I13	TP53I13	0.056420144	0.004490307	5.71E-34	1.69E-32	4.02E-30	Significant
X13044.5	TS101	TSG101	0.047732589	0.003803255	6.76E-34	1.99E-32	4.75E-30	Significant
X25413.80	GAGE-2	GAGE2B	0.028066081	0.002249473	1.67E-33	4.88E-32	1.17E-29	Significant
X8353.15	SCN2B	SCN2B	0.064246092	0.00516138	2.06E-33	6.02E-32	1.45E-29	Significant
X12800.5	TPPP2	TPPP2	0.072674811	0.00585238	2.84E-33	8.26E-32	2.00E-29	Significant
X3034.1	GFAP	GFAP	0.077718804	0.006264702	3.25E-33	9.40E-32	2.28E-29	Significant
X20942.4	DNJB8	DNAJB8	0.060533582	0.004893585	4.89E-33	1.41E-31	3.44E-29	Significant
X8975.26	RCD1	CNOT9	0.029470701	0.002383081	5.26E-33	1.51E-31	3.70E-29	Significant
X15627.83	PKB	AKT1	0.052178042	0.004227579	6.49E-33	1.86E-31	4.57E-29	Significant
X12720.71	UBQL4	UBQLN4	0.053990416	0.00437632	7.11E-33	2.02E-31	5.00E-29	Significant
X21935.16	UBE2H	UBE2H	0.011035088	0.000895143	8.84E-33	2.51E-31	6.21E-29	Significant
X21429.50	THOP1	THOP1	0.238547743	0.019376635	9.03E-33	2.55E-31	6.35E-29	Significant
X7758.217	RN215:ECD	RNF215	0.012733294	0.001036048	1.22E-32	3.43E-31	8.58E-29	Significant
X8409.3	RSPO2	RSPO2	0.056041468	0.004563253	1.27E-32	3.56E-31	8.95E-29	Significant
