baseMean	log2FoldChange	lfcSE	pvalue	padj	wtpval	Gene
HTATIP2	22.3787507409471	0.458220393803012	0.177590953508575	1.34833216719216e-05	0.00540259845241809	2.17746544933497e-05	HTATIP2
ZDHHC2	78.461974266046	0.275541985799306	0.0879268640154931	1.3913600128614e-05	0.00540606608633604	9.33212360726457e-06	ZDHHC2
SLC9B1	15.8993417994047	-0.62162512409668	0.240614980365968	1.45975030068968e-05	0.00550497598689504	2.10667231035679e-05	SLC9B1
IER2	29.880246676317	-0.757610352077339	0.308919032595607	1.61891328887437e-05	0.00593077319712778	1.61912901000671e-05	IER2
FCHSD2	693.414393151663	-0.241409064099203	0.073199319321483	1.81684783715028e-05	0.00647100637998359	1.19067318386898e-05	FCHSD2
DHX57	29.2566166344506	-0.335725409557634	0.125092998680743	1.97701431497391e-05	0.00664216945340768	1.9528920799681e-05	DHX57
ITGB1	88.1456096061376	0.250683014107221	0.0783581132738667	2.01614296271803e-05	0.00664216945340768	1.35226649925834e-05	ITGB1
ARG2	15.3954766686658	0.700777867947407	0.290941676441851	2.02031359135002e-05	0.00664216945340768	2.2856988413063e-05	ARG2
PLXNA1	19.1772170812771	0.512415567110382	0.21052066782345	2.10826781073048e-05	0.0066713368514117	3.0425953107076e-05	PLXNA1
PCBD2	38.8636577622397	-0.361246137433043	0.140457107177625	2.13324606853751e-05	0.0066713368514117	1.53900741350425e-05	PCBD2
MITD1	42.5451815895889	0.329549363653678	0.123389167664928	2.23993135257973e-05	0.0068381904292327	1.62683752742859e-05	MITD1
AHNAK	32.692312343419	0.696025352195251	0.297619544787394	2.34794313199482e-05	0.00700123879963664	1.70528529590793e-05	AHNAK
KLHL21	20.6600918728756	0.465150831306792	0.195370319828926	2.52917743815649e-05	0.00730631303179777	6.70918031706689e-05	KLHL21
SBF2-AS1	21.6977180438892	0.358050428245786	0.142295805004227	2.62904427258104e-05	0.00730631303179777	3.79416587147255e-05	SBF2-AS1
PRKCA	455.927268727022	-0.337393483634642	0.130699200932242	2.67818368814924e-05	0.00730631303179777	1.93214679336715e-05	PRKCA
LINC02397	14.6326510761221	0.826919857225906	0.439190108599734	2.66123176448135e-05	0.00730631303179777	3.01080702845636e-05	LINC02397
SECISBP2	90.0153532756041	-0.2053257742793	0.0608061953517026	3.35888943163876e-05	0.00897243339426504	2.42323462476932e-05	SECISBP2
ITGB2-AS1	16.2957496576456	-0.545013705939987	0.241478331471883	3.44287997621104e-05	0.00900910348060774	5.5600187971621e-05	ITGB2-AS1
SESN1	160.032012084819	0.243200749663888	0.0796348689190152	3.85998002679779e-05	0.00929558014617752	2.52964206148754e-05	SESN1
PKIB	12.5147783712654	-0.49869125800537	0.224766720743591	3.96595434068403e-05	0.00929558014617752	5.53059224073829e-05	PKIB
ZMIZ2	27.5170648715962	-0.293961947303754	0.109052901234506	3.71957751798444e-05	0.00929558014617752	2.68344916215235e-05	ZMIZ2
GNG3	12.9946292269844	-0.764070691442067	0.574795014894781	3.99981743742253e-05	0.00929558014617752	4.52522723269127e-05	GNG3
THAP2	9.91189770110599	0.404724955463879	0.177470676426584	4.05983846658822e-05	0.00929558014617752	5.43118038628777e-05	THAP2
PAPOLA	171.842560472506	0.246299300916351	0.0815868195421536	3.99457926298383e-05	0.00929558014617752	2.6178518156667e-05	PAPOLA
COLEC12	43.9983179337502	-0.748746823127203	0.390534988352699	3.86185703798059e-05	0.00929558014617752	3.26782045818806e-05	COLEC12
GSG1L	5.81001135463694	-0.693103860621178	0.341988699817621	4.18696792361639e-05	0.00941847416080866	0.000162897507155896	GSG1L
CRYZ	13.4155487111175	0.555387405298404	0.256988642478952	4.37196440271494e-05	0.00954630752642793	6.09678032709495e-05	CRYZ
ARSI	8.33013676851689	-0.693518975712222	0.353017209443492	4.61605885695314e-05	0.00954630752642793	6.17528222666026e-05	ARSI
HIST1H2BG	12.6256554800283	-0.703198126910374	0.360717981882397	4.54053354543099e-05	0.00954630752642793	6.33185292567977e-05	HIST1H2BG
SNX22	9.93314731379644	-0.599646367997363	0.283330348598115	4.54955700904204e-05	0.00954630752642793	6.08631722595909e-05	SNX22
DOK6	18.4999545656771	-0.677539946682263	0.335183029245028	4.46441421305242e-05	0.00954630752642793	7.2097276449952e-05	DOK6
HTT	104.672152081686	-0.173878205179242	0.049774483985932	4.73037847998845e-05	0.00962744648736697	3.10005862379068e-05	HTT
FGF13	19.2606033951354	-0.750754892378056	0.492019036265151	4.99453374997098e-05	0.0100062362097075	0.000132490615417858	FGF13
MICU2	112.852517356488	-0.178783099411301	0.0519645941413821	5.09610500397864e-05	0.0100526551324637	3.34043016613777e-05	MICU2
PLS1	20.9655333902284	0.431953225647577	0.200295763221802	5.37580880934892e-05	0.0104437303868897	6.08196669033061e-05	PLS1
CADM3	7.28018901998493	-0.71528239967776	0.41112414799639	5.55052641515585e-05	0.0104660073081071	8.03674946454997e-05	CADM3
NEK10	59.7912117325077	0.613847650015497	0.305494861167358	5.54204251058973e-05	0.0104660073081071	4.82002426986664e-05	NEK10
OLFM1	4.81522650499768	-0.714297809675667	0.422299412210674	5.82579239012482e-05	0.0108258420327798	0.000134255066562523	OLFM1
SV2C	15.4471327512489	-0.717288304143838	0.475942770054501	6.2487101878694e-05	0.0113136489956552	9.01797021176109e-05	SV2C
NFX1	102.399321459248	-0.203303190929576	0.0633550270635053	6.26477210023022e-05	0.0113136489956552	4.51965239658397e-05	NFX1
FSCN1	51.5679593815195	-0.341518311028574	0.150434001514649	6.59698423332893e-05	0.0114665468545969	5.58222632997547e-05	FSCN1
CDKL1	56.8124054606693	0.538812573315212	0.267902649680808	6.51212714590239e-05	0.0114665468545969	4.72968638620961e-05	CDKL1
PPP6R2	172.300824159106	-0.243032562976343	0.0844289816503761	6.61772318858347e-05	0.0114665468545969	4.77428516004779e-05	PPP6R2
ICA1L	20.4743557410714	-0.456541854762559	0.223039754415646	6.9457362887426e-05	0.0115660039862672	0.000100238995036487	ICA1L
ANAPC16	165.92205336533	0.312899159385971	0.131649206279289	6.88746111964338e-05	0.0115660039862672	4.36803197361131e-05	ANAPC16
MYO15B	59.2224911099381	-0.258462539797688	0.094384711972704	6.90781355537667e-05	0.0115660039862672	5.01706907732863e-05	MYO15B
HP1BP3	208.977499209929	0.239881119616396	0.0834422652197787	7.22329350036566e-05	0.0115771336577111	5.21116734301593e-05	HP1BP3
VKORC1L1	66.859664221842	-0.257805399163248	0.0944196209695162	7.1735568696374e-05	0.0115771336577111	5.17528538615101e-05	VKORC1L1
KCNJ6	25.3531657191033	-0.695487550257523	0.454122090494053	7.1668340119757e-05	0.0115771336577111	7.07938899300185e-05	KCNJ6
HDGF	17.7690398757109	0.347117257037474	0.157389227867543	7.55247282338194e-05	0.0116413450724019	0.000200345382049393	HDGF
TNPO1	177.68929454598	0.228519766177216	0.0775626099046733	7.71731657427982e-05	0.0116413450724019	4.89432680074137e-05	TNPO1
RBM25	166.58045580463	-0.271425420835063	0.103872764569383	7.402015573638e-05	0.0116413450724019	5.16203135768449e-05	RBM25
VEZF1	50.6016859962674	0.249770733818973	0.0901425769400001	7.70493805574017e-05	0.0116413450724019	5.5960118425748e-05	VEZF1
TANC2	530.240378311857	0.228657405030762	0.0774296494217723	7.53360705476799e-05	0.0116413450724019	5.25380086900738e-05	TANC2
IL21R	23.066429139238	-0.673331413779776	0.429438265784768	8.07752437419164e-05	0.0120430252937076	0.000130446567017612	IL21R
DCTN4	93.9657630782729	-0.235497484274363	0.0825630774257418	8.58892656590316e-05	0.0125229480061807	5.62992900913258e-05	DCTN4
VNN2	6.61634745594359	-0.589104514527002	0.322924930113001	8.59475451991811e-05	0.0125229480061807	0.000114979111995965	VNN2
KANK4	17.696080958423	-0.636157766352676	0.376910150768166	8.80398245427017e-05	0.0126150766032729	9.96045989135752e-05	KANK4
SPDYA	6.95630430647394	0.420813256313298	0.210967572735596	8.98320138233915e-05	0.0126150766032729	0.000207017383862636	SPDYA
TMBIM6	125.0152530838	0.243231065442471	0.08784128084143	9.05152899314543e-05	0.0126150766032729	6.53012815982814e-05	TMBIM6
ZFP36L1	373.707650806545	-0.391219525716435	0.191542671668998	8.90900114202241e-05	0.0126150766032729	6.42730297583071e-05	ZFP36L1
CCDC170	6.46288331352211	-0.622197299022595	0.371954761689686	9.59966397867902e-05	0.0129254834374977	0.000373482997765696	CCDC170
RABEPK	15.798015100557	-0.305335039941933	0.133021331688571	9.6774794103867e-05	0.0129254834374977	0.000129463614857973	RABEPK
RELA	14.0102022073814	0.370892465347333	0.180003753061608	9.5433784209428e-05	0.0129254834374977	0.00010796981761787	RELA
CALCOCO2	53.4219399776058	0.311782747776337	0.137336141840583	9.45668062965639e-05	0.0129254834374977	6.8224204468643e-05	CALCOCO2
PIK3CA	122.703217865223	0.237412550234927	0.0850920959579822	9.8123020809116e-05	0.0129704471424174	6.58130282920584e-05	PIK3CA
DMD	180.955652700796	-0.421318183121356	0.215923131520489	0.000101511366508698	0.0131833651400935	6.652558320425e-05	DMD
ARHGEF9	49.2992649511729	-0.280104264404942	0.115621713530208	0.000104887546616471	0.0131833651400935	7.56699914781459e-05	ARHGEF9
PGAP2	11.6845080047127	-0.326717921512585	0.1511165255275	0.000105902870802498	0.0131833651400935	0.000153339481079181	PGAP2
PPP1R12A	216.304739255494	0.147445468307079	0.0427921404893794	0.000104495094347216	0.0131833651400935	6.84809724518487e-05	PPP1R12A
TMEM170A	10.6438541703222	0.410040988526386	0.209321660037133	0.000103873916921941	0.0131833651400935	0.000213817549851989	TMEM170A
ABCA10	6.46016793894501	-0.580393182656869	0.333348015684373	0.000103303212944555	0.0131833651400935	0.000401909834917675	ABCA10
ZKSCAN1	119.20482324685	-0.25432938351789	0.0973255885533295	0.000107632943119862	0.0132698999681045	7.76506282335783e-05	ZKSCAN1
CTBS	46.2434485244138	0.235826686458062	0.0864579489571038	0.000121649148951498	0.013314513751576	8.77624690578664e-05	CTBS
RSBN1	44.4730151260653	0.203919231847877	0.0674717348786696	0.0001127103386187	0.013314513751576	9.80264165366738e-05	RSBN1
BTG2	80.0925599209143	-0.449024393715225	0.24080644324854	0.000117391994203532	0.013314513751576	8.18670467781674e-05	BTG2
GPATCH2	73.4929367072504	-0.271646003644825	0.1104198609842	0.000111927036912081	0.013314513751576	8.07485559775815e-05	GPATCH2
ID2	99.8738084994546	-0.590892901675265	0.360895624033795	0.000116800512996777	0.013314513751576	7.8340387434033e-05	ID2
REEP1	10.7755508253352	-0.608306878518581	0.393426814883925	0.000119501544213953	0.013314513751576	0.000172461409407807	REEP1
HIST1H4H	6.3879074435401	0.602330194546988	0.385546536453315	0.000121371131312026	0.013314513751576	0.000230787609482095	HIST1H4H
AKAP12	18.285996308569	-0.621548156590487	0.406636369503834	0.00011268948693544	0.013314513751576	0.000181985915841638	AKAP12
BNIP3L	151.187118138294	0.300328396959295	0.134707364795327	0.000124843803282927	0.013314513751576	7.91760149312177e-05	BNIP3L
SNX16	14.2978336655678	0.280060561978077	0.119057141055474	0.000126584112849651	0.013314513751576	0.000143212004961515	SNX16
CARNS1	73.0656279122901	-0.55105665293007	0.320288523877738	0.000119729120368464	0.013314513751576	8.6377285104167e-05	CARNS1
AEBP2	128.750126684874	0.210639088179171	0.0717946146825316	0.000125048324748016	0.013314513751576	9.02147678469276e-05	AEBP2
WASF3	22.3318352346274	-0.299526861487884	0.132378308867438	0.000115575188941179	0.013314513751576	0.000130756965937196	WASF3
WDHD1	7.58600824092672	-0.477021768147571	0.263956802520621	0.000125170821867586	0.013314513751576	0.000167451320602433	WDHD1
ZBTB1	114.417288679551	0.257722269043511	0.102099021430025	0.000126686217258796	0.013314513751576	8.49709225410678e-05	ZBTB1
NUPR1	87.0392226264401	0.588443281179619	0.360520400473914	0.000119004482274638	0.013314513751576	7.79897154331162e-05	NUPR1
STX8	162.459926646918	-0.176498311542572	0.0552379414247979	0.000126290566114737	0.013314513751576	8.80727493719104e-05	STX8
CCDC40	23.9109290162264	0.525400205557112	0.298340612610197	0.000120325699319084	0.013314513751576	0.00019431788346338	CCDC40
DHDDS	20.5383708687555	-0.265541554454887	0.108194597817193	0.000128841198304	0.0134309093061292	0.00014576557764935	DHDDS
IL27RA	5.29379495475308	0.559515148970246	0.338501542054345	0.000130911224640049	0.0135366429220541	0.000175130730313873	IL27RA
CHRNA4	4.80775425494726	-0.601114447944321	0.46653392937461	0.000137253661822596	0.0140789316151146	0.000316300311957185	CHRNA4
ZSCAN30	26.229697611755	-0.246104592945476	0.0954925708552153	0.000143303994412345	0.0145828874313896	9.39338937265436e-05	ZSCAN30
CCDC30	48.6988159268778	0.330428713792163	0.162527123498918	0.00014542823726892	0.0145953747401266	0.000105622930660079	CCDC30
CCNG2	39.5298331855966	0.422199941030622	0.232415329147852	0.000146841627006421	0.0145953747401266	0.000106649460095101	CCNG2
GIPC1	31.849800804637	-0.372202665590642	0.195225091792963	0.000146823967497742	0.0145953747401266	0.000106636634188002	GIPC1
EMP2	8.93095022713685	0.547580474930069	0.340277042018418	0.000148272518322666	0.0146242325379479	0.000214687579719176	EMP2
CSF3R	177.603939961561	-0.319909569746814	0.15575464748407	0.000154263660666109	0.0147609601273198	0.000111291857465936	CSF3R
DDAH1	12.2767361460285	-0.526884720667935	0.321731553023661	0.000153738044111234	0.0147609601273198	0.000222601254597801	DDAH1
AZGP1	12.7335500477244	0.564363982118226	0.367661017457318	0.000152825995045215	0.0147609601273198	0.000172900979972574	AZGP1
BMI1	23.6769061123662	0.307917487236263	0.145793549899983	0.000153387602344468	0.0147609601273198	0.000221364855659517	BMI1
AC068025.2	4.1968895036993	-0.490762766614556	0.290081108149922	0.000157337939102204	0.0149436078160627	0.0004074865420699	AC068025.2
LPGAT1	195.598893566456	-0.245292788929222	0.0972802229194641	0.000169065434007957	0.0153844159565927	0.000110797213985838	LPGAT1
ATP6V0E2	21.9126376779058	-0.490412182506996	0.294413676684308	0.000166859209297921	0.0153844159565927	0.000241599725986106	ATP6V0E2
POMT1	12.165609695343	-0.306750667797271	0.147405206245947	0.000169114111567021	0.0153844159565927	0.000244060930119698	POMT1
ZNF24	56.9836809196413	0.22482682403899	0.0830502373989934	0.000168794685175842	0.0153844159565927	0.000121775108683937	ZNF24
CHGB	10.3580492963731	-0.535841185391488	0.51379036974957	0.000169178182021492	0.0153844159565927	0.000226323591823868	CHGB
AC116366.3	31.7582378395968	-0.287981288414361	0.131427110549826	0.000167723271623421	0.0153844159565927	0.000109940410501115	AC116366.3
C19orf12	23.1278227412655	-0.253464769641714	0.103838271926022	0.000172886465058007	0.0156109172885476	0.000249505089056047	C19orf12
DTWD2	41.713493500995	-0.242271300109054	0.0956492811739197	0.000176119869349132	0.0156947332407992	0.000127913925778575	DTWD2
SULT1A1	10.0631059625122	-0.45571265082553	0.26897122390224	0.000177283604166486	0.0156947332407992	0.000237166882791912	SULT1A1
ZBTB7C	8.34082053477345	0.556015254806954	0.385351049605619	0.000177486844479479	0.0156947332407992	0.000365344865603573	ZBTB7C
GLIPR2	18.1519254892555	-0.456453289259121	0.270982401202818	0.000181025361296698	0.0158979944010018	0.000204804571099494	GLIPR2
JADE2	40.8024562390566	0.36578126457789	0.199488887253508	0.000187168608711072	0.0162153777087389	0.000122686574590668	JADE2
AC007262.2	107.651307065301	0.418551471518248	0.241768693587294	0.000186796419396171	0.0162153777087389	0.000122442609363492	AC007262.2
HIVEP3	358.373864584027	-0.254934207504845	0.107206065494783	0.000196355740747284	0.0164553810971351	0.000136934930886761	HIVEP3
PAQR6	34.4132844002564	-0.440964651299076	0.262406430871646	0.000193892298258341	0.0164553810971351	0.000193918134519256	PAQR6
PHF10	33.2015045736536	0.230255884332573	0.08833853371671	0.000193764913584741	0.0164553810971351	0.000127010366146737	PHF10
FAM168A	261.231537297759	-0.198920852976533	0.06900221932898	0.000195336559010707	0.0164553810971351	0.000131016048819511	FAM168A
CCDC117	18.544741744087	0.312012761516942	0.155953784580302	0.000195226150187576	0.0164553810971351	0.000315277056487775	CCDC117
BEND6	9.8463854918641	-0.448354115060393	0.27088129016727	0.00020019985127385	0.0166685876170994	0.000380680682421759	BEND6
IRF2BP2	64.0193279295701	0.276400953292587	0.125894468941326	0.000202339152018059	0.0167380168204874	0.000145975403208615	IRF2BP2
TUBB2A	22.6609099639733	-0.539101358228924	0.458321176514555	0.000208706512640289	0.0171540699043191	0.000236121875414508	TUBB2A
VAV3	25.35636723585	-0.538156704031423	0.397279448019495	0.000212459166501524	0.0172347911265428	0.000212487476808374	VAV3
PRRG4	17.7019346034304	0.439432864764859	0.266672200413146	0.000211131505941034	0.0172347911265428	0.000238865412062196	PRRG4
L2HGDH	15.7983252370004	-0.264035309998677	0.116430922495623	0.000213721087905186	0.0172347911265428	0.000298037770713896	L2HGDH
ASCC1	74.4988389886101	0.196928116863579	0.0688873199563734	0.000220518118903984	0.017671770753668	0.000144516786363374	ASCC1
PPFIA2	103.650199775249	-0.419842819660717	0.252821642523295	0.000222252625727636	0.0177001438949053	0.000160341764464198	PPFIA2
CD247	10.3490759596157	0.48997932874853	0.325359373549573	0.000229515194483477	0.018054256586915	0.000472441763942898	CD247
ARHGDIG	9.74968001312427	-0.53016525832983	0.441741551312857	0.000228516258444368	0.018054256586915	0.000305705025218385	ARHGDIG
SFXN4	23.057889094751	-0.251171269056287	0.10776299499808	0.000239464117701076	0.0187220055924585	0.000386718388344482	SFXN4
BIN1	195.891256192049	-0.278204534822754	0.131968235921797	0.000243304399693776	0.0188158749571662	0.000159449799982758	BIN1
PCYOX1L	6.25054867245469	-0.380286469957945	0.224111567198554	0.00024648558496429	0.0188158749571662	0.000958972890956979	PCYOX1L
RAB6A	121.281923404265	-0.161048997158764	0.0518433355542932	0.000245459097041718	0.0188158749571662	0.00016086188320684	RAB6A
PIGL	41.849637683689	-0.34541422512737	0.193392967205669	0.000246534627421925	0.0188158749571662	0.000161600223267532	PIGL
NAIP	233.16147314054	-0.307813329632065	0.159903991854282	0.000249695124076983	0.0189160711394984	0.000163637968079718	NAIP
TYW1	85.5015152674053	-0.168573257197351	0.0553776970136749	0.000250798010740503	0.0189160711394984	0.000164394815262019	TYW1
ZC3H14	64.6852820897665	0.171362796534222	0.0567429753284337	0.000253093238154873	0.0189775526293672	0.00016975458262357	ZC3H14
AC083949.1	6.38848897361088	-0.487451588138974	0.337889781153855	0.000258077578686249	0.0190920469265943	0.000594738366639166	AC083949.1
PID1	39.4095561616396	-0.431744716331792	0.274204844108778	0.000259087206771752	0.0190920469265943	0.000225333281414855	PID1
EMSY	82.7193094006221	0.215458860969299	0.0816899919836725	0.000257610166022299	0.0190920469265943	0.000179652655663333	EMSY
FOS	92.5199129199895	-0.504429431464885	0.374200683739833	0.000263988256254365	0.019342042409677	0.000173040848650042	FOS
CCDC126	29.7208385757927	0.253600558500027	0.112378444216555	0.00027191105005665	0.0195867611450919	0.000178234136346543	CCDC126
CCDC136	17.8049381619883	-0.327312905726362	0.180723352750585	0.000270557334265671	0.0195867611450919	0.000390461056382138	CCDC136
DOC2A	21.0215262044514	0.463824440166124	0.312575484166543	0.000270426179677105	0.0195867611450919	0.000717362876379165	DOC2A
LINC01877	23.3309280032491	-0.503694859449243	0.387478431834245	0.000275369754017081	0.0197250893073017	0.000397406210927623	LINC01877
GRIA3	30.6550965259244	-0.439186550767734	0.287689336254991	0.000278531103355119	0.0197310818078417	0.000202294079670046	GRIA3
EXOC5	74.4409058485086	0.157888882304487	0.0510632224249478	0.000277285402228054	0.0197310818078417	0.000185980740007082	EXOC5
CCDC26	293.005520806473	-0.498413419031949	0.389184550861488	0.000288556889035977	0.0202179039957339	0.000183002952121234	CCDC26
NHLRC3	58.7928301248032	-0.255315685088636	0.115123455347433	0.000287810352098668	0.0202179039957339	0.000188655920850636	NHLRC3
DDHD2	26.4016676335538	-0.283025979454566	0.141483763199733	0.000292073831540277	0.020353101456573	0.000292112750547303	DDHD2
PINK1	18.577207188868	-0.395873035549724	0.24906995596568	0.00029697739453733	0.0203573207298727	0.000335987883016988	PINK1
RBM15	15.2483560275297	0.217941542836092	0.0851461274790487	0.000297083677989235	0.0203573207298727	0.000428743161061983	RBM15
FANCM	17.3179349338928	-0.300098825599665	0.158603747640628	0.000298485126908132	0.0203573207298727	0.000482033334809695	FANCM
AC233296.1	39.4378330184771	-0.430804695258418	0.283646815041491	0.000294586206674652	0.0203573207298727	0.000249272519257944	AC233296.1
WWTR1	21.8732151416455	0.329109484903245	0.187856804738135	0.000309448255155584	0.0208110553964333	0.000350096896482658	WWTR1
MID1IP1	28.0341987165746	0.356725769448007	0.214236408706559	0.000310007142467537	0.0208110553964333	0.000223651315960889	MID1IP1
AP4E1	49.7785672392757	0.18577888786439	0.065439522785011	0.000308743005364829	0.0208110553964333	0.000268519914123085	AP4E1
PRDM5	6.54158768650078	-0.450110742634566	0.313853876684837	0.000317122347818252	0.0209594986789981	0.000424240690780842	PRDM5
TIMP3	12.1458146635685	-0.471549623821188	0.345894353412374	0.00031553803667889	0.0209594986789981	0.000356986622231782	TIMP3
ERBIN	572.996803838645	0.226374172222239	0.0922346668993679	0.000314665089479926	0.0209594986789981	0.000206216104773606	ERBIN
CFAP161	15.2782018241346	0.477732506571327	0.366979419036837	0.000325664296674631	0.0214136800613442	0.000471537682403661	CFAP161
LEPROTL1	41.6930006521292	0.223359946578644	0.0906538937299733	0.000330887636673749	0.0216461289664838	0.000216892517380252	LEPROTL1
TAGLN3	12.4014574018488	-0.475810233772154	0.433973150297062	0.000334163804258913	0.021716128450053	0.000483844337289655	TAGLN3
ZBTB44	88.6254231693848	0.217789325409388	0.0866403947681042	0.000335344987764038	0.021716128450053	0.000219814252711735	ZBTB44
CDC42EP3	17.008792404532	0.371071747912623	0.232847001471584	0.000337863157543791	0.0217692532966155	0.000382244336237868	CDC42EP3
ZC3H12D	12.1973723049789	-0.309326483798216	0.172679966842735	0.000342537296435205	0.021960066074461	0.000387532462741571	ZC3H12D
CXCR4	58.0205227523711	0.472304297847182	0.379786312698808	0.000352560072178488	0.0224240204934521	0.000306628486021018	CXCR4
ANKRD13A	42.5687867652006	-0.206361451372906	0.079219683384474	0.000353271887355898	0.0224240204934521	0.000231565100886021	ANKRD13A
LINC01102	14.53924034544	-0.461600390690017	0.353245816245076	0.000358779656716239	0.0226614421596829	0.000479969104828412	LINC01102
ASMTL-AS1	7.62532792416411	-0.325912622253269	0.192870717921383	0.000372119716355279	0.0233888186426833	0.000497815201627516	ASMTL-AS1
MNAT1	108.393715888722	-0.194456588381265	0.0724952938499895	0.000387683116857903	0.0242481606065953	0.000260026645406255	MNAT1
BSN	6.66366254045517	-0.407420144437772	0.282649780792279	0.00039074538576536	0.0243210550305022	0.000522732294071966	BSN
INTS6-AS1	21.644809457286	0.267080050577906	0.134872838370168	0.000398501011205687	0.0246839611868566	0.00105710856833407	INTS6-AS1
DAPK2	35.5960034468291	-0.369108412789396	0.242357115062399	0.000405300808928369	0.0249707124874432	0.000294365523792704	DAPK2
LINC00539	10.6691136667779	-0.397283417816732	0.274287596103326	0.000407025340030856	0.0249707124874432	0.000544511330115912	LINC00539
CKB	82.9432417721784	-0.392796390450299	0.270092014232824	0.000412117918396326	0.0251627426175128	0.000270081921002294	CKB
FGF12	47.7134508702667	-0.438773974654084	0.337267752131131	0.000416249503034369	0.0251752411693712	0.000352221386848024	FGF12
ALOX15B	22.1728102834703	0.452882817044059	0.404341004904242	0.000415105613678136	0.0251752411693712	0.000670367550075895	ALOX15B
