model	query	go	ncurated	nllm	ninter	generatio	bgratio	richFactor	foldEnrich	jaccard	p_val
human	Glycolysis / Gluconeogenesis	Gluconeogenesis	32	67	16	0.5	0.0033759951627531995	0.23880597014925373	148.1044776119403	0.1927710843373494	2.3618382846016338e-32
human	Glycosaminoglycan biosynthesis	Glycosaminoglycan Biosynthetic Process	58	53	36	0.6206896551724138	0.002670563337700292	0.6792452830188679	232.41899804814577	0.48	1.3161570531581604e-84
human	Glycosaminoglycan degradation	Glycosaminoglycan Catabolic Process	15	19	10	0.6666666666666666	0.0009573717625718028	0.5263157894736842	696.3508771929825	0.4166666666666667	1.0622971517622061e-28
human	Glycosphingolipid biosynthesis	Glycosphingolipid Biosynthetic Process	19	45	12	0.631578947368421	0.0022674594376700594	0.26666666666666666	278.54035087719296	0.23076923076923078	1.845648122080148e-28
human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI Anchor Biosynthetic Process	30	26	22	0.7333333333333333	0.0013100876750982565	0.8461538461538461	559.7589743589743	0.6470588235294118	2.8077675043548543e-63
human	Glyoxylate and dicarboxylate metabolism	Glyoxylate Metabolic Process	5	30	3	0.6	0.001511639625113373	0.1	396.92	0.09375	3.110549597032596e-08
human	Hedgehog signaling pathway	Smoothened Signaling Pathway	34	56	10	0.29411764705882354	0.0028217273002116294	0.17857142857142858	104.23319327731093	0.125	1.7031216838835694e-18
human	Hematopoietic cell lineage	Hematopoietic Stem Cell Differentiation	9	99	0	0.0	0.004988410762874131	0.0	0.0	0.0	1.0
human	Hippo signaling pathway	Hippo Signaling	17	163	14	0.8235294117647058	0.008213241963115993	0.08588957055214724	100.26849512811259	0.08433734939759036	2.3938285900875802e-27
human	Histidine metabolism	Histidine Metabolic Process	6	22	6	1.0	0.0011085357250831401	0.2727272727272727	902.0909090909091	0.2727272727272727	8.799081802713445e-19
human	Homologous recombination	Homologous Recombination	9	41	6	0.6666666666666666	0.002065907487654943	0.14634146341463414	322.6991869918699	0.13636363636363635	4.433986000652419e-15
human	Hypertrophic cardiomyopathy	Cardiac Muscle Hypertrophy	7	90	2	0.2857142857142857	0.004534918875340119	0.022222222222222223	63.0031746031746	0.021052631578947368	0.0004208262058598022
human	IL-17 signaling pathway	interleukin-17A-mediated Signaling Pathway	5	94	5	1.0	0.004736470825355235	0.05319148936170213	211.12765957446808	0.05319148936170213	2.1406045536442147e-12
human	Inositol phosphate metabolism	Inositol Phosphate Metabolic Process	22	73	13	0.5909090909090909	0.003678323087775874	0.1780821917808219	160.64632627646327	0.15853658536585366	3.530438087936246e-27
human	Insulin secretion	Insulin Secretion	19	86	3	0.15789473684210525	0.004333366925325002	0.03488372093023256	36.436964504283964	0.029411764705882353	7.24038774274286e-05
human	Insulin signaling pathway	Insulin Receptor Signaling Pathway	47	137	17	0.3617021276595745	0.006903154288017736	0.12408759124087591	52.3966454418388	0.10179640718562874	1.5151531294661304e-25
human	Leukocyte transendothelial migration	Leukocyte Adhesion To Vascular Endothelial Cell	19	114	5	0.2631578947368421	0.005744230575430817	0.043859649122807015	45.81255771006464	0.0390625	6.242994791864446e-08
human	Linoleic acid metabolism	Linoleic Acid Metabolic Process	19	29	2	0.10526315789473684	0.0014612516376095938	0.06896551724137931	72.03629764065336	0.043478260869565216	0.0003471619654823948
human	Long-term depression	Long-Term Synaptic Depression	6	60	0	0.0	0.003023279250226746	0.0	0.0	0.0	1.0
human	Long-term potentiation	Long-Term Synaptic Potentiation	20	67	4	0.2	0.0033759951627531995	0.05970149253731343	59.24179104477613	0.04819277108433735	5.517992729392657e-07
human	Lysosome	Lysosome Organization	43	128	8	0.18604651162790697	0.006449662400483724	0.0625	28.84593023255814	0.049079754601226995	2.880513916242001e-10
human	MAPK signaling pathway	MAPK Cascade	98	294	51	0.5204081632653061	0.014814068326111055	0.17346938775510204	35.12932111620159	0.1495601173020528	7.1494448855451565e-68
human	Melanogenesis	Melanocyte Differentiation	11	101	3	0.2727272727272727	0.005089186737881689	0.0297029702970297	53.58955895589559	0.027522935779816515	2.049290074682522e-05
human	Mismatch repair	Mismatch Repair	25	23	13	0.52	0.0011589237125869192	0.5652173913043478	448.6921739130435	0.37142857142857144	4.992028162522262e-34
human	Mitophagy	Mitophagy	16	68	4	0.25	0.0034263831502569786	0.058823529411764705	72.96323529411765	0.05	2.2237784186301608e-07
human	N-Glycan biosynthesis	N-glycan Processing	19	50	9	0.47368421052631576	0.002519399375188955	0.18	188.01473684210526	0.15	1.729252647136852e-19
human	NF-kappa B signaling pathway	I-kappaB kinase/NF-kappaB Signaling	45	104	18	0.4	0.005240350700393026	0.17307692307692307	76.33076923076923	0.13740458015267176	2.8834568695973142e-30
human	NOD-like receptor signaling pathway	Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway	5	181	2	0.4	0.009120225738184017	0.011049723756906077	43.85856353591161	0.010869565217391304	0.0008124076781454763
human	Natural killer cell mediated cytotoxicity	Natural Killer Cell Mediated Cytotoxicity	24	131	10	0.4166666666666667	0.006600826362995062	0.07633587786259542	63.1234096692112	0.06896551724137931	2.0079997775883442e-16
human	Necroptosis	Necroptotic Process	9	159	7	0.7777777777777778	0.008011690013100876	0.0440251572327044	97.08036338225018	0.043478260869565216	6.58917567149043e-14
human	Neurotrophin signaling pathway	Neurotrophin Signaling Pathway	15	119	9	0.6	0.0059961705129497125	0.07563025210084033	100.0638655462185	0.072	3.5759639520588845e-17
human	Nicotinate and nicotinamide metabolism	Nicotinamide Nucleotide Metabolic Process	17	35	4	0.23529411764705882	0.0017635795626322684	0.11428571428571428	133.418487394958	0.08333333333333333	1.897433840739334e-08
human	Non-homologous end-joining	Double-Strand Break Repair Via Nonhomologous End Joining	41	13	11	0.2682926829268293	0.0006550438375491283	0.8461538461538461	409.5797373358349	0.2558139534883721	5.229489345242306e-29
human	Notch signaling pathway	Notch Signaling Pathway	40	59	23	0.575	0.0029728912627229667	0.3898305084745763	193.41440677966102	0.3026315789473684	4.63196371424343e-50
human	Nucleotide excision repair	Nucleotide-Excision Repair	56	47	26	0.4642857142857143	0.0023682354126776176	0.5531914893617021	196.04711246200608	0.33766233766233766	6.042568190728612e-57
human	Osteoclast differentiation	Osteoclast Differentiation	25	127	9	0.36	0.006399274412979945	0.07086614173228346	56.256377952755905	0.06293706293706294	2.5291829825201992e-14
human	Oxidative phosphorylation	Oxidative Phosphorylation	63	133	56	0.8888888888888888	0.00670160233800262	0.42105263157894735	132.63826232247285	0.4	1.2758837319720296e-119
human	PI3K-Akt signaling pathway	Phosphatidylinositol 3-Kinase Signaling	32	354	13	0.40625	0.0178373475763378	0.03672316384180791	22.775247175141242	0.03485254691689008	3.803648681093215e-15
human	PPAR signaling pathway	Peroxisome Proliferator Activated Receptor Signaling Pathway	7	74	2	0.2857142857142857	0.003728711075279653	0.02702702702702703	76.62548262548262	0.02531645569620253	0.0002845730145268189
human	Pentose phosphate pathway	Pentose-Phosphate Shunt	11	30	9	0.8181818181818182	0.001511639625113373	0.3	541.2545454545456	0.28125	5.978357853561084e-25
human	Peroxisome	Peroxisome Organization	24	82	17	0.7083333333333334	0.004131814975309886	0.2073170731707317	171.4339430894309	0.19101123595505617	1.7100612768104446e-36
human	Phagosome	Phagosome Maturation	15	152	2	0.13333333333333333	0.007658974100574423	0.013157894736842105	17.40877192982456	0.012121212121212121	0.005731461481700279
human	Phenylalanine metabolism	L-phenylalanine Metabolic Process	5	17	2	0.4	0.0008565957875642446	0.11764705882352941	466.964705882353	0.1	6.8958546983634865e-06
human	Phosphatidylinositol signaling system	Phosphatidylinositol-Mediated Signaling	62	97	22	0.3548387096774194	0.004887634787866572	0.2268041237113402	72.59926837379449	0.16058394160583941	3.290307130094042e-36
human	Phospholipase D signaling pathway	Phospholipase C-activating Dopamine Receptor Signaling Pathway	6	148	0	0.0	0.007457422150559306	0.0	0.0	0.0	1.0
human	Phototransduction	Phototransduction, Visible Light	8	28	4	0.5	0.0014108636501058147	0.14285714285714285	354.39285714285717	0.125	2.209483500383531e-10
human	Platelet activation	Positive Regulation Of Platelet Activation	9	124	5	0.5555555555555556	0.006248110450468608	0.04032258064516129	88.915770609319	0.0390625	1.0843630581563037e-09
human	Primary bile acid biosynthesis	Bile Acid Biosynthetic Process	25	17	15	0.6	0.0008565957875642446	0.8823529411764706	700.4470588235295	0.5555555555555556	2.0008490258959462e-44
human	Prolactin signaling pathway	Progesterone Receptor Signaling Pathway	10	70	1	0.1	0.003527159125264537	0.014285714285714285	28.351428571428574	0.012658227848101266	0.03472473608062117
human	Proteasome	Proteasome Assembly	8	46	2	0.25	0.0023178474251738385	0.043478260869565216	107.85869565217392	0.038461538461538464	0.00014586497520355132
human	Protein export	Protein Export From Nucleus	26	23	0	0.0	0.0011589237125869192	0.0	0.0	0.0	1.0
human	Protein processing in endoplasmic reticulum	Protein Processing	117	171	1	0.008547008547008548	0.008616345863146226	0.005847953216374269	0.9919528165142202	0.003484320557491289	0.6377657763778458
human	Purine metabolism	Purine-Containing Compound Metabolic Process	7	129	3	0.42857142857142855	0.0065000503879875035	0.023255813953488372	65.93355481727575	0.022556390977443608	9.213587052370301e-06
human	Pyrimidine metabolism	Pyrimidine Nucleobase Metabolic Process	11	56	6	0.5454545454545454	0.0028217273002116294	0.10714285714285714	193.3051948051948	0.09836065573770492	1.7499693947252464e-13
human	Pyruvate metabolism	Pyruvate Metabolic Process	50	47	17	0.34	0.0023682354126776176	0.3617021276595745	143.5668085106383	0.2125	8.023374744243237e-34
human	RIG-I-like receptor signaling pathway	RIG-I Signaling Pathway	6	70	1	0.16666666666666666	0.003527159125264537	0.014285714285714285	47.25238095238095	0.013333333333333334	0.020979836971470312
human	RNA degradation	RNA Modification	51	79	1	0.0196078431372549	0.003980651012798549	0.012658227848101266	4.925788036733681	0.007751937984496124	0.18427299648025064
human	RNA polymerase	RNA Transport	39	31	0	0.0	0.001562027612617152	0.0	0.0	0.0	1.0
human	RNA transport	RNA Transport	39	186	18	0.46153846153846156	0.009372165675702912	0.0967741935483871	49.245657568238215	0.08695652173913043	7.06062241738343e-27
human	Ras signaling pathway	Ras Protein Signal Transduction	144	232	38	0.2638888888888889	0.01169001310087675	0.16379310344827586	22.5738745210728	0.11242603550295859	5.286968141140522e-41
human	Regulation of actin cytoskeleton	Regulation Of Actin Cytoskeleton Organization	91	218	18	0.1978021978021978	0.010984581275823843	0.08256880733944955	18.007258796249623	0.061855670103092786	6.2205748616257805e-18
human	Regulation of lipolysis in adipocytes	Regulation Of Lipase Activity	7	55	0	0.0	0.0027713393127078503	0.0	0.0	0.0	1.0
human	Retinol metabolism	Retinoid Metabolic Process	40	68	20	0.5	0.0034263831502569786	0.29411764705882354	145.9264705882353	0.22727272727272727	2.9551897780241846e-40
human	Ribosome biogenesis in eukaryotes	Ribosome Biogenesis	155	108	34	0.21935483870967742	0.0054419026504081425	0.3148148148148148	40.308482676224614	0.14847161572052403	4.02082866041985e-46
human	Salivary secretion	Regulation Of Saliva Secretion	6	93	0	0.0	0.004686082837851456	0.0	0.0	0.0	1.0
human	Sphingolipid metabolism	Sphingolipid Metabolic Process	94	49	38	0.40425531914893614	0.0024690113876851758	0.7755102040816326	163.73165436387322	0.3619047619047619	2.185621453874899e-82
human	Sphingolipid signaling pathway	Sphingosine-1-Phosphate Receptor Signaling Pathway	8	119	4	0.5	0.0059961705129497125	0.03361344537815126	83.38655462184875	0.032520325203252036	8.443814540917016e-08
human	Steroid biosynthesis	Steroid Biosynthetic Process	50	20	5	0.1	0.001007759750075582	0.25	99.23	0.07692307692307693	1.24519558502865e-09
human	Steroid hormone biosynthesis	Steroid Hormone Biosynthetic Process	19	61	17	0.8947368421052632	0.003073667237730525	0.2786885245901639	291.0974978429681	0.2698412698412698	2.8484943720711584e-42
human	Sulfur metabolism	Sulfur Amino Acid Metabolic Process	17	10	2	0.11764705882352941	0.000503879875037791	0.2	233.4823529411765	0.08	3.095324653079565e-05
human	Sulfur relay system	Sulfur Compound Transport	21	8	0	0.0	0.0004031039000302328	0.0	0.0	0.0	1.0
human	Synaptic vesicle cycle	Synaptic Vesicle Cycle	37	78	14	0.3783783783783784	0.0039302630252947696	0.1794871794871795	96.27304227304228	0.13861386138613863	3.474204558392036e-25
human	T cell receptor signaling pathway	T Cell Receptor Signaling Pathway	95	104	23	0.24210526315789474	0.005240350700393026	0.22115384615384615	46.2002024291498	0.13068181818181818	1.2600355424352673e-32
human	TGF-beta signaling pathway	Transforming Growth Factor Beta Receptor Signaling Pathway	72	94	19	0.2638888888888889	0.004736470825355235	0.20212765957446807	55.71424349881797	0.1292517006802721	9.500549011470069e-29
human	TNF signaling pathway	Tumor Necrosis Factor-Mediated Signaling Pathway	38	112	15	0.39473684210526316	0.005643454600423259	0.13392857142857142	69.94595864661655	0.1111111111111111	9.842858646767418e-25
human	Taurine and hypotaurine metabolism	Taurine Metabolic Process	7	11	2	0.2857142857142857	0.0005542678625415701	0.18181818181818182	515.4805194805194	0.125	5.8564066818113715e-06
human	Terpenoid backbone biosynthesis	Terpenoid Metabolic Process	7	22	0	0.0	0.0011085357250831401	0.0	0.0	0.0	1.0
human	Th1 and Th2 cell differentiation	T-helper 1 Cell Differentiation	5	92	2	0.4	0.004635694850347677	0.021739130434782608	86.28695652173914	0.021052631578947368	0.00021064983998521846
human	Th17 cell differentiation	T-helper 17 Cell Differentiation	8	107	5	0.625	0.005391514662904363	0.04672897196261682	115.92289719626169	0.045454545454545456	2.291913777061726e-10
human	Thiamine metabolism	Thiamine-Containing Compound Metabolic Process	5	15	1	0.2	0.0007558198125566865	0.06666666666666667	264.61333333333334	0.05263157894736842	0.003773770492644105
human	Thyroid hormone signaling pathway	Steroid Hormone Mediated Signaling Pathway	10	121	4	0.4	0.006096946487957271	0.03305785123966942	65.60661157024794	0.031496062992125984	2.683724124877515e-07
human	Thyroid hormone synthesis	Thyroid Hormone Generation	10	75	4	0.4	0.0037790990627834323	0.05333333333333334	105.84533333333334	0.04938271604938271	3.882741203517685e-08
human	Tight junction	Tight Junction Organization	5	169	4	0.8	0.008515569888138667	0.023668639053254437	93.94556213017752	0.023529411764705882	2.5207576150315953e-08
human	Toll-like receptor signaling pathway	Toll-Like Receptor Signaling Pathway	31	104	17	0.5483870967741935	0.005240350700393026	0.16346153846153846	104.6470223325062	0.1440677966101695	1.0710347572487605e-31
human	Tryptophan metabolism	Tryptophan Metabolic Process	7	42	6	0.8571428571428571	0.002116295475158722	0.14285714285714285	405.0204081632653	0.13953488372093023	4.323699264627289e-16
human	Tyrosine metabolism	Tyrosine Metabolic Process	11	36	5	0.45454545454545453	0.0018139675501360475	0.1388888888888889	250.58080808080808	0.11904761904761904	6.739291691915797e-12
human	Ubiquinone and other terpenoid-quinone biosynthesis	Ubiquinone Biosynthetic Process	13	11	4	0.3076923076923077	0.0005542678625415701	0.36363636363636365	555.1328671328672	0.2	3.642228231666369e-11
human	Ubiquitin mediated proteolysis	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process	319	140	59	0.18495297805642633	0.007054318250529074	0.42142857142857143	26.218405732198836	0.1475	3.0024083459502347e-69
human	VEGF signaling pathway	Vascular Endothelial Growth Factor Signaling Pathway	14	59	4	0.2857142857142857	0.0029728912627229667	0.06779661016949153	96.10653753026634	0.057971014492753624	6.895682808889252e-08
human	Various types of N-glycan biosynthesis	N-glycan Processing	19	39	8	0.42105263157894735	0.0019651315126473848	0.20512820512820512	214.26180836707152	0.16	7.683681133658831e-18
human	Vascular smooth muscle contraction	Smooth Muscle Contraction	14	133	5	0.35714285714285715	0.00670160233800262	0.03759398496240601	53.2921589688507	0.035211267605633804	2.390493034240863e-08
human	Wnt signaling pathway	Wnt Signaling Pathway	76	166	51	0.6710526315789473	0.00836440592562733	0.3072289156626506	80.22717184527585	0.2670157068062827	1.468730714980585e-90
human	alpha-Linolenic acid metabolism	Alpha-Linolenic Acid Metabolic Process	9	25	1	0.1111111111111111	0.0012596996875944774	0.04	88.20444444444445	0.030303030303030304	0.011282601195738639
human	cAMP signaling pathway	cAMP-mediated Signaling	26	216	8	0.3076923076923077	0.010883805300816285	0.037037037037037035	28.270655270655272	0.03418803418803419	2.2829865867959967e-10
human	cGMP-PKG signaling pathway	cGMP-mediated Signaling	17	167	9	0.5294117647058824	0.00841479391313111	0.05389221556886228	62.91440648115534	0.05142857142857143	3.905898823240532e-15
human	mRNA surveillance pathway	Nuclear mRNA Surveillance	9	98	0	0.0	0.0049380227753703515	0.0	0.0	0.0	1.0
human	p53 signaling pathway	Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator	35	73	3	0.08571428571428572	0.003678323087775874	0.0410958904109589	23.302544031311157	0.02857142857142857	0.00028716451032806314
human	ATF6 (ATF6-alpha) Activates Chaperone Genes	ATF6-mediated Unfolded Protein Response	6	9	1	0.16666666666666666	0.00045349188753401187	0.1111111111111111	367.51851851851853	0.07142857142857142	0.0027182104112650532
human	ATF6 (ATF6-alpha) Activates Chaperones	ATF6-mediated Unfolded Protein Response	6	11	3	0.5	0.0005542678625415701	0.2727272727272727	902.0909090909091	0.21428571428571427	2.5311498462132294e-09
human	AUF1 (hnRNP D0) Binds And Destabilizes mRNA	mRNA Destabilization	43	54	0	0.0	0.0027209513252040712	0.0	0.0	0.0	1.0
human	Acetylcholine Regulates Insulin Secretion	Regulation Of Insulin Secretion	87	10	0	0.0	0.000503879875037791	0.0	0.0	0.0	1.0
human	Activation Of NF-kappaB In B Cells	Activation Of NF-kappaB-inducing Kinase Activity	15	66	2	0.13333333333333333	0.0033256071752494204	0.030303030303030304	40.09292929292929	0.02531645569620253	0.0011122111903402521
human	Activation Of RAC1	Regulation Of Rac Protein Signal Transduction	15	12	0	0.0	0.0006046558500453492	0.0	0.0	0.0	1.0
human	Activation Of TRKA Receptors	Neurotrophin TRK Receptor Signaling Pathway	6	6	1	0.16666666666666666	0.0003023279250226746	0.16666666666666666	551.2777777777777	0.09090909090909091	0.001812825272435102
human	Acyl Chain Remodeling Of CL	Cardiolipin Acyl-Chain Remodeling	5	6	3	0.6	0.0003023279250226746	0.5	1984.6	0.375	1.5350744412728342e-10
human	Acyl Chain Remodeling Of DAG And TAG	Phosphatidylinositol Acyl-Chain Remodeling	5	7	0	0.0	0.0003527159125264537	0.0	0.0	0.0	1.0
human	Acyl Chain Remodelling Of PC	Phosphatidylcholine Acyl-Chain Remodeling	12	27	8	0.6666666666666666	0.0013604756626020356	0.2962962962962963	490.0246913580247	0.25806451612903225	1.837564717342581e-21
human	Acyl Chain Remodelling Of PE	Phosphatidylethanolamine Acyl-Chain Remodeling	9	29	8	0.8888888888888888	0.0014612516376095938	0.27586206896551724	608.3065134099617	0.26666666666666666	6.475264087455847e-23
