set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter
Apoptosis	0.034482758620689655	0.007155094225536632	0.007042253521126761	4.819329771733852	0.18835925724458694	0.8735501785256206	FOS	NFKB1,DIABLO,NTRK1,GADD45A,IKBKB,IKBKG,PARP3,PIK3CA,TUBA1A,CTSK,PARP4,TRAF2,TUBA8,TRADD,DAXX,PDPK1,APAF1,ERN1,BIRC3,CASP6,NGF,AKT3,CSF2RB,TNFRSF1A,PIK3R3,MAP3K5,ITPR1,AIFM1,DDIT3,TUBA1B,RELA,MAPK3,BECN1,BIRC5,CTSB,MAP3K14,TUBA3D,TNF,BIRC7,TNFSF10,CASP9,SPTAN1,ACTG1,HRAS,NFKBIA,CASP10,PRF1,LMNA,CASP8,KRAS,IL3,CTSS,TNFRSF10A,GADD45B,BCL2L1,HTRA2,BCL2L11,PIDD1,CASP3,DFFA,BIRC6,CTSV,GADD45G,BCL2A1,XIAP,CTSL,BECN2,TUBA1C,HRK,TUBA3E,EIF2AK3,TUBA3C,PIK3R2,AKT1,PARP1,MAPK9,RIPK1,TP53AIP1,LMNB1,CTSO,SPTA1,CASP2,BBC3,ENDOG,TNFRSF10B,TP53,PIK3R1,CASP7,ACTB,MAP2K2,FADD,BID,CYCS,CTSH,CASP12,ITPR3,MAP2K1,TRAF1,CTSZ,NGFR,GZMB,DAB2IP,PARP2,PMAIP1,BAX,RAF1,CTSW,CTSC,CHUK,CTSF,CAPN1,ATF4,IL3RA,BAK1,BIRC2,CTSD,MAPK1,ATM,ITPR2,PIK3CB,BCL2,FOS,AKT2,MAPK8,SEPTIN4,MCL1,CFLAR,DFFB,LMNB2,PTPN13,EIF2S1,BAD,FASLG,MAPK10,TUBAL3,BOK,NRAS,CAPN2,TUBA4A,PIK3CD,JUN,FAS	29	142	1
Breast cancer	0.034482758620689655	0.007407034163055527	0.006802721088435374	4.65540699038236	0.19432385092815224	0.8811794052181757	FOS	AXIN2,WNT9B,GADD45A,WNT7B,BRAF,PGR,NCOA1,PIK3CA,HEYL,ARAF,CSNK1A1,E2F2,E2F3,FZD1,FGF4,DDB2,CSNK1A1L,AKT3,NOTCH3,ESR2,TCF7L1,FGF16,KIT,BRCA1,PIK3R3,WNT4,DLL1,FRAT1,JAG2,HEY2,LRP5,NOTCH2,WNT8A,FLT4,MAPK3,TNFSF11,WNT3,JUN,NCOA3,WNT2B,FGF2,SHC2,HRAS,WNT3A,TCF7,LEF1,FZD9,WNT2,HES1,DVL3,KRAS,GADD45B,MTOR,WNT5A,NFKB2,JAG1,FZD4,FGF21,APC2,FGFR1,SOS2,MYC,WNT9A,FZD6,FGF5,RPS6KB2,CTNNB1,GADD45G,WNT6,AXIN1,DVL1,SHC4,SHC1,RB1,FGF23,DLL4,BRCA2,CCND1,PIK3R2,AKT1,WNT7A,GRB2,FZD8,ESR1,GSK3B,FRAT2,FGF18,CDK6,TP53,PIK3R1,CDK4,MAP2K2,ERBB2,NOTCH4,FZD10,SP1,CDKN1A,MAP2K1,NOTCH1,DVL2,FZD5,E2F1,FZD7,WNT11,WNT8B,SOS1,BAX,RAF1,FGF19,WNT10A,BAK1,FGF9,TCF7L2,FGF7,MAPK1,LRP6,FGF3,WNT5B,FGF8,PIK3CB,FOS,AKT2,FGF1,WNT1,POLK,FGF20,FGF22,EGF,WNT16,DLL3,RPS6KB1,FZD3,HEY1,IGF1,FGF17,FGF6,IGF1R,FZD2,FGF10,SHC3,PTEN,NRAS,HES5,APC,PIK3CD,EGFR,WNT10B	29	147	1
Phospholipase D signaling pathway	0.034482758620689655	0.007457422150559306	0.006756756756756757	4.623951537744642	0.19551168053278273	0.8811794052181757	CXCL8	PLCB1,JMJD7-PLA2G4B,RALB,PIK3CA,LPAR2,FYN,GNA13,ADCY7,PLCB4,PLCG2,FCER1G,AKT3,ADCY2,PLA2G4E,ADCY4,CXCR2,CYTH3,DNM1,F2,PIK3CG,KIT,LPAR1,PIK3R3,INS,KITLG,LPAR3,MRAS,RAPGEF4,MAPK3,FCER1A,DGKK,DNM2,GRM6,PTK2B,GAB1,SHC2,HRAS,LPAR4,PIP5K1B,DGKI,PLD2,DGKB,TSC1,ADCY6,KRAS,PLA2G4A,GRM3,CXCR1,GRM1,MTOR,LPAR5,GRM2,PTGFR,AGPAT1,RALA,ARF6,AVPR2,PTPN11,ADCY1,CYTH2,SOS2,PIP5K1C,AGPAT4,PLA2G4B,SPHK1,IGH,PLA2G4D,PDGFD,RRAS2,SHC4,SHC1,PDGFRB,DNM3,AVPR1B,PIK3R2,DGKG,AKT1,RHOA,PLPP3,ADCY5,SPHK2,GRB2,MS4A2,GAB2,PLA2G4C,AVPR1A,LPAR6,PDGFA,GRM7,PIK3R5,PLA2G4F,DGKQ,PDGFB,AGT,PLCB3,PIK3R1,PDGFC,MAP2K2,ARF1,TSC2,PDGFRA,PIP5K1A,INSR,PIK3R6,RHEB,AGPAT2,MAP2K1,PLPP2,GRM4,DGKE,ADCY8,RAPGEF3,SOS1,RAF1,PLPP1,PLCB2,CYTH1,GRM8,CXCL8,PLD1,MAPK1,DGKH,AGPAT5,GRM5,DGKZ,PIK3CB,RALGDS,DGKA,AKT2,RRAS,EGF,SYK,GNA12,AGPAT3,PLCG1,GNAS,AVP,CYTH4,ADCY3,PRKCA,DGKD,F2R,SHC3,ADCY9,NRAS,AGTR1,PIK3CD,EGFR	29	148	1
Oxytocin signaling pathway	0.034482758620689655	0.007759750075581981	0.006493506493506494	4.443797581728616	0.20260322942027806	0.8984269058444583	FOS	ELK1,PRKAG3,PRKACA,CACNB3,GNAQ,PLCB1,JMJD7-PLA2G4B,PPP3R1,KCNJ5,CAMK2G,MYL6B,ADCY7,MYLK4,CACNA1C,PLCB4,MYLK2,EEF2,ADCY2,PLA2G4E,ADCY4,GUCY1B1,MYLK,KCNJ9,CAMK2D,RCAN1,GNAI2,PIK3CG,PRKCB,ITPR1,GUCY1A2,PPP3R2,CACNA1S,RYR1,MAPK3,CAMK1G,CAMK1,PRKAA1,CAMK2B,NOS3,ACTG1,HRAS,CALM1,KCNJ4,KCNJ18,PPP3CA,ADCY6,KRAS,KCNJ6,PLA2G4A,CAMK2A,EEF2K,CALM2,NPPA,CALM3,ADCY1,PRKACG,PPP1CB,NFATC3,GNAI1,PLA2G4B,PLA2G4D,KCNJ2,CACNG4,PPP1R12A,NFATC4,CACNB4,PRKAB1,NPR2,KCNJ3,CACNG6,PRKCG,CCND1,RHOA,CACNG7,ADCY5,CACNG1,CALML4,CACNG3,PLA2G4C,MAPK7,NPR1,CD38,CALML5,PIK3R5,PLA2G4F,PLCB3,PPP3CB,MEF2C,ROCK2,ACTB,MAP2K2,PRKAG2,OXTR,CACNA1F,MAP2K5,GUCY1A1,CAMK1D,PIK3R6,CDKN1A,ITPR3,PPP1R12B,CAMK4,MAP2K1,MYLK3,NFATC2,CAMKK2,CACNG8,CACNA2D3,PPP1CA,KCNJ14,GNAI3,ADCY8,PPP1CC,RAF1,PLCB2,SRC,CALML6,CACNG2,RYR2,RYR3,PTGS2,GNAO1,MAPK1,MYL6,PRKAG1,RGS2,ITPR2,PRKAA2,FOS,ROCK1,CACNA2D4,CALML3,NFATC1,PRKAB2,TRPM2,CACNA2D2,GNAS,PPP3CC,PRKACB,CACNG5,KCNJ12,ADCY3,PRKCA,CACNB2,ADCY9,CACNA2D1,NRAS,MYL9,CACNB1,OXT,CACNA1D,EGFR,JUN,PPP1R12C	29	154	1
Cellular senescence	0.034482758620689655	0.007860526050589539	0.00641025641025641	4.3868258178603	0.20495363789576704	0.8984269058444583	CXCL8	VDAC1,MAP2K3,NFKB1,FOXM1,CCNB2,IL6,GADD45A,SLC25A5,HLA-B,PPP3R1,PIK3CA,E2F2,MCU,E2F3,SLC25A31,AKT3,RAD9A,VDAC2,HIPK3,MDM2,TRPM7,PIK3R3,HIPK4,ITPR1,RAD50,HLA-G,PPP3R2,MYBL2,MRAS,RAD9B,RELA,CCNA1,SLC25A6,MAPK3,E2F5,CCNA2,TGFB3,HLA-E,IGFBP3,CHEK2,SIRT1,TGFBR2,RBL2,HRAS,CALM1,MAP2K6,HLA-A,TSC1,MRE11,PPP3CA,KRAS,CCNB3,TRPV4,SLC25A4,GADD45B,MTOR,CALM2,IL1A,CALM3,LIN52,EIF4EBP1,HIPK1,NBN,FOXO3,PPP1CB,FBXW11,MYC,NFATC3,MAPK13,MAPK12,CCND3,GADD45G,RAD1,RRAS2,NFATC4,CDK1,RB1,CCND1,PIK3R2,PPID,AKT1,CCNB1,SMAD2,CALML4,RASSF5,CDKN2B,CCNE2,RBL1,FOXO1,MAPK14,CALML5,CDK6,PPP3CB,TP53,PIK3R1,CDK4,MAP2K2,TSC2,HIPK2,ZFP36L2,CCND2,LIN9,RBBP4,RHEB,ITPR3,TGFBR1,CDKN1A,MAP2K1,NFATC2,ATR,E2F1,PPP1CA,KIR2DL4,PPP1CC,RAF1,CALML6,CHEK1,CAPN1,CXCL8,GATA4,ZFP36L1,MAPK1,LIN37,TGFB1,ATM,ITPR2,PIK3CB,CDK2,AKT2,CALML3,RRAS,NFATC1,SMAD3,TGFB2,HLA-F,CCNE1,CDKN2A,MAPK11,HUS1,SQSTM1,E2F4,PPP3CC,MAPKAPK2,SERPINE1,HLA-C,ETS1,CDC25A,PTEN,NRAS,TRAF3IP2,CAPN2,PIK3CD,CACNA1D,BTRC,LIN54,VDAC3	29	156	1
Necroptosis	0.034482758620689655	0.008011690013100876	0.006289308176100629	4.304055519410106	0.2084667128798692	0.9014776773183533	TNFAIP3	VDAC1,SPATA2L,IFNA5,H2AC18,H2AB2,JMJD7-PLA2G4B,SLC25A5,H2AC14,PYGM,CAMK2G,RNF103-CHMP3,TRAF2,IFNA2,VPS4A,TRADD,H2AC13,H2AC15,IFNA16,BIRC3,MACROH2A1,SLC25A31,IFNAR1,PLA2G4E,CAMK2D,IFNA17,H2AC6,VDAC2,H2AJ,H2AC8,MLKL,TRPM7,TNFRSF1A,CHMP3,H2AC4,HMGB1,STAT1,AIFM1,H2AC16,IFNA7,GLUL,H2AC19,CHMP4B,H2AC1,SLC25A6,STAT6,TNFAIP3,IL1B,CAMK2B,TLR3,TNF,TNFSF10,JAK2,TRAF5,TYK2,H2AX,IFNA6,TICAM2,CHMP1B,IFNGR1,CASP8,SMPD1,GLUD2,CAMK2A,CHMP7,PLA2G4A,TNFRSF10A,SLC25A4,H2AC21,ALOX15,IL1A,CHMP1A,STAT5B,IFNA4,RIPK3,IFNAR2,CHMP4A,PLA2G4B,PGAM5,PYGB,PLA2G4D,STAT4,GLUD1,XIAP,RNF31,H2AW,EIF2AK2,DNM1L,MACROH2A2,PPID,PARP1,H2AC12,IFNA13,RIPK1,FAF1,MAPK9,NLRP3,CYLD,CHMP2B,PLA2G4C,H2AZ1,TLR4,CHMP4C,PYCARD,PLA2G4F,H2AB3,H2AC20,TICAM1,STAT3,TNFRSF10B,BID,FADD,H2AB1,IRF9,IFNB1,H2AC11,HSP90AB1,IFNA14,SHARPIN,CYBB,CHMP6,STAT5A,BAX,IFNGR2,IFNA8,CAPN1,BIRC2,USP21,CASP1,IFNG,CHMP2A,H2AC7,STAT2,JAK3,FTL,BCL2,RBCK1,CHMP5,MAPK8,IFNA10,H2AZ2,IFNA1,CFLAR,ZBP1,HSP90AA1,H2AC17,PYGL,VPS4B,SQSTM1,SPATA2,JAK1,IFNA21,FASLG,PPIA,MAPK10,FTH1,CAPN2,VDAC3,IL33,FAS	29	159	1
Hippo signaling pathway	0.034482758620689655	0.008213241963115993	0.006134969325153374	4.1984345250687545	0.21312750537502798	0.9093440229334527	RASSF4	BMP2,AXIN2,GDF6,WNT9B,WNT7B,WWTR1,FZD1,BIRC3,NKD1,BMP8A,MOB1A,AFP,AREG,PALS1,TCF7L1,DLG4,WNT4,LATS1,GDF7,AMH,LATS2,STK3,BMPR1A,BMPR2,WNT8A,ID1,DCHS2,BMP4,RASSF2,WNT3,CCN2,TGFB3,BIRC5,PRKCI,CTNNA1,WTIP,WNT2B,PPP2R2D,BMP5,PPP2R2B,LLGL2,TGFBR2,ACTG1,WNT3A,TEAD2,DLG1,PARD3,TCF7,LEF1,YAP1,FZD9,RASSF6,DVL3,WNT2,CSNK1D,PRKCZ,YWHAG,FRMD1,SNAI2,WNT5A,MOB1B,FZD4,CDH1,AJUBA,APC2,PPP1CB,PPP2R1A,RASSF1,FBXW11,MYC,CTNNA3,BMPR1B,ID2,DLG5,FZD6,WNT9A,CTNNB1,CCND3,PARD6B,FRMD6,WNT6,AXIN1,WWC1,DVL1,DLG3,DCHS1,YWHAE,CCND1,WNT7A,SMAD4,FAT4,SMAD2,FZD8,GSK3B,BMP6,TP53BP2,BBC3,PPP2CB,CTNNA2,TEAD4,ACTB,GDF5,PPP2R2C,CSNK1E,CCND2,SAV1,DLG2,ITGB2,PPP2R1B,FZD10,LIMD1,TGFBR1,PAK1,DVL2,BMP8B,FZD5,SMAD1,PPP1CA,FZD7,WNT11,YWHAQ,WNT8B,PPP1CC,NF2,NKD2,SOX2,WNT10A,GLI2,TCF7L2,BIRC2,YWHAH,PARD6A,WNT5B,TEAD1,TPTEP2-CSNK1E,TP73,TGFB1,WNT1,FGF1,RASSF4,PARD6G,SMAD3,AMOT,TGFB2,YWHAB,PPP2R2A,WNT16,FZD3,PATJ,SERPINE1,LLGL1,FZD2,CRB2,SMAD7,APC,TEAD3,PPP2CA,BMP7,CRB1,BTRC,WNT10B,SCRIB,YWHAZ	29	163	1
Transcriptional misregulation in cancer	0.034482758620689655	0.009674493600725587	0.005208333333333333	3.5642959770114944	0.24613463289454765	1.0	CXCL8	NFKB1,MYCN,NTRK1,IL6,GADD45A,ETV1,FEV,SS18,ETV7,WT1,IL2RB,PAX8,BIRC3,ETV6,DDB2,JUP,PPARG,H3C14,DUSP6,MPO,CCNT2,PAX7,H3C10,SSX2B,CD86,FLT3,FUT8,PAX3,MDM2,BMI1,DOT1L,FLT1,COMMD3-BMI1,DDIT3,RXRG,RELA,DEFA5,MMP9,FCGR1A,CCNA1,AFF1,CDKN2C,HOXA10,FUS,CSF2,CCNA2,MLLT3,IGFBP3,DEFA6,LDB1,TCF3,TAF15,TGFBR2,PTK2,TLX1,ZEB1,PBX1,MMP3,PML,SSX2,RUNX1T1,KMT2A,EWSR1,FLI1,NCOR1,LMO2,ZBTB16,MEN1,IL3,CD40,H3C3,KLF3,H3C12,GADD45B,BCL2L1,DDX5,H3-3A,SIN3A,ETV5,MEIS1,MAF,NSD2,MYC,ASPSCR1,BCL6,ID2,DEFA3,RXRA,ZBTB17,IGH,GADD45G,CEBPA,BCL2A1,REL,PLAU,H3C7,DEFA4,TFE3,LYL1,H3-3B,SSX1,HPGD,HHEX,H3C2,CSF1R,CDK9,FOXO1,ELK4,ITGB7,PDGFA,NR4A3,PROM1,HMGA2,EYA1,HOXA9,NFKBIZ,CEBPB,TLX3,ATF1,ARNT2,TP53,MEF2C,NUPR1,SPINT1,PAX5,ERG,MLLT1,CCND2,PBX3,HDAC2,RARA,SP1,BCL11B,PLAT,CDKN1A,KDM6A,GRIA3,TRAF1,MLF1,SUPT3H,SMAD1,CEBPE,CDK14,PTCRA,NGFR,TMPRSS2,SIX4,GZMB,BAX,H3C6,CCNT1,PRCC,H3C15,BMP2K,IL1R2,MET,H3C13,BAK1,HDAC1,CXCL8,BIRC2,SLC45A3,H3C4,ATM,H3C1,SPI1,MAX,CDKN1B,BAIAP3,POLK,H3C8,MITF,SIX1,ITGAM,HOXA11,WNT16,PER2,JMJD1C,IGF1,IGF1R,CD14,DEFA1B,ETV4,H3-4,RUNX1,RUNX2,TSPAN7,ELANE,H3C11,H3-5,RXRB,DEFA1	29	192	1
Viral carcinogenesis	0.034482758620689655	0.010228761463267157	0.0049261083743842365	3.3711567861389504	0.25830148537247505	1.0	GSN	H4C6,NFKB1,PRKACA,IKBKG,HLA-B,H4C14,PIK3CA,SNW1,C3,GTF2H2C_2,TBPL2,CDC42,GTF2E2,TRAF2,SND1,CREB5,SCIN,TRADD,CREB3L1,RBPJ,HPN,H4-16,H2BC5,CCR3,ATF6B,H4C7,H2BC3,H4C15,GTF2H2,MDM2,DDX3X,PIK3R3,HDAC8,HLA-G,H2BC4,RASA2,RELA,H2BC1,RBPJL,H4C11,H4C2,CCNA1,H2BU1,MAPK3,UBE3A,CCNA2,HDAC6,HLA-E,H4C4,TBP,EP300,ATP6V0D1,TRAF5,RBL2,MRPS18B,HRAS,GTF2A1,NFKBIA,DLG1,CASP8,CREB1,HLA-A,KRAS,CREB3,CREB3L2,YWHAG,HNRNPK,H2BC14,YWHAZ,NFKB2,GTF2E1,H4C5,RANBP1,CCR8,GTF2A1L,CASP3,STAT5B,GSN,IL6ST,H2BC18,CHD4,PRKACG,GTF2A2,SKP2,EGR3,H2BC13,CCND3,REL,LTBR,SRF,H2BC21,CCR4,KAT2A,RAC1,H2BC8,H2BE1,H4C12,HDAC9,CDK1,ACTN1,GTF2H2C,RB1,EIF2AK2,YWHAE,CCND1,PIK3R2,RHOA,KAT2B,HDAC11,CDC20,GTF2H3,CDKN2B,VAC14,GRB2,CCNE2,RBL1,H2BW1,UBR4,H2BS1,H2BC6,H2BC17,CDK6,STAT3,GTF2H1,TP53,PIK3R1,CDK4,TBPL1,H4C9,TRAF3,CCND2,ACTN4,IRF9,HDAC2,HDAC7,CDKN1A,H4C1,H2BC10,MAD1L1,TRAF1,SP100,YWHAQ,H4C13,IRF7,STAT5A,BAX,HDAC10,PMAIP1,POLB,SRC,CHEK1,H2BC7,ATF4,HDAC5,BAK1,H2BW2,HDAC1,H2BC9,GTF2H4,IRF3,LYN,MAPK1,YWHAH,H4C8,PSMC1,H2BC11,JAK3,PIK3CB,CDK2,CREB3L4,CDKN1B,HDAC4,PXN,H2BC15,PKM,H4C3,HLA-F,CCNE1,YWHAB,CDKN2A,CREBBP,SYK,JAK1,H2BC12,PRKACB,GTF2B,CREB3L3,MAPKAPK2,CCR5,BAD,HLA-C,HDAC3,ATF2,NRAS,DDB1,USP7,PIK3CD,EGR2,JUN,VDAC3,DNAJA3,SCRIB,ATP6V0D2	29	203	1
Human immunodeficiency virus 1 infection	0.034482758620689655	0.010682253350801169	0.0047169811320754715	3.22804163955758	0.2681149553021714	1.0	FOS	MAP2K3,NFKB1,TAP2,IFNA5,GNAQ,CCNB2,TRAF6,IKBKB,IKBKG,AP1S3,HLA-B,PPP3R1,PIK3CA,CD3G,CUL1,TRAF2,MAP3K7,IFNA2,TRADD,GNB3,CUL4B,IFNA16,DCAF1,PLCG2,APOBEC3C,AKT3,GNAI2,IFNA17,PAK6,PRKCB,GNB2,RNF7,TNFRSF1A,PIK3R3,TAB1,IRAK4,ITPR1,ELOB,HLA-G,CGAS,PPP3R2,CD3E,IFNA7,RAC2,CD247,RAC3,RELA,GNG4,TAPBP,MAPK3,CXCR4,CUL5,PAK4,HLA-E,LIMK1,TNF,TRAF5,PTK2B,CASP9,PTK2,HRAS,AP1S2,CALM1,IFNA6,NFKBIA,MAP2K6,CRKL,TBK1,IRAK1,CASP8,GNB4,AP1M1,HLA-A,PPP3CA,KRAS,CCNB3,BCL2L1,MTOR,CALM2,GNG8,GNB1,LIMK2,CALM3,AP1G1,CASP3,IFNA4,TNFRSF1B,FBXW11,NFATC3,GNAI1,MAPK13,CFL2,WEE1,APOBEC3G,CD3D,MAPK12,RPS6KB2,GNG3,B2M,SAMHD1,TAP1,BST2,NFATC4,RAC1,APOBEC3D,GNG12,CDK1,GNG7,GNGT1,PRKCG,RBX1,PIK3R2,AKT1,SKP1,IFNA13,RIPK1,PDIA3,MAPK9,GNG10,CCNB1,CALML4,MAPK14,MAP2K7,TLR4,AP1G2,CALML5,STING1,GNG13,PPP3CB,PIK3R1,AP1S1,BID,MAP2K2,FADD,CYCS,TAB2,IFNB1,ELOC,ITPR3,PAK2,PAK1,WEE2,MAP2K1,NFATC2,ATR,IFNA14,GNAI3,MYD88,BAX,RAF1,APOBEC3F,CHUK,CALML6,CHEK1,IFNA8,BAK1,CALR,GNA11,GNAO1,IRF3,MAPK1,GNB5,ATM,ITPR2,GNG2,PIK3CB,BCL2,FOS,APOBEC3A,BUB1B-PAK6,AKT2,CDC25C,AP1M2,MAPK8,CALML3,PXN,NFATC1,CUL4A,IFNA10,GNG5,HLA-F,IFNA1,MAPK11,PAK3,PLCG1,RPS6KB1,PPP3CC,APOBEC3A_B,GNGT2,CCR5,CD4,BAD,HLA-C,PRKCA,IFNA21,AP1B1,PAK5,FASLG,MAPK10,TRIM5,NRAS,APOBEC3B,TLR2,DDB1,PIK3CD,BTRC,APOBEC3H,JUN,GNG11,CRK,CFL1,FAS	29	212	1
cAMP signaling pathway	0.034482758620689655	0.010883805300816285	0.004629629629629629	3.168263090676884	0.2724361459960535	1.0	FOS	NFKB1,PRKACA,DRD2,GRIN3A,CGA,CNGA2,NPY1R,CNGA4,BRAF,HTR1B,PIK3CA,FSHR,CAMK2G,CREB5,SSTR1,PDE4B,CREB3L1,HCN4,CHRM2,ADCY7,SSTR5,CACNA1C,AKT3,ADCY2,ADCY4,GNAI2,CAMK2D,ATP1B1,GRIA2,GRIN3B,PTGER3,SUCNR1,PIK3R3,AMH,PTGER2,FXYD1,ADORA1,ATP2B2,POMC,GRIN2B,RAC2,HCAR1,GRIN2D,RAPGEF4,GCG,CACNA1S,RAC3,RELA,ATP2B3,ATP1B2,GRIA1,NPY,PDE3B,ARAP3,MAPK3,PDE4C,DRD1,GABBR2,CNGB3,EDNRA,CAMK2B,EP300,GIP,PPARA,CALM1,NFKBIA,ACOX1,GLP1R,CREB1,PLD2,PDE4D,ADCY6,CAMK2A,FFAR2,PLN,CREB3,ATP1A2,CREB3L2,AFDN,CALM2,GPR119,ABCC4,VIP,NPPA,ADRB2,ADCY10,HTR6,CALM3,PLCE1,SOX9,ADCY1,FSHB,PRKACG,VAV1,PPP1CB,PDE10A,GNAI1,GIPR,PTCH1,FXYD2,HCAR2,RRAS2,ADCYAP1R1,PPP1R12A,PDE4A,RAC1,RAP1A,BDNF,ATP1B3,ATP2A3,PIK3R2,ORAI1,AKT1,RHOA,CNGA1,ADCY5,PDE3A,MAPK9,ATP2A2,CALML4,ATP1A3,TSHB,ATP2B1,GRIN1,NPR1,GRIN2A,CALML5,GRIA4,LHCGR,HTR1E,SST,CFTR,PIK3R1,ROCK2,MAP2K2,HTR4,CHRM1,OXTR,CACNA1F,RAP1B,ATP1B4,TNNI3,DRD5,CAMK4,PAK1,MAP2K1,HTR1D,GRIA3,ACOX3,GRIN2C,GNAI3,VAV3,PPP1CA,SSTR2,ADCY8,RAPGEF3,PPP1CC,HCN2,ATP2A1,HTR1F,RAF1,VIPR2,CALML6,PPP1R1B,RYR2,GHRL,PLD1,HHIP,HTR1A,MAPK1,GLI1,ATP1A4,GABBR1,PIK3CB,TIAM1,FOS,CREB3L4,AKT2,EDN1,ROCK1,TSHR,CALML3,EDN3,MAPK8,RRAS,NFATC1,SLC9A1,CREBBP,LHB,MC2R,GHSR,VAV2,LIPE,GNAS,ADORA2A,PRKACB,CREB3L3,ATP2B4,BAD,ADCY3,ADCYAP1,F2R,MAPK10,ADCY9,HCAR3,EDN2,MYL9,CNGA3,OXT,PIK3CD,CACNA1D,ATP1A1,ADRB1,JUN,GLI3,CNGB1	29	216	1
Regulation of actin cytoskeleton	0.034482758620689655	0.010984581275823843	0.0045871559633027525	3.139196456817463	0.2745874934579754	1.0	GSN	MYH10,MOS,MYL12B,BRAF,ARHGEF12,PIK3CA,PIKFYVE,LPAR2,BRK1,ARAF,GNA13,MYH14,CDC42,SCIN,ITGAX,CXCL12,CHRM2,FGF4,ITGA5,MYLK4,MYL10,MYLK2,ACTR3B,DIAPH1,MYLK,MYL2,F2,PAK6,FGF16,CYFIP2,LPAR1,DIAPH3,TMSB4X,PIK3R3,INS,RAC2,ITGA3,MRAS,ITGA2B,RAC3,ENAH,ITGA6,INSRR,ARPC5,ACTR3,PFN4,BCAR1,MAPK3,ITGA9,CXCR4,SPATA13,PAK4,ABI2,BDKRB2,LIMK1,IQGAP3,FGF2,PTK2,HRAS,LPAR4,ACTG1,FGFR4,PFN2,CRKL,MYL7,PIP5K1B,ITGB5,ARPC3,ITGB8,KRAS,FN1,PIP4K2A,NCKAP1L,LPAR5,ARHGEF7,SSH3,LIMK2,ARPC2,FGF21,GSN,FGD1,ITGB6,APC2,MYH11,FGFR1,VAV1,PPP1CB,SOS2,PIP5K1C,ITGAL,FGD3,CFL2,FGF5,MYLPF,ITGA11,PDGFD,RRAS2,PPP1R12A,RAC1,WASF2,NCKAP1,ARPC1B,GNG12,ACTN1,PDGFRB,WASF1,FGF23,PIK3R2,RHOA,FGFR3,PIP4K2C,CHRM4,ITGB7,PDGFA,ARHGEF1,VCL,ARHGAP35,FGF18,PFN1,CHRM5,KNG1,ITGB4,PDGFB,PIK3R1,EZR,PDGFC,ARHGEF4,ACTB,IQGAP2,CHRM1,ROCK2,MAP2K2,ITGAD,PDGFRA,WASL,PIP5K1A,ITGB2,ACTN4,ITGB3,PAK2,TMSB4Y,PAK1,MAP2K1,PPP1R12B,MYLK3,ARHGEF6,VAV3,PPP1CA,GIT1,BAIAP2,PPP1CC,SOS1,ITGA10,ACTR2,RAF1,FGF19,ARPC5L,SRC,MYH9,ITGA7,ITGAV,FGF9,ITGA1,FGF7,ITGA2,MAPK1,FGF3,ARPC1A,RDX,DIAPH2,PIK3CB,TIAM1,BUB1B-PAK6,ROCK1,FGF1,CYFIP1,PXN,RRAS,CHRM3,FGF20,ITGAM,FGF22,EGF,SLC9A1,SSH1,MSN,ITGA8,DOCK1,GNA12,PFN3,VAV2,PAK3,ACTR3C,IQGAP1,FGF17,ITGB1,ARPC4,FGF6,PAK5,F2R,FGF10,ITGA4,NRAS,MYL5,MYL9,MYL12A,FGFR2,APC,BDKRB1,PIK3CD,SSH2,EGFR,FGF8,ITGAE,CRK,CFL1,PIP4K2B,PPP1R12C	29	218	1
