model	library	gt_name	gt_name_clean	name	ROUGE1	ROUGE2	csim	method
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Hedgehog signaling pathway, Phosphatidylinositol signaling system	Hedgehog signaling pathway, Phosphatidylinositol signaling system	Phosphoinositide metabolism and signal transduction regulation  	0.16666666666666666	0.0	0.5837977042987198	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Phosphatidylinositol signaling system	Amino sugar and nucleotide sugar metabolism, Phosphatidylinositol signaling system	Phosphoinositide signaling and metabolic regulation  	0.3333333333333333	0.0	0.6522254644795835	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway, Non-homologous end-joining	Chemokine signaling pathway, Non-homologous end-joining	Chemokine signaling and immune cell migration  	0.2857142857142857	0.16666666666666666	0.6493477373749862	GSAI
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Glycolysis / Gluconeogenesis, Wnt signaling pathway	Wnt signaling pathway, Metabolic process of glucose catabolism, Regulation of gene expression, Cell cycle regulation, Cellular response to growth factor stimulus	0.6	0.5	0.6893343186528753	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Amino sugar and nucleotide sugar metabolism, Ubiquitin mediated proteolysis	Ubiquitin-protein transferase activity, Regulation of protein stability	0.1111111111111111	0.0	0.5301364471894868	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid elongation, Pentose phosphate pathway	Fatty acid elongation, Pentose phosphate pathway	Pentose phosphate pathway, Glycolysis, Nucleotide biosynthesis	0.5	0.4	0.6957698108031063	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid metabolism, Phosphatidylinositol signaling system	Glycerophospholipid metabolism, Inositol phosphate metabolism, Phosphoinositide signaling pathway, Phosphatidylinositol signaling system, Arachidonic acid signaling pathway	1.0	0.75	0.8572961477336993	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	B cell receptor signaling pathway, Oxidative phosphorylation	B cell receptor signaling pathway, Oxidative phosphorylation	Mitochondrial electron transport, NADH to ubiquinone, PI3K-Akt signaling pathway, NF-kappa B signaling pathway, T cell receptor signaling pathway	0.7142857142857143	0.5	0.6720793438675665	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Non-homologous end-joining, Ubiquitin mediated proteolysis	Non-homologous end-joining, Ubiquitin mediated proteolysis	Ubiquitin-mediated proteolysis, DNA damage repair	0.42857142857142855	0.3333333333333333	0.7202505631798861	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Insulin signaling pathway, Renin-angiotensin system	Insulin signaling pathway, Renin-angiotensin system	Insulin signaling pathway, mTOR signaling pathway, Glycogen synthesis and degradation, MAPK signaling pathway, Glucose uptake and metabolism	0.5	0.4	0.6516671156991053	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism, Pentose phosphate pathway	D-Glutamine and D-glutamate metabolism, Pentose phosphate pathway	Pentose phosphate pathway, Glycolysis, Fructose metabolism, Glutamate metabolism, Nucleotide metabolism	0.5555555555555556	0.375	0.7482503389682025	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Prolactin signaling pathway	Cardiac muscle contraction, Prolactin signaling pathway	MAPK signaling pathway, Calcium signaling pathway, Insulin signaling pathway, Apoptosis signaling pathway	0.3333333333333333	0.2	0.48008872922028006	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phosphatidylinositol signaling system, Wnt signaling pathway	Phosphatidylinositol signaling system, Wnt signaling pathway	Wnt signaling pathway, Calcium signaling pathway, Phosphoinositide signaling pathway	0.6666666666666666	0.4	0.8076567799784172	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, GABAergic synapse	Amino sugar and nucleotide sugar metabolism, GABAergic synapse	GABAergic synapse, Glycolysis / Gluconeogenesis	0.25	0.14285714285714285	0.7133574386520587	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	GABAergic synapse, Synaptic vesicle cycle	GABAergic synapse, Synaptic vesicle cycle	Synaptic transmission, Neurotransmitter secretion, G-protein coupled receptor signaling pathway	0.2	0.0	0.5726893710205252	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Sphingolipid metabolism	Amino sugar and nucleotide sugar metabolism, Sphingolipid metabolism	Sphingolipid metabolism, Glycosphingolipid biosynthesis, Ganglioside biosynthesis, Glycolysis, N-acetylglucosamine metabolism	0.375	0.14285714285714285	0.7707016800372	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Inositol phosphate metabolism	Cardiac muscle contraction, Inositol phosphate metabolism	Calcium ion transport, Cardiac muscle contraction, Inositol phosphate metabolism, Phosphoinositide 3-kinase (PI3K) signaling pathway, Respiratory electron transport, ATP synthesis	1.0	1.0	0.7245100300450724	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	DNA replication, Oxidative phosphorylation	DNA replication, Oxidative phosphorylation	DNA replication, Mitochondrial respiratory chain, Oxidative phosphorylation, ATPase activity	1.0	0.6666666666666666	0.7675903560485181	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Notch signaling pathway, Phosphatidylinositol signaling system	Notch signaling pathway, Phosphatidylinositol signaling system	Notch signaling pathway, Phosphatidylinositol signaling system	1.0	1.0	0.9999998379778333	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Hedgehog signaling pathway, Wnt signaling pathway	Hedgehog signaling pathway, Wnt signaling pathway	Wnt signaling pathway, Calcium signaling pathway, Cell cycle regulation	0.8333333333333334	0.6	0.7150732075451938	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Glycerophospholipid metabolism	Cardiac muscle contraction, Glycerophospholipid metabolism	Phospholipid metabolism, Oxidative phosphorylation, Muscle contraction, Calcium signaling pathway	0.6	0.25	0.7063970887238611	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, RNA transport	Amino sugar and nucleotide sugar metabolism, RNA transport	Nonsense Mediated Decay, RNA Transport, Translation	0.25	0.14285714285714285	0.6136847581223162	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycerophospholipid metabolism, Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Glycerophospholipid metabolism, Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Glycerophospholipid biosynthesis, Phospholipid metabolism, Phosphatidylcholine biosynthetic process	0.5	0.0	0.73881450231315	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Phototransduction	Glycolysis / Gluconeogenesis, Phototransduction	Glycolysis and Gluconeogenesis, Alcohol Metabolism, Visual Transduction, Calcium Signal Pathway	0.6666666666666666	0.0	0.7890135594002203	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Oxidative phosphorylation, Phototransduction	Oxidative phosphorylation, Phototransduction	Oxidative Phosphorylation, Electron Transport Chain, Phototransduction, ATP Synthesis, Calcium Ion Binding	1.0	0.5	0.7696472428302327	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway, GABAergic synapse	Chemokine signaling pathway, GABAergic synapse	Phosphatidylinositol signaling system, Rho GTPase signaling pathway, Cytokine signaling in the immune system, Neurotransmitter transport and signaling	0.4	0.25	0.6367934782022402	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycolysis / Gluconeogenesis, Phosphatidylinositol signaling system	Glycolysis / Gluconeogenesis, Phosphatidylinositol signaling system	Inositol phosphate metabolism, Glycolysis / Gluconeogenesis, Phosphatidylinositol signaling pathway	0.8	0.75	0.8047982477143055	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway, RNA transport	Chemokine signaling pathway, RNA transport	Cytokine-mediated signaling pathway, Signaling by GPCR (G protein-coupled receptors), Immune response	0.4	0.25	0.629704528774121	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	RNA transport, Wnt signaling pathway	RNA transport, Wnt signaling pathway	Wnt signaling pathway, Nuclear pore complex, SUMOylation pathway, Cytoplasmic translation	0.6	0.5	0.6733962042212334	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycosaminoglycan biosynthesis, Ubiquitin mediated proteolysis	Glycosaminoglycan biosynthesis, Ubiquitin mediated proteolysis	Ubiquitin-proteasome pathway, Glycosaminoglycan biosynthesis, Mitosis and cell cycle regulation	0.6	0.25	0.7435468665312974	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism, Insulin signaling pathway	D-Glutamine and D-glutamate metabolism, Insulin signaling pathway	Insulin signaling pathway, AMPK signaling pathway, Glycogen metabolism, mTOR signaling pathway, Glycolysis	0.4444444444444444	0.25	0.6302396306149254	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Inositol phosphate metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Inositol phosphate metabolism	Phosphoinositide signaling pathway, Phosphatidylinositol signaling system, Inositol phosphate metabolism	0.42857142857142855	0.3333333333333333	0.661148756679758	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycerophospholipid metabolism, Non-homologous end-joining	Glycerophospholipid metabolism, Non-homologous end-joining	Phospholipid catabolic process, Phosphatidylcholine biosynthesis, Lipid metabolism, DNA repair	0.16666666666666666	0.0	0.6513366371387184	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Steroid hormone biosynthesis, Tryptophan metabolism	Steroid hormone biosynthesis, Tryptophan metabolism	Steroid hormone biosynthesis, Phase II drug metabolism, Drug metabolism - cytochrome P450, Amino acid metabolism	0.8	0.5	0.6715958359288803	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Cardiac muscle contraction, Phototransduction	Cardiac muscle contraction, Phototransduction	Calcium signaling pathway, Phototransduction, Oxidative phosphorylation, Muscle contraction	0.75	0.3333333333333333	0.676790721380673	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	D-Glutamine and D-glutamate metabolism, Pyruvate metabolism	D-Glutamine and D-glutamate metabolism, Pyruvate metabolism	Alcohol Metabolism, Citric Acid Cycle (TCA Cycle), Amino Acid Metabolism, Glycolysis, Mitochondrial Metabolism	0.25	0.0	0.5577229582413799	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	GABAergic synapse, Tryptophan metabolism	GABAergic synapse, Tryptophan metabolism	GABAergic Synapse, Serotonergic Synapse	0.5	0.3333333333333333	0.7723590458999273	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Notch signaling pathway	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Notch signaling pathway	Notch signaling pathway	0.42857142857142855	0.3333333333333333	0.590397334225258	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway, Wnt signaling pathway	Chemokine signaling pathway, Wnt signaling pathway	Chemokine signaling pathway, Wnt signaling pathway, Cytokine-cytokine receptor interaction, Focal adhesion	1.0	1.0	0.8877674441938298	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Tryptophan metabolism	Amino sugar and nucleotide sugar metabolism, Tryptophan metabolism	Tryptophan metabolism, Amino acid metabolism	0.5	0.14285714285714285	0.793028625697318	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Notch signaling pathway, Synaptic vesicle cycle	Notch signaling pathway, Synaptic vesicle cycle	Notch signaling pathway, Synaptic vesicle cycle, Vesicle-mediated transport, Endocytosis	1.0	1.0	0.9110918897785105	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Sphingolipid metabolism, Wnt signaling pathway	Sphingolipid metabolism, Wnt signaling pathway	Wnt signaling pathway, Sphingolipid metabolism, Glycosphingolipid biosynthesis, Cell cycle regulation	1.0	0.75	0.8382705097356034	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Glycosaminoglycan biosynthesis, Prolactin signaling pathway	Glycosaminoglycan biosynthesis, Prolactin signaling pathway	Neurotrophin TRK receptor signaling, Cytokine signaling in immune system, Glycosaminoglycan biosynthesis	0.6	0.25	0.6516624407459425	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid degradation, Hedgehog signaling pathway	Fatty acid degradation, Hedgehog signaling pathway	TRI-MODULATION PATHWAY (SHH/GLI signaling), Fatty Acid Metabolism	0.6666666666666666	0.2	0.7360747553556553	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Fatty acid degradation, Pentose phosphate pathway	Fatty acid degradation, Pentose phosphate pathway	Fatty acid degradation, Pentose phosphate pathway, Glycolysis/gluconeogenesis	1.0	1.0	0.9208669118127653	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Prolactin signaling pathway, Pyruvate metabolism	Prolactin signaling pathway, Pyruvate metabolism	MAPK signaling pathway, Cytokine signaling in immune system, Insulin signaling pathway, Glycolysis	0.4	0.25	0.6178297298739741	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Hedgehog signaling pathway, Insulin signaling pathway	Hedgehog signaling pathway, Insulin signaling pathway	Insulin signaling pathway, MAPK signaling pathway, MTOR signaling pathway	0.8333333333333334	0.6	0.7564814565130644	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Tryptophan metabolism, Ubiquitin mediated proteolysis	Tryptophan metabolism, Ubiquitin mediated proteolysis	Ubiquitin-proteasome pathway	0.2	0.0	0.5696496367094763	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Phosphatidylinositol signaling system, Phototransduction	Phosphatidylinositol signaling system, Phototransduction	Phototransduction, Phosphoinositide signaling pathway, Signal transduction by G proteins, Calcium signaling pathway	0.5	0.0	0.7799115767311295	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Hedgehog signaling pathway, Non-homologous end-joining	Hedgehog signaling pathway, Non-homologous end-joining	Hedgehog signaling pathway, Non-homologous end joining (NHEJ)	1.0	1.0	0.9402231062146655	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Hedgehog signaling pathway, Phosphatidylinositol signaling system	Hedgehog signaling pathway, Phosphatidylinositol signaling system	Phosphoinositide signaling pathway, Insulin signaling pathway, Protein phosphorylation	0.5	0.2	0.7074888040271766	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism, Phosphatidylinositol signaling system	Amino sugar and nucleotide sugar metabolism, Phosphatidylinositol signaling system	Inositol phosphate metabolism, Phosphatidylinositol signaling pathway, Glycolysis and gluconeogenesis	0.4444444444444444	0.25	0.7156100836939387	llm2geneset
gpt-4o-mini-2024-07-18	KEGG_2021_Human	Chemokine signaling pathway, Non-homologous end-joining	Chemokine signaling pathway, Non-homologous end-joining	Chemokine signaling pathway, PI3K-Akt signaling pathway, Rho GTPase signaling pathway, Cytokine signaling in immune system	0.42857142857142855	0.3333333333333333	0.6786966226437412	llm2geneset
