set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter	in_toks	out_toks
Regulation of protein serine/threonine kinase activity	0.015873015873015872	0.0024186234001813967	0.020833333333333332	6.5628306878306875	0.14211470512361235	1.0	PRKCA	MAPK3,PPP2R1C,CDC25A,PPP2R1A,PPP1R14D,PPP2R5C,PPP2R3A,PRKACA,MAPK1,CDC25C,PPP1CB,PPP2R2A,PRKAR1A,PRKCB,CDC25B,PPP1R14A,MAP2K2,PPP2R2D,AKT3,PPP2CB,PPP2R5B,PPP1CC,PPP2CA,PPP2R5A,PRKAR2A,PRKACB,PPP2R1B,PPP1CA,PPP2R5E,GSK3B,PRKAR1B,PPP2R3C,MAP2K1,PPP2R5D,AKT2,PKC,PPP2R2B,PPP2R2C,PPP1R14C,PRKACG,PRKCG,GSK3A,PRKAR2B,PPP1R14B,PPP2R3B,AKT1,PTEN,PRKCA	63	48	1	170	680
Autophagy	0.015873015873015872	0.002519399375188955	0.02	6.30031746031746	0.14758335188172453	1.0	MAP1LC3A	HSP90AA1,MTOR,CTSL,ATG16L1,ATG4D,LAMP2,FIP200,BCL2L1,GABARAPL2,BNIP3,LC3B,ATG9A,ATG7,PINK1,UVRAG,CSNK2A1,ATG4C,BNIP3L,AMBRA1,TBC1D25,HSPB8,PARK2,WIPI2,BECN1,DRAM1,MAP1LC3A,DCTN1,CTSD,SQSTM1,GABARAP,ATG9B,ULK2,RPTOR,ATG4B,CTSB,OPTN,BCL2,HSPA8,ATG4A,GABARAPL1,NBR1,MAP1LC3C,NDP52,WIPI1,ULK1,RB1CC1,MAP1LC3B,ATG12,TAX1BP1,ATG5	63	50	1	154	684
Proton transmembrane transport	0.015873015873015872	0.0034767711377607577	0.014492753623188406	4.565447435012652	0.19785385920190174	1.0	SLC9B1	SLC9D1,NDUFA4,SLC9A8,ATP4A,SLC9B2,ATP6V0A3,ATP6V1A,ATP6V1D,ATP6V1E1,CKMT1A,SLC9A5,ATP6V1H,DNM1,ATP5F1B,ATP6V1F,SLC4A1,ATP6V1C2,ATP12A,ATP6V0A2,DNM3,SLC9C1,CKB,SLC4A3,MT-ATP6,MT-ATP8,DCTN6,SLC4A5,ATP5F1A,ATP6V0C,ATPIF1,DCTN1,DCTN4,CKMT1B,ATP6V0B,SLC9A3,ATP6V1E2,ATP6V1C1,ATP6V1G1,DCTN3,F1F0-ATPase,ATP6V0E1,SLC9A10,ATP6V0A4,ATP6V0D2,ATP4B,SLC9A2,SLC9A7,SLC4A2,SLC4A7,ATP6V0A1,SLC9A9,SLC9A4,SLC9A1,SLC9E1,SLC4A8,CKMT2,ATP6V1G3,SLC9B1,DNM2,ATP5F1C,DCTN2,SLC4A4,ATP6V1G2,ATP6V0D1,ATP6V1B2,DCTN5,SLC9A6,ATP6V1B1,ATP6V0E2	63	69	1	160	763
Nucleosome assembly	0.015873015873015872	0.003527159125264537	0.014285714285714285	4.500226757369615	0.2004172764115131	1.0	HIST1H2BG	HIST2H2AE,HIST1H3H,HIST1H3C,HIST2H2AA3,HIST1H3D,HIST1H4I,HIST1H3A,H3F3C,CHAF1A,H2AFZ,HIST2H2AC,HIST3H2A,HIST2H4A,HIST1H4C,HIST1H1C,HIST1H4E,H2AFX,HIST1H2BE,NAP1L3,ING3,NAP1L1,DEK,H2AFY,ASF1A,HIST3H3,HIRA,HIST1H4A,HIST1H4D,HIST1H2BB,CABIN1,CENPA,HIST1H1A,HIST2H2AB,HIST1H2BA,HIST1H1B,HIST1H3E,HIST1H4L,CHAF1B,UBN2,NAP1L2,HIST1H3G,H3F3A,HIST1H3I,UBN1,HIST1H2BC,HIST1H4B,HIST1H1D,HIST2H2AD,HIST1H3J,HIST2H4B,NAP1L4,HIST1H2AC,HIST1H2BG,RSF1,HIST2H3A,HIST1H3B,HIST1H3F,HIST1H4J,H3F3B,ASF1B,HIST1H2BF,HIST4H4,NAP1L5,HIST1H1E,HIST1H4F,HIST1H4K,HIST1H4H,H1FX,HIST1H2BD,HIST2H3C	63	70	1	156	1065
Regulation of cell-cell adhesion	0.015873015873015872	0.003527159125264537	0.014285714285714285	4.500226757369615	0.2004172764115131	1.0	ITGB1	IQGAP2,PKP4,DSC2,ITGB2,PTPN13,PVRL4,DSCAM,CDH1,ACTN2,IQGAP1,CTNNAP2,PVRL2,ZO1,ITGB1,DSG4,ACTB,GJA5,PKD1,CTNNA3,PTPRK,IQGAP3,KRT8,DSC3,CLDN8,KRT18,CDH3,CLDN1,CLDN10,GJA1,CTNNA2,PKP1,PKP2,CLDN9,KRT19,CLDN6,ZO2,GJA8,VEZT,DSG2,OEUT3,PVRL3,CLDN7,CTNNBIP1,CLDN5,TJAP1,DSG3,CGN,VASP,JUP,ZO3,DSC1,CLDN2,VCL,CTNNB1,DSG1,CTNNA1,SRC,TLN1,PVRL1,ITGB3,ACTN3,CLDN4,CDH2,DSP,PKP3,CLDN3,ACTN1,ACTN4,TLN2,F11R	63	70	1	160	644
Cellular response to growth factor stimulus	0.0	0.001562027612617152	0.0	0.0	1.0	1.0		MAPK3,PTK2,JAK2,MTOR,TNFRSF1A,PIK3CA,MAPK1,VEGFR2,PTEN,STAT3,SMAD2,PDGFRB,SOS1,RAF1,SMAD3,IGF1R,FGFR1,NFKB1,TGFBR1,KRAS,SHC1,VEGFR1,TGFBR2,NRAS,GRB2,SMAD4,EGFR,JAK1,AKT1,HRAS,RELA	63	31	0	162	409
Ubiquitin-dependent protein catabolic process	0.0	0.0014612516376095938	0.0	0.0	1.0	1.0		PSMD12,UBE2D3,PSMC5,UBE2D1,PSMD3,UBE3A,PSMD11,PSMC1,PSMC6,PSMD8,PSMD14,PSMC2,PSMD10,UBE2D2,PSMD6,PSMC4,PSMD2,PSMD7,PSMD1,PSMC3,PSMD4,UBE2L3,RPS27A,PSMD9,UBC,UBE2D4,UBB,PSMD13,PSMD5	63	29	0	166	399
Endoplasmic reticulum to Golgi vesicle-mediated transport	0.0	0.0019651315126473848	0.0	0.0	1.0	1.0		USO1,COPA,COPG2,ARF4,GOSR2,GOSR1,COPB2,ARFGAP1,TRAPP,SEC16A,SEC23A,SEC24A,SEC31B,SEC24B,SEC24D,SEC13,BET1,COPE,SEC31A,GGA3,GGA2,BET1L,RAB1A,COPG1,ARF1,SAR1A,RAB1B,GBF1,ERGIC2,YKT6,GGA1,SAR1B,ERGIC3,ERGIC1,STX5,SEC24C,SEC16B,COPB1,SEC23B	63	39	0	172	356
Vesicle-mediated transport	0.0	0.0017635795626322684	0.0	0.0	1.0	1.0		RAB2B,USO1,SYT2,TRAPPC8,RAB5C,SYT1,SNAP25,RAB11B,STX1A,SEC23A,SEC24A,SEC31B,SEC24B,SEC24D,RAB27B,SEC31A,RAB8A,RAB27A,RAB1A,RAB6A,SEC22B,RAB1B,VTI1B,STXBP1,VAMP2,RAB2A,RAB3A,RAB5B,RAB5A,SEC24C,VTI1A,RAB7A,RAB11A,RAB9A,SEC23B	63	35	0	158	482
Iron ion transport	0.0	0.001058147737579361	0.0	0.0	1.0	1.0		SLC40A1,ABL1,FTH1,BMP6,STEAP3,SLC46A1,CP,DMT1,TFR1,FTHL17,HFE,HAMP,TFR2,PCBP1,FTL,FPN1,SFXN1,HJV,TF,IREB2,SLC11A2	63	21	0	154	277
Apparently associated with aging	0.0	0.0013604756626020356	0.0	0.0	1.0	1.0		MTOR,PRDX6,WRN,PRDX3,ATM,SIRT6,SIRT1,CSNK2A2,PRDX5,CSNK2A1,CSNK2B,PPARGC1A,PRDX2,IGF1R,XPA,CLK1,BRCA2,FN1,TERT,PRDX4,BRCA1,NBN,FOXO3,TP53,APOE,LMNA,PRDX1	63	27	0	156	353
MAPK cascade, negative regulation	0.0	0.0011085357250831401	0.0	0.0	1.0	1.0		DUSP1,SPRY2,PTPRR,PPM1B,PPP2R1A,TSC2,DUSP4,SUS1,MKP3,SPRY4,SOCS1,SOCS3,PPP2CB,PPP2CA,MKP1,MKP2,DUSP6,PPP2R1B,PPM1A,TSC1,RGS2,PTEN	63	22	0	160	209
Cellular response to cytokine stimulus	0.0	0.001511639625113373	0.0	0.0	1.0	1.0		MAPK3,JAK2,TLR2,CXCL10,IFNAR2,CXCL8,PIK3CA,TLR4,MAPK1,IRF3,STAT3,CCL2,IRF7,STAT5A,IL10,IFNAR1,SOCS1,SOCS3,STAT1,IRF1,NFKB1,IL6,IL2,IL6ST,IFNGR1,TNF,JAK1,AKT1,STAT5B,RELA	63	30	0	162	394
MAPK cascade	0.0	0.0032752191877456413	0.0	0.0	1.0	1.0		MAPK3,DUSP1,MAP4K2,MAP3K3,MAP2K7,MAP3K6,DUSP7,MAPK12,MAPKAPK2,BRAF,MAP3K14,DUSP8,RPS6KA2,RPS6KA3,MAPK1,MAPK9,MAP4K3,DUSP2,RPS6KL1,MAP3K8,MAPKAPK6,MAP2K5,MAP3K5,MAPK8,KSR2,MAP3K7,MAP3K9,ARAF,MAPKAPK3,MAP2K2,DUSP4,RPS6KA4,RAF1,MAP4K4,MAP3K4,MAP3K13,MAPK13,DUSP6,MAP3K1,MAP4K5,RPS6KA5,RPS6KA1,DUSP16,MAPK10,MAPKAPK5,RPS6KB2,MAP2K3,MAP2K6,MAP3K12,MAP2K4,DUSP10,MKNK1,DUSP9,MAP2K1,MAP4K1,MAPK14,KSR1,MKNK2,MAPK11,MAP3K10,RPS6KC1,RPS6KB1,MAP3K11,MAP3K2,DUSP5	63	65	0	154	898
Regulation of cell proliferation	0.0	0.0022674594376700594	0.0	0.0	1.0	1.0		MAPK3,E2F1,MTOR,FGF2,BRAF,PIK3CA,HRAS,CDKN1A,MAPK1,TGFB1,SP1,CDKN2A,STAT3,CCND1,IGF1,STAT5A,WNT3A,VEGFA,RB1,CDKN2B,APC,SMAD3,SOCS3,MYC,PPARG,FGFR1,HMGA1,GSK3B,NF1,TBX2,BRCA1,KRAS,TRAF6,NOTCH1,FOXO3,CTNNB1,JUN,PDGFRA,SMURF1,TP53,SRC,SMAD4,EGFR,AKT1,PTEN	63	45	0	158	583
Cellular response to stress	0.0	0.001007759750075582	0.0	0.0	1.0	1.0		HSP90AA1,SRXN1,XBP1,EIF2AK3,TXN2,MAPK8,ATF4,KEAP1,HSPB1,GAPDH,GADD45A,HSP90AB1,HSPA1A,DDIT3,FOXO3,NFE2L2,HSPA5,HIF1A,AKT1,PRDX1	63	20	0	158	277
T cell activation	0.0	0.0018643555376398266	0.0	0.0	1.0	1.0		IKBKG,LCK,ITK,NFATC2,RELB,CD3G,LAT,CD3E,IL2RA,CD40LG,CTLA4,REL,CD4,SOS1,NFATC4,NFATC3,CD8A,CXCR4,NFKB1,PLCG1,CD28,CD8B,ICOS,CCR7,NFKB2,PIK3R1,CD3D,NFATC1,IL2,ZAP70,FYN,CD25,GRB2,PLCG2,AKT1,PTEN,RELA	63	37	0	154	477
Blood coagulation	0.0	0.002166683462662501	0.0	0.0	1.0	1.0		F2,APOH,F12,ACTG1,VWF,FGB,SERPINC1,PLG,KNG1,F2RL2,SERPINA5,F9,GP9,SERPINF2,F2R,F11,GP1BA,FGG,F10,PROS1,HRG,THBD,CD36,PROC,ANXA5,SERPINE1,TFPI,F8,ITGA2B,FGA,GP6,KLKB1,PLAT,F2RL3,F2RL1,F7,F13B,F5,SERPINA1,A2M,ITGB3,F13A1,GP1BB	63	43	0	154	552
Neurotransmitter secretion	0.0	0.0007558198125566865	0.0	0.0	1.0	1.0		RAB3A,SYN3,CPLX1,UNC13A,SYT1,VAMP2,SYN2,SYT5,SNAP25,SYT9,CPLX2,SYT7,STX1A,SYN1,RAB27A	63	15	0	158	206
Cellular response to hypoxia	0.0	0.0009573717625718028	0.0	0.0	1.0	1.0		PHD2,EPAS1,EGLN1,HK2,PDK1,BNIP3,PGK1,SLC2A1,EGLN2,VHL,VEGFA,BNIP3L,PDK3,PHD3,ENAEA,EGLN3,ARNT,LDHA,HIF1A	63	19	0	160	179
Regulation of apoptotic process	0.0	0.001562027612617152	0.0	0.0	1.0	1.0		IKBKB,CASP3,TNFRSF10B,CDKN1A,BCL2L1,XIAP,DIABLO,HTRA2,BAD,CD95,BAX,BID,NFKB1,FASLG,MDM2,BCL2L11,BCL2,PDCD4,CYCS,DR4,CASP8,FAS,NAIP,TRADD,DR5,Apaf1,TP53,CASP9,TNF,AKT1,PTEN	63	31	0	160	278
Protein deacetylation	0.0	0.0009069837750680237	0.0	0.0	1.0	1.0		SIRT2,SIRT4,HDAC5,SIRT5,HDAC9,HDAC10,HDAC7,SIRT3,SIRT1,HDAC8,SIRT7,HDAC6,HDAC11,HDAC3,SIRT6,HDAC1,HDAC2,HDAC4	63	18	0	158	240
Synapse organization	0.0	0.0012093117000906983	0.0	0.0	1.0	1.0		NLGN4X,SYT2,DSCAM,NRXN3,NLGN1,NEUREXIN3,SYT1,NEUREXIN1,DLG4,CAMK2A,SHANK3,NRXN2,PSD95,SYN2,SYN1,NLGN4Y,NEUREXIN2,NLGN2,CAMK2B,SYN3,NLGN3,NRXN1,SHANK2,SHANK1	63	24	0	154	331
Regulation of protein stability	0.0	0.0012596996875944774	0.0	0.0	1.0	1.0		UBA1,PSME1,SYVN1,RNF4,USP7,SPOP,FBXW7,STUB1,HUWE1,PSME4,PSMB1,PSMD14,TRIM25,SOCS1,SKP2,CUL1,MARCH5,GSK3B,PSMC3,DCAF15,NEDD4,UBC,USP14,UCHL1,BTRC	63	25	0	158	327
Angiogenesis	0.0	0.0013604756626020356	0.0	0.0	1.0	1.0		FGF2,KDR,NRP1,CXCL12,PLG,TIE1,TGFB1,PDGFB,ANGPT1,ANGPTL4,EGFL7,TEK,PDGFRB,VEGFA,FLT1,SEMA3A,ITGA5,DLL4,JAG1,SEMA3F,FN1,NOTCH1,MMP9,ESM1,HIF1A,ANGPT2,CTGF	63	27	0	154	355
Apoptotic process	0.0	0.0017131915751284893	0.0	0.0	1.0	1.0		MCL1,TNFRSF1A,CASP3,NLRP3,CASP1,FADD,HRK,XIAP,BAK1,DFFB,DIABLO,REL,APAF1,AIFM1,BAD,NLRC4,BAX,PMAIP1,BMF,BID,NFKB1,BIK,BCL2,CYCS,PYCARD,CASP8,FAS,DFFA,CASP4,TP53,CASP9,BBC3,TNF,ENDOG	63	34	0	156	436
Cellular metabolic process	0.0	0.002670563337700292	0.0	0.0	1.0	1.0		MTOR,TALDO1,CS,PKLR,GCK,G6PD,PDK2,ENO1,PDK1,PDHB,UGP2,NRF1,PGK1,IDH1,GLUT1,AMPK,PKD2,PKM,FH,ALDOB,PPARGC1A,HK1,TPI1,FBP1,PPARA,MYC,PGM1,GAPDH,FOXO1,PGD,FASN,SDHA,PPARG,GLUT4,GPI,TKT,PDK4,OGDH,PDK3,SREBF1,BRCA1,INS,ALDOA,ACACA,PDHA1,SDHB,ACLY,MDH1,LDHA,GLUD1,TP53,HIF1A,AKT1	63	53	0	156	671
Regulation of transcription from RNA polymerase II promoter	0.0	0.005794618562934596	0.0	0.0	1.0	1.0		TCF3,STAT6,TEAD4,FOXF2,NR3C1,ESR2,CEBPA,NR1H2,FOS,CEBPB,SP1,NFYA,FOXP1,LEF1,POU4F2,MYC,SOX2,NR1H3,MAF,BRCA1,POU3F4,GATA4,TP53,HES1,HIF1A,ATF2,SMAD4,EBF1,KLF5,FOXF1,RUNX1,TAL1,IRF3,TEAD1,YY1,SMAD2,CREB1,TFIIA,REL,FOXA1,FOXP2,TP63,POU3F3,TWIST1,ATF3,IRF1,MYOG,MITF,IRF4,NFE2L2,HSF1,MAFK,PAX5,TFIIH,GLI3,ETS1,TCF4,NR3C2,PAX6,FOXP3,CEBPD,FOXC2,IRF7,ESR1,TFAP2A,ZFP36,GRHL2,RB1,MYOD1,SMAD3,TFIIF,ZEB1,GLI2,TFE3,FOXO1,KLF6,MEF2C,TEAD2,MAFG,RUNX2,POU3F1,JUN,GATA3,SNAI2,RELA,E2F1,ZEB2,FOXP4,POU3F2,ATF1,FOXA2,SNAI1,STAT3,TFEB,TEAD3,KLF4,STAT5A,ATF4,GLI1,EP300,CBFB,STAT2,STAT1,HES5,AR,TBP,RUNX3,CEBPE,CIITA,FOXA3,TFIIB,CTNNB1,POU4F1,STAT5B,MEF2A	63	115	0	168	1038
Oxidation-reduction process	0.0	0.0023682354126776176	0.0	0.0	1.0	1.0		NOX2,GPX5,NQO2,NOX1,ATP5B,PRDX6,CYBA,CAT,DUOX1,PRDX3,ATP5A1,GPX2,NOX3,PRDX5,SOD1,GPX3,SDH,ND5,COX1,COX2,NOX4,PRDX2,ND4,NDUFS8,NDUFS3,NDUFS5,CYB,COX3,GPX1,NQO1,CYBB,SOD2,PRDX4,NDUFS7,ND2,NADH1,CYCS,NDUFS4,DUOX2,NDUFS6,GPX4,NDUFS2,NDUFS1,NOX5,ND3,ND6,PRDX1	63	47	0	160	429
Protein transport	0.0	0.003678323087775874	0.0	0.0	1.0	1.0		AP2B1,COPA,AP3B1,RAB2B,COPG2,RAB5C,RAB6B,RAB21,COPZ2,AP2A1,RAB22A,COPB2,RAB11B,SEC16A,SEC23A,SEC24A,SEC13,SEC24B,SEC24D,SEC31B,COPE,COPZ1,SEC31A,CLTD,AP3M1,RAB8B,SEC61G,AP1M1,RAB27B,RAB35,CLTC,AP4E1,RAB8A,AP2S1,COPG1,RAB1A,RAB27A,CLTA,SAR1A,AP2M1,RAB6A,AP1S2,RAB6C,RAB1B,AP3B2,AP4M1,AP1M2,SAR1B,ARCN1,AP4B1,RAB18,CLTB,SEC61B,RAB2A,RAB5B,RAB33B,RAB5A,RAB33A,AP3S2,SEC24C,SEC16B,COPB1,AP3M2,RAB9B,AP1S1,AP4S1,AP3S1,RAB14,RAB7A,RAB11A,SEC61A1,RAB9A,SEC23B	63	73	0	152	989
Regulation of protein kinase activity	0.0	0.001007759750075582	0.0	0.0	1.0	1.0		MTOR,ABL1,BRAF,PIK3CA,MAPK1,CCND1,PDK1,CAMK2A,PDGFRB,CSNK2A1,CHEK2,RAF1,SMAD3,PPP2CA,GSK3B,SRC,EGFR,AKT1,PRKAA1,PTEN	63	20	0	160	185
Membrane trafficking	0.0	0.004232590950317444	0.0	0.0	1.0	1.0		COPA,VAMP5,ARF3,SEC16A,SEC24A,STX11,GGA3,SNAP23,SEC22B,VAMP4,STX8,AP1M2,AP3D1,AP1S2,SEC23B,VAMP1,COPG2,ARF4,COPZ2,AP2A1,STX1A,VAMP7,AP2A2,SEC24D,AP1M1,AP2M1,SARA2,AP3B2,VAMP2,STX3,STX12,RAB2A,AP1S1,RAB7A,AP1G2,AP2B1,AP3B1,SNAP47,COPB2,ARL5B,ARF5,AP3M1,SNAP29,SEC31A,STX4,SEC22C,GGA2,STX7,ARL2,AP2S1,COPG1,ARL5A,GGA1,ARL1,RAB5A,RAB33A,VAMP8,AP3S2,SEC24C,COPB1,SEC16B,AP1G1,AP3M2,AP3S1,VTI1A,VAMP3,STX16,SEC23A,COPE,SEC31B,SEC24B,COPZ1,RAB27A,RAB1A,ARF1,STX2,VTI1B,AP1S3,SAR1B,ARF6,STX6,SEC22A,RAB11A,AP1B1	63	84	0	154	1127
Integral component of membrane	0.0	0.001562027612617152	0.0	0.0	1.0	1.0		RET,ACADM,KDR,CDH1,TNFRSF10B,APOA1,ITGA2,PTPN11,SLC2A1,CHEK2,PTCH1,VEGFA,ADRB2,BAX,CLDN1,ALB,CACNA1A,FGFR1,HLA-A,BCL2,MAP2K1,CTNNB1,GJB2,TP53,MKI67,VCAM1,NTRK1,EGFR,AKT1,INSR,SLC4A1	63	31	0	156	410
Cellular response to DNA damage stimulus	0.0	0.002620175350196513	0.0	0.0	1.0	1.0		DDB2,XRCC1,TONSL,CSA,POLE,RECQL4,CHEK1,WRN,ATR,ATM,DCLRE1C,BLM,RAD9A,RAD17,XRCC3,PARP2,MSH6,BARD1,LIG4,MUS81,CHEK2,DDB1,POLD1,XRCC2,SLX4,XRCC4,XRCC6,RAD51,CSB,ERCC3,FANCD2,MLH1,XPA,ERCC5,BRCA2,RAD1,MSH2,RAD50,PARP1,XPC,HUS1,MDM2,BRCA1,PMS2,MRE11,XRCC5,ERCC2,NBN,ERCC1,TP53,ERCC4,PCNA	63	52	0	162	665
Leukocyte migration	0.0	0.001511639625113373	0.0	0.0	1.0	1.0		PECAM1,LFA1,ITGB2,CXCR1,CXCL8,CD44,CXCL12,CCR5,ITGA4,CCL2,SELPLG,JAM1,ICAM1,PTPRC,ITGAL,ICAM3,CXCR4,SELL,PLAU,CCL5,CCR7,JAM2,PLAT,ESM1,ITGAM,JAM3,VCAM1,ICAM2,SELE,SELP	63	30	0	156	386
Regulation of endocytosis	0.0	0.001511639625113373	0.0	0.0	1.0	1.0		AP2B1,SNX1,LDLR,SNX3,DYN1,AP2A1,TFRC,EPS15,ACTA1,SH3GL2,CLTC,AP2S1,LAMP1,GAPDH,AP2M1,CAV1,STAM2,SNX9,STAM1,RAB5A,SNX2,RAB11FIP1,SNX6,DNM2,GRB2,EGFR,RAB7A,RAB11A,CAV2,SNX5	63	30	0	160	282
Neuron differentiation	0.0	0.0007558198125566865	0.0	0.0	1.0	1.0		NEUROD1,TCF3,SOX2,MYT1,PKNOX2,TBR1,SOX11,NGN1,ASCL1,HES1,DLL1,NEUROD2,NOTCH1,RFX4,NEUROG2	63	15	0	152	207
Immune response-regulating cell surface receptor signaling pathway	0.0	0.0016628035876247102	0.0	0.0	1.0	1.0		IKBKG,LCK,TIRAP,IL4,IFNAR2,TNFRSF1A,IL12B,IL2RA,TICAM1,NFKBIA,CTLA4,CD80,CD4,IFNAR1,CD40,IL12A,CD8A,CD86,PTPRC,STAT1,NFKB1,LYN,CD28,IRAK4,STAT4,TRAF6,PDCD1,IL2,MYD88,TNF,IL2RB,IRAK1,IFNG	63	33	0	168	429
