set_descr	generatio	bgratio	richFactor	foldEnrich	p_val	p_adj	intersection	set_genes	ngenes	nset	ninter	in_toks	out_toks
Chemokine signaling pathway	0.06896551724137931	0.006550438375491283	0.015384615384615385	10.528381962864723	0.015443044235248388	0.12225743352904973	CCL3,CXCL8	MAP2K3,CXCL1,CXCL9,GNAQ,PLCB1,CCL19,CCL28,RASD1,CAMK2G,CCR2,GNB3,CXCL12,GRK6,PLCB4,PLCG2,CCR6,AKT3,RASA1,CXCR2,GNAI2,CCR3,CAMK2D,PRKD3,GNB2,CXCL13,CCR1,CXCL11,CXCR3,MAPK3,CXCR4,CCL14,CAMK2B,CCL8,CCL16,CALM1,CCL13,CCR9,CCL1,MAP2K6,GNB4,ACKR4,PLD2,CAMK2A,RAF,CXCL16,CXCR1,CALM2,GNB1,RAF3,CALM3,CCR8,CCL7,ACKR2,CCL27,ACKR3,CCL22,GNAI1,MAP2K4,PLCβ3,CXCL10,CCR4,RAF2,GNG7,CXCL2,CCL2,RAF4,CXCL3,PIK3R2,AKT1,GNG10,COX1,CCL3,MAPK14,MAP2K7,GRK3,PLCβ2,CCL20,PLCB3,PRKD1,CXCR6,PIK3R1,MAP2K2,MAP2K5,GRK5,CCL4,CCL11,MAP2K1,NFATC2,CCL18,CCL21,CXCR7,GNAI3,COX2,ACKR1,GRK2,CXCL5,CCL5,CXCL17,PLCB2,RAF1,PI3,CXCL8,PLD1,MAPK1,GNB5,CCL15,CCR7,GNG2,AKT2,MAPK8,NFATC1,GNG5,NFAT5,PRKD2,CCL26,PLCG1,GNAS,CCR5,CCR10,CCL17,CCL25,MAPK10,PTEN,RASGRP1,CCL24,PIK3CD,GNG11,CCL23,CXCR5,CXCL6	29	130	2	158	1188
Negative regulation of apoptotic process	0.034482758620689655	0.0009573717625718028	0.05263157894736842	36.01814882032668	0.027453537700128164	0.15134400537607348	TNFAIP3	BIRC5,NLRC5,SOD1,BIRC7,NAIP,BIRC2,AKT1,BCL2,AKT2,BIRC3,BCL2L1,AKT3,CFLAR,MCL1,SYK,BIRC6,BCL2A1,XIAP,TNFAIP3	29	19	1	160	179
Inflammatory response	0.034482758620689655	0.001007759750075582	0.05	34.217241379310344	0.0288781183348739	0.15134400537607348	TNFAIP3	CSF2,NFKB1,CCL2,IL1B,CXCL1,S100A8,IL6,TNF,PTGS2,IFNG,TLR4,STAT3,IL8,IL10,RELA,MCP1,CXCL10,S100A9,CRP,TNFAIP3	29	20	1	156	262
Regulation of immune effector process	0.034482758620689655	0.001007759750075582	0.05	34.217241379310344	0.0288781183348739	0.15134400537607348	TNFAIP3	CSF2,NFKB1,IL6,IRF3,NFKBIA,CYLD,IFNG,CD47,FOXP3,STAT3,CSF1,STAT1,LAG3,IL10,CD274,CTLA4,IRF7,PDCD1,TNFAIP3,SOCS1	29	20	1	162	261
Negative regulation of viral replication	0.034482758620689655	0.001007759750075582	0.05	34.217241379310344	0.0288781183348739	0.15134400537607348	MX1	LGALS3,ADAR,MX1,TNF,OAS1,DDX58,IFIH1,IFNG,RSAD2,PKR,IFNA2,IFI27,IFIT1,IFNB1,IFITM3,TRIM5,IL10,CXCL10,ISG15,BST2	29	20	1	158	259
Mononuclear cell migration	0.034482758620689655	0.001007759750075582	0.05	34.217241379310344	0.0288781183348739	0.15134400537607348	CCL3	CCL2,CXCL9,SELPLG,CX3CR1,CSF1R,CCR2,CCL3,CXCL12,ICAM1,ITGAM,CSF1,CCL4,ITGB2,CCR5,CXCL11,SELE,CXCR3,CXCL10,CXCR4,CCL5	29	20	1	158	265
Negative regulation of inflammatory response	0.034482758620689655	0.001007759750075582	0.05	34.217241379310344	0.0288781183348739	0.15134400537607348	TNFAIP3	IL1RN,PTGS2,TGFBR2,TNFAIP3,NLRP3,NFKBIA,CSF1R,CD47,FOXP3,BTLA,CD200,PTGES,TGFBR1,IL10,SOCS3,CD274,STAT6,CTLA4,PDCD1,BCL3	29	20	1	158	265
Pro-inflammatory cytokine production	0.034482758620689655	0.0012093117000906983	0.041666666666666664	28.514367816091955	0.034556319699222744	0.15134400537607348	FOS	CSF2,NFKB1,IL1B,IL6,TNF,TRAF6,MAPK1,IFNG,IL12B,IRAK1,FOS,MAPK14,TICAM1,STAT3,IL1A,CEBPB,NFKB2,IRAK4,STAT1,IL12A,RELA,MAPK3,JUN,MYD88	29	24	1	158	313
Cytokine-mediated signaling pathway	0.034482758620689655	0.0012596996875944774	0.04	27.373793103448275	0.03597085346008379	0.15134400537607348	CXCL8	CSF2,NFKB1,IL1B,IL6,TNF,JAK2,IL4,CXCL8,IL17A,IFNG,IL12B,NFKBIA,IL18,CXCR1,STAT3,CXCR2,JAK1,STAT5B,STAT1,IL10,CSF3,RELA,SOCS3,STAT5A,SOCS1	29	25	1	162	324
Regulation of cytokine biosynthetic process	0.034482758620689655	0.0013604756626020356	0.037037037037037035	25.34610472541507	0.03879392023393397	0.15134400537607348	CXCL8	NFKB1,IL1B,TNF,IL6,JAK2,CXCL8,AKT1,MAPK1,PIK3CA,IFNG,TBK1,IRAK1,PIK3CB,MAPK14,AKT2,MAPK8,AKT3,STAT3,PIK3CG,GATA3,STAT1,REL,SOCS3,PIK3CD,STAT6,MAPK3,NFKBIB	29	27	1	164	247
Viral defense response	0.034482758620689655	0.0014108636501058147	0.03571428571428571	24.44088669950739	0.04020245870352546	0.15134400537607348	MX1	IFIT2,IFITM1,ADAR,MX1,TLR3,OAS1,IFIT3,IRF3,DDX58,IFIH1,MDA5,IFNG,CH25H,TRIM25,PKR,RNASEL,IFNA2,RIG-I,TLR8,IFNA1,IFIT1,IFITM2,IFNB1,IFITM3,ISG15,BST2,IRF7,TLR7	29	28	1	156	368
Regulation of I-kappaB kinase/NF-kappaB signaling	0.034482758620689655	0.0014612516376095938	0.034482758620689655	23.598097502972653	0.04160900419332274	0.15134400537607348	TNFAIP3	NFKB1,CHUK,MAP3K14,TRAF5,MAP3K1,IKBKB,IKBKG,TRAF6,RIPK1,NFKBIA,RELB,TRAF2,MAP3K7,NEMO,TICAM1,MAP3K8,NFKB2,NFKBIE,TAB2,TAB1,TAB3,MAP3K3,MAP3K5,RIPK2,TANK,RELA,REL,NFKBIB,TNFAIP3	29	29	1	176	389
Neuroinflammatory response	0.034482758620689655	0.001511639625113373	0.03333333333333333	22.811494252873565	0.043013559422673514	0.15134400537607348	CXCL8	NFKB1,CCL2,IL1B,APP,IL6,TNF,SOD1,CXCL8,PTGS2,HLA-DRA,CX3CR1,AIF1,CSF1R,CCR2,TLR4,CD40,ICAM1,TYROBP,STAT3,CD80,GFAP,CD86,MAPT,APOE,VCAM1,RELA,RBFOX3,MMP9,CXCL10,NOS2	29	30	1	158	386
Regulation of interleukin-1 beta production	0.034482758620689655	0.001511639625113373	0.03333333333333333	22.811494252873565	0.043013559422673514	0.15134400537607348	TNFAIP3	NFKB1,IL1B,IL6,TNF,PTGS2,TRAF6,AKT1,IKBKG,PIK3CA,NLRP3,CASP1,IFNG,IRAK1,BCL2,MAPK14,IL18,TLR4,ASC,BTK,NLRC4,STAT3,SYK,MAP3K8,TREM1,RELA,IL10,CARD8,JUN,MYD88,TNFAIP3	29	30	1	168	388
Leukocyte migration	0.034482758620689655	0.001511639625113373	0.03333333333333333	22.811494252873565	0.043013559422673514	0.15134400537607348	CXCL8	CCL2,PECAM1,PTPRC,CXCL8,S1PR1,RHOA,SELPLG,DOCK2,CCR2,CCR7,VCL,CXCL12,SPN,ICAM1,ICAM2,LFA1,MMP2,ITGB2,CCR5,VCAM1,RHOC,SELE,CXCR3,CD44,MMP9,CXCL10,RAC1,CXCR4,DOCK8,CCL5	29	30	1	156	389
Cellular response to cytokine stimulus	0.034482758620689655	0.001511639625113373	0.03333333333333333	22.811494252873565	0.043013559422673514	0.15134400537607348	CXCL8	NFKB1,CCL2,TNF,IL6,JAK2,CXCL8,AKT1,IRF3,MAPK1,PIK3CA,IRF1,IFNGR1,TLR4,IFNAR1,STAT3,JAK1,IL2,STAT5B,IL6ST,IFNAR2,STAT1,TLR2,IL10,RELA,SOCS3,MAPK3,IRF7,STAT5A,CCL5,SOCS1	29	30	1	162	394
Regulation of lipid metabolic process	0.034482758620689655	0.001612415600120931	0.03125	21.385775862068964	0.045816709959565514	0.15544955164852586	GPD1	APOC2,ACS,CIDEC,ABCA1,ACACA,SREBF1,ADIPOQ,PPARA,SREBF2,HMGCR,APOB,APOA2,SCD,LPL,APOA5,PPARG,FABP1,GPD1,APOC3,CETP,APOC1,FASN,INSIG2,APOE,ACACB,DGAT1,APOA1,INSIG1,FABP2,CPT1A,GPD2,DGAT2	29	32	1	160	286
Regulation of cytokine production	0.034482758620689655	0.0018643555376398266	0.02702702702702703	18.495806150978567	0.052789946411607634	0.17293258307250775	CXCL8	CSF2,NFKB1,IL1B,IL6,TNF,IL4,CXCL8,TRAF6,IKBKB,TYK2,MAPK1,IRF1,IL17A,IFNG,TGFB1,IRAK1,FOXP3,MAPK14,TLR4,MAPK8,NFATC1,CARD9,STAT3,JAK1,IL2,CSF1,GATA3,CCR5,STAT1,IL12A,IL10,RELA,CXCL10,SOCS3,STAT6,MAPK3,MYD88	29	37	1	160	329
Regulation of NF-kappaB transcription factor activity	0.034482758620689655	0.0022170714501662803	0.022727272727272728	15.553291536050157	0.06246986964511854	0.19782125387620872	TNFAIP3	BIRC5,NFKB1,CHUK,MALT1,MAP3K14,NFKBID,TRAF5,TRAF6,IKBKG,IKBKB,MAP3K1,BIRC2,IKBKE,NFKBIA,CYLD,RELB,TRAF2,MAP3K7,NEMO,TLR4,BIRC3,CD40,TNIP2,TRAF3,TLR9,NFKB2,TNIP3,NFKBIE,TAB2,A20,TAB1,TNFRSF1A,TAB3,TNFRSF1B,BCL3,TANK,TLR2,RELA,REL,LTBR,CD83,TNIP1,NFKBIB,TNFAIP3	29	44	1	168	402
Immune response	0.034482758620689655	0.0024186234001813967	0.020833333333333332	14.257183908045977	0.06795829777708036	0.2082592996394398	CXCL8	CCL2,IL1B,IL6,TNF,IL4,CXCL8,PTGS2,FCGR3A,IRF3,HLA-DRA,HLA-DRB1,NLRP3,CASP1,IFNG,IL12B,TGFB1,CCR7,BCL2,FOXP3,CD28,TLR4,CD40,ICAM1,IFNAR1,STAT3,CD80,IL2,CD86,TNFRSF1A,CASP3,FCGR2A,CCR5,CD4,CD8A,IFNAR2,STAT1,VCAM1,CD3E,IL12A,LAG3,IL10,CXCL10,STAT6,CTLA4,IRF7,PDCD1,BAX,CCL5	29	48	1	154	624
Regulation of NF-kappaB signaling	0.034482758620689655	0.0027713393127078503	0.01818181818181818	12.442633228840126	0.07748848688394028	0.2300439454366977	TNFAIP3	MAP2K3,NFKB1,CHUK,LTB,TRAF5,MAP3K1,IKBKG,IKBKB,TRAF6,BIRC2,CARD10,CARMA1,MAPK9,RIPK1,NLRP3,LTA,CASP10,MAP2K6,CYLD,RELB,IRAK1,CASP8,TRAF2,MAP3K7,MAPK14,TRADD,NEMO,MAPK8,TLR4,CARD11,BIRC3,CD40,TICAM1,CARD9,TLR9,NFKB2,FADD,IKBKA,TAB2,A20,IRAK4,TAB1,TAB3,RIPK3,BCL10,CARMA3,IRAK2,TANK,CD40LG,RELA,MYD88,REL,TIRAP,TNFAIP3,FAS	29	55	1	164	492
Immune system process	0.034482758620689655	0.0029225032752191876	0.017241379310344827	11.799048751486326	0.08154398898749184	0.23474784708520374	CXCL8	NFKB1,CCL2,IL1B,IL6,TNF,JAK2,CXCL8,FCGR3A,AKT1,FCGR2B,HLA-DRA,HLA-B,HLA-DRB1,LYN,MAPK1,IFNG,RELB,CSF1R,IRAK1,FOXP3,TBX21,CD28,MAPK14,CSF3R,TLR4,MAPK8,CD79A,HLA-A,BTK,CD40,ZAP70,CSF2RB,STAT3,SYK,IL2,NFKB2,JAK1,GATA3,IRAK4,CCR5,CD4,CD8A,STAT1,TIRAP,CD3E,STAT4,CD40LG,IL10,RELA,MYD88,LCK,PIK3CD,FCGR1A,STAT6,CTLA4,MAPK3,CXCR4,PDCD1	29	58	1	156	754
Regulation of protein ubiquitination	0.034482758620689655	0.003073667237730525	0.01639344262295082	11.218767665347654	0.08558227465066061	0.23593808107944103	RNF19B	HERC3,UBR3,UBE2D3,TRIM40,UBE3B,TRIM72,SOCS4,TRIML2,UBR2,CUL1,UBE2D4,STUB1,TRIM25,RNF19B,TRIM71,CUL4B,SOCS2,TRIM32,UBR4,RNF19A,TRIM63,CUL4A,KEAP1,RNF5,CNOT4,RNF10,RNF2,SOCS6,UBE3C,CUL2,HERC2,RNF8,SOCS5,RNF7,HERC1,PARK2,HERC5,ITCH,RNF13,TRIM50,RNF11,ITCHB,UBR1,CUL3,RNF6,RNF14,CUL9,HERC6,CUL7,SOCS3,SOCS7,RNF4,RNF12,TRIM41,UBE2D1,UBE2D2,UBR5,CUL5,UBE3A,HERC4,SOCS1	29	61	1	160	554
Regulation of gene expression	0.034482758620689655	0.003124055225234304	0.016129032258064516	11.03781979977753	0.08692455618716248	0.23593808107944103	FOS	TET2,DNMT3B,NFKB1,SOX2,EED,RB1,DNMT3A,TCF7L2,EP300,BRCA2,HDAC1,IKZF3,POU5F1,KAT2B,SMAD4,KAT5,NFKBIA,MLL4,RUNX3,FOXP3,FOS,MAX,GATA2,TSC1,NANOG,SMAD3,SETD1A,CREBBP,STAT3,SETD1B,TP53,HIF1A,PAX5,KDM1A,ASH1L,TSC2,BMI1,VHL,BRCA1,EZH2,TET1,GATA3,HDAC2,MLL2,DNMT1,MYC,SUZ12,FOXP1,KDM6A,CTNNB1,GATA1,APC,RUNX1,RUNX2,MLL,EGFR,STAT6,JUN,TET3,IKZF1,KDM5B,MLL3	29	62	1	158	812
Positive regulation of MAPK cascade	0.034482758620689655	0.003577547112768316	0.014084507042253521	9.638659543467703	0.09891978885128863	0.26103833169090057	FOS	ELK1,MAP2K3,JUN,FOSL1,JUND,PDGFRB,VEGFR1,MAP3K1,BRAF,GAB1,SHC2,HRAS,DUSP2,MAPK1,MAPK9,ETV1,TGFBR2,FGFR3,FGFR4,MAP2K6,GRB2,FOSB,MAP3K7,MAP2K7,MAPK14,FOS,MAPK8,DUSP5,KRAS,ETV6,MAP4K5,MAP3K2,JUNB,MAP4K1,MAP4K2,MAPK11,DUSP6,MAP3K8,MAP2K2,MAP4K4,ETV5,MAP4K3,PDGFRA,MAP3K4,DUSP1,MAP2K5,PTPN11,FGFR1,MAP3K3,VEGFR3,MAP3K5,SOS2,TGFBR1,MAP2K4,MAPK13,MAP2K1,TGFBR3,MAPK10,VEGFR2,MAPK12,NRAS,ETV4,FGFR2,EGFR,MAPK3,FOSL2,MAP3K6,SOS1,SHC1,DUSP4,RAF1	29	71	1	160	663
Cytoskeletal organization	0.034482758620689655	0.0038798750377909905	0.012987012987012988	8.887595163457233	0.10683192925249174	0.27429819672937067	GSN	MYH10,KRT8,ANK2,TUBA1A,SCIN,RADIXE,TPM1,ANK1,MAP2,TPM3,MYLK,DNM1,TPM2,DST,DYNLL2,ARPC5,WAS,DSTN,KRT18,TUBB,DNM2,COF1,CLP1,SPTAN1,ACTG1,PFN2,CAPZB,ARPC3,ARPC2,GSN,MYH11,SPTBN1,VIM,CORO1A,PPP1R12A,WASF2,ARPC1B,WASF1,MSTN,DNM3,CAPZA2,CORO1B,FSN1,SPTBN2,DES,TLN1,VCL,DDN,CORO1C,PFN1,ACTA1,EZR,ACTB,MAPT,PAK2,PPP1R12B,PAK1,GPHN,TWF1,MYH9,MAP1A,TLN2,CAPZA1,ARPC1A,PLEC,NEB,TPM4,WASF3,TWF2,PXN,PAK3,MAP1B,FLNA,FLNB,ARPC4,DYNLL1,PPP1R12C	29	77	1	158	1001
Regulation of neuron projection development	0.0	0.004282978937821223	0.0	0.0	1.0	1.0		NTRK1,PIK3CA,CRMP5,FYN,TUBA1A,CDC42,MAP4,SSTR1,PDPK1,SMAD5,PTPRD,NEFH,MAP2,NGF,PLXNA2,AKT3,KIF1A,NTRK2,TUBB3,PLXNA3,EphA4,NEFM,PTK2,SMAD6,KIF5C,SHH,DVL3,DCX,NTRK3,MTOR,Sema3A,NTF4,PTPN11,NEFL,VIM,UNC5A,EphB2,CTNNB1,PLXNA4,RAC1,DVL1,TUBB4A,TUBA3E,BDNF,EphB4,KIF1B,CRMP4,AKT1,KIF5A,SMAD4,CDC42BPA,SMAD2,GSK3B,CRMP1,GFAP,RPS6KA1,MAPT,DVL2,CRMP2,SMAD1,PLXNA1,SSTR2,NRP2,CRMP3,KIF21A,SRC,NES,DYNC1H1,MAP1A,CDC42BPB,NTF3,GAP43,ABL1,DCC,PIK3CB,AKT2,ROBO1,ROBO2,KIF2A,SMAD3,NRP1,RPS6KB1,MAP1B,SH3GL1,SMAD7	29	85	0	160	786
Regulation of ATPase activity	0.0	0.003124055225234304	0.0	0.0	1.0	1.0		ACTN1,MYH10,S100A8,SLC8A3,ATP6V0E1,CAMK2B,MYH9,S100A4,ATP6V1C2,ATP6V0C,ATP2A3,ATP6V0D1,ATP6V1B2,MYH7B,S100A11,ATP13A2,ATP2A2,S100A3,CAMK2G,ATP1A3,S100A7,ATP6V1G1,S100A1,ATP6V1G2,CAMK2A,ATP6V0A1,ATP5F1,ATP6V1F,ATP1A2,SLC8A2,ATP6V1A,ATP6V0A2,ATP13A3,MYL2,ACTN3,CAMK2D,ATP13A1,ATP6V1H,ATP6V1E2,ATP6V0A3,ATP6V1G3,ACTN4,MYH11,SLC8A1,S100A12,ATP13A5,ACTN2,S100A2,ATP6V1E1,ATP13A4,ATP6V0A4,ATP6V1C1,MYL3,S100A6,S100A9,ATP6V1D,ATP1A1,ATP6V1B1,ATP6V0E2,ATP6V0B,ATP2A1,ATP6V0D2	29	62	0	160	660
Positive regulation of adaptive immune response	0.0	0.0018139675501360475	0.0	0.0	1.0	1.0		NFKB1,TNFRSF4,CXCL9,IKBKG,IL2RA,PRDM1,RELB,RUNX3,TBX21,FOXP3,CCR7,CD28,IRF4,CARD11,CD40,ICAM1,CD80,IL2,NFKB2,CD86,GATA3,STAT5B,ICOS,TNFRSF9,BCL10,BCL6,CXCL11,NFATC2,PTPN22,CXCR3,RELA,CXCL10,IKZF1,CTLA4,STAT5A,PDCD1	29	36	0	160	324
Regulation of neuron differentiation	0.0	0.0013100876750982565	0.0	0.0	1.0	1.0		ASCL1,SOX2,FEZF2,DLX1,TLX1,NEUROD1,POU3F2,DLX2,EMX2,HES1,TBR1,MYT1L,TBR2,TLX3,LHX2,NOTCH1,CTNNB1,SALL2,PAX6,HES5,OLIG2,NFIB,ZEB2,NEUROG2,EOMES,SOX1	29	26	0	158	351
Immune system development	0.0	0.001612415600120931	0.0	0.0	1.0	1.0		CD19,TAP2,TNF,E2A,IL15,LTA,FOXP3,PU.1,CD79A,BTK,CD40,BLNK,STAT3,IL2,CIITA,GATA3,STAT5B,CD79B,CD4,RAG1,CD8A,STAT1,IL7,CD3E,CD34,CD40LG,TAP1,RAG2,IKZF1,CTLA4,IL21,STAT5A	29	32	0	156	407
Epithelial cell migration	0.0	0.001511639625113373	0.0	0.0	1.0	1.0		PDGFRB,SRC,MET,FAK,AKT1,RHOA,HRAS,ZEB1,PIK3CA,CDC42,VCL,KRAS,SPARC,GSK3B,TWIST1,FN1,JUP,ITGB4,MMP2,CDH1,VIM,CTNNB1,PTEN,MMP9,ZEB2,EGFR,RAC1,SNAI1,OCLN,CLDN1	29	30	0	158	386
Metalloenzyme activity	0.0	0.0024690113876851758	0.0	0.0	1.0	1.0		MMP20,CA3,PRNP,MMP10,MMP27,MMP14,CA10,MMP28,TIMP3,SERPINA3,MMP8,CA8,CA6,CA7,ALPL,MMP3,MMP19,CA5A,PLOD2,TIMP1,MMP25,ALPI,MMP12,MMP23B,MMP7,CA1,CA11,MMP13,MMP16,CA9,LTF,TIMP2,ALPG,MMP15,MMP2,TIMP4,MMP11,MMP1,MMP17,CA5B,MMP21,PLOD1,MMP26,PLOD3,MMP9,CA2,ALPP,MMP24,CA4	29	49	0	156	629
Actin filament-based process	0.0	0.0018643555376398266	0.0	0.0	1.0	1.0		KRT18,MYH10,TUBB,KRT7,KRT8,MYH9,WASF1,IQGAP3,ACTG1,MYL6,TLN2,PFN2,ARPC1A,DES,TUBA1A,KRT19,MYH14,PLEC,WASF3,TLN1,VCL,ARPC3,PFN1,ACTA1,IQGAP2,ACTB,ARPC2,IQGAP1,MYOT,CAP2,GELS,CAP1,ARPC5,WASF2,ARPC4,ARPC1B,WAS	29	37	0	158	483
Negative regulation of neuron apoptosis	0.0	0.001511639625113373	0.0	0.0	1.0	1.0		BDNF,NTRK1,AKT1,CASP9,MAPK1,MAPK9,PIK3CA,NRG1,BCL2,PIK3CB,FOXO1,CREB1,MAPK8,GSK3B,NGF,BCL2L1,TP53,PIK3CG,NTRK2,CASP3,FOXO3,BAD,FOXO4,MAPK10,PTEN,PIK3CD,NGFR,MAPK3,BAX,BCL2L2	29	30	0	158	399
