database	model	descr	descr_cleaned	ninter	nunion	jaccard_similarity
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fc epsilon RI signaling pathway	Fc epsilon RI signaling pathway	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fc gamma R-mediated phagocytosis	Fc gamma R-mediated phagocytosis	4	9	0.4444444444444444
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Ferroptosis	Ferroptosis	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fluid shear stress and atherosclerosis	Fluid shear stress and atherosclerosis	2	7	0.2857142857142857
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Focal adhesion	Focal adhesion	3	6	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Folate biosynthesis	Folate biosynthesis	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	FoxO signaling pathway	FoxO signaling pathway	5	7	0.7142857142857143
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Fructose and mannose metabolism	Fructose and mannose metabolism	0	6	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	GABAergic synapse	GABAergic synapse	5	13	0.38461538461538464
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Galactose metabolism	Galactose metabolism	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Gap junction	Gap junction	3	9	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Gastric acid secretion	Gastric acid secretion	2	8	0.25
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Gastric cancer	Gastric cancer	2	9	0.2222222222222222
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glioma	Glioma	3	11	0.2727272727272727
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glucagon signaling pathway	Glucagon signaling pathway	1	6	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glutamatergic synapse	Glutamatergic synapse	1	22	0.045454545454545456
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glutathione metabolism	Glutathione metabolism	4	7	0.5714285714285714
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glycerolipid metabolism	Glycerolipid metabolism	5	11	0.45454545454545453
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glycerophospholipid metabolism	Glycerophospholipid metabolism	0	7	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	0	8	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	11	24	0.4583333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glycosaminoglycan biosynthesis	Glycosaminoglycan biosynthesis	2	7	0.2857142857142857
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glycosaminoglycan degradation	Glycosaminoglycan degradation	6	8	0.75
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glycosphingolipid biosynthesis	Glycosphingolipid biosynthesis	1	6	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1	10	0.1
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	0	4	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	GnRH secretion	GnRH secretion	3	3	1.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	GnRH signaling pathway	GnRH signaling pathway	1	3	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Graft-versus-host disease	Graft-versus-host disease	5	10	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Growth hormone synthesis, secretion and action	Growth hormone synthesis, secretion and action	4	6	0.6666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	HIF-1 signaling pathway	HIF-1 signaling pathway	3	11	0.2727272727272727
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Hedgehog signaling pathway	Hedgehog signaling pathway	6	9	0.6666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Hematopoietic cell lineage	Hematopoietic cell lineage	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Hepatitis B	Hepatitis B	1	5	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Hepatitis C	Hepatitis C	1	5	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Hepatocellular carcinoma	Hepatocellular carcinoma	4	9	0.4444444444444444
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Herpes simplex virus 1 infection	Herpes simplex virus 1 infection	1	8	0.125
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Hippo signaling pathway	Hippo signaling pathway	7	14	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Histidine metabolism	Histidine metabolism	0	4	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Homologous recombination	Homologous recombination	4	8	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Human T-cell leukemia virus 1 infection	Human T-cell leukemia virus 1 infection	1	3	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Human cytomegalovirus infection	Human cytomegalovirus infection	0	8	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Human immunodeficiency virus 1 infection	Human immunodeficiency virus 1 infection	3	5	0.6
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Human papillomavirus infection	Human papillomavirus infection	2	5	0.4
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Huntington disease	Huntington disease	1	4	0.25
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Hypertrophic cardiomyopathy	Hypertrophic cardiomyopathy	2	9	0.2222222222222222
KEGG_2021_Human	gpt-4o-mini-2024-07-18	IL-17 signaling pathway	IL-17 signaling pathway	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Inflammatory bowel disease	Inflammatory bowel disease	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Inflammatory mediator regulation of TRP channels	Inflammatory mediator regulation of TRP channels	1	6	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Influenza A	Influenza A	0	12	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Inositol phosphate metabolism	Inositol phosphate metabolism	1	6	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Insulin resistance	Insulin resistance	4	12	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Insulin secretion	Insulin secretion	4	5	0.8
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Insulin signaling pathway	Insulin signaling pathway	5	13	0.38461538461538464
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Intestinal immune network for IgA production	Intestinal immune network for IgA production	2	12	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	JAK-STAT signaling pathway	JAK-STAT signaling pathway	11	17	0.6470588235294118
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Kaposi sarcoma-associated herpesvirus infection	Kaposi sarcoma-associated herpesvirus infection	0	8	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Legionellosis	Legionellosis	0	6	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Leishmaniasis	Leishmaniasis	2	8	0.25
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Leukocyte transendothelial migration	Leukocyte transendothelial migration	1	5	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Linoleic acid metabolism	Linoleic acid metabolism	0	4	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Lipid and atherosclerosis	Lipid and atherosclerosis	4	8	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Long-term depression	Long-term depression	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Long-term potentiation	Long-term potentiation	2	6	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Longevity regulating pathway	Longevity regulating pathway	2	7	0.2857142857142857
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Lysine degradation	Lysine degradation	0	5	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Lysosome	Lysosome	2	7	0.2857142857142857
KEGG_2021_Human	gpt-4o-mini-2024-07-18	MAPK signaling pathway	MAPK signaling pathway	3	10	0.3
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Malaria	Malaria	0	5	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Mannose type O-glycan biosynthesis	Mannose type O-glycan biosynthesis	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Maturity onset diabetes of the young	Maturity onset diabetes of the young	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Measles	Measles	0	5	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Melanogenesis	Melanogenesis	4	10	0.4
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Melanoma	Melanoma	3	6	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Metabolism of xenobiotics by cytochrome P450	Metabolism of xenobiotics by cytochrome P450	7	14	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	MicroRNAs in cancer	MicroRNAs in cancer	3	9	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Mineral absorption	Mineral absorption	2	6	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Mismatch repair	Mismatch repair	4	4	1.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Mitophagy	Mitophagy	4	6	0.6666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Morphine addiction	Morphine addiction	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Mucin type O-glycan biosynthesis	Mucin type O-glycan biosynthesis	3	11	0.2727272727272727
KEGG_2021_Human	gpt-4o-mini-2024-07-18	N-Glycan biosynthesis	N-Glycan biosynthesis	6	13	0.46153846153846156
KEGG_2021_Human	gpt-4o-mini-2024-07-18	NF-kappa B signaling pathway	NF-kappa B signaling pathway	7	14	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	NOD-like receptor signaling pathway	NOD-like receptor signaling pathway	4	8	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Natural killer cell mediated cytotoxicity	Natural killer cell mediated cytotoxicity	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Necroptosis	Necroptosis	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Neomycin, kanamycin and gentamicin biosynthesis	Neomycin, kanamycin and gentamicin biosynthesis	0	5	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Neuroactive ligand-receptor interaction	Neuroactive ligand-receptor interaction	0	9	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Neurotrophin signaling pathway	Neurotrophin signaling pathway	4	9	0.4444444444444444
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Neutrophil extracellular trap formation	Neutrophil extracellular trap formation	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	1	5	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Nicotine addiction	Nicotine addiction	0	5	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Nitrogen metabolism	Nitrogen metabolism	4	9	0.4444444444444444
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Non-alcoholic fatty liver disease	Non-alcoholic fatty liver disease	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Non-homologous end-joining	Non-homologous end-joining	0	6	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Non-small cell lung cancer	Non-small cell lung cancer	2	7	0.2857142857142857
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Notch signaling pathway	Notch signaling pathway	11	17	0.6470588235294118
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Nucleotide excision repair	Nucleotide excision repair	7	14	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Olfactory transduction	Olfactory transduction	1	7	0.14285714285714285
KEGG_2021_Human	gpt-4o-mini-2024-07-18	One carbon pool by folate	One carbon pool by folate	4	8	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Oocyte meiosis	Oocyte meiosis	3	6	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Osteoclast differentiation	Osteoclast differentiation	4	7	0.5714285714285714
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Other glycan degradation	Other glycan degradation	0	5	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Other types of O-glycan biosynthesis	Other types of O-glycan biosynthesis	2	8	0.25
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Ovarian steroidogenesis	Ovarian steroidogenesis	4	9	0.4444444444444444
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Oxidative phosphorylation	Oxidative phosphorylation	9	19	0.47368421052631576
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Oxytocin signaling pathway	Oxytocin signaling pathway	1	5	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	PD-L1 expression and PD-1 checkpoint pathway in cancer	PD-L1 expression and PD-1 checkpoint pathway in cancer	3	8	0.375
KEGG_2021_Human	gpt-4o-mini-2024-07-18	PI3K-Akt signaling pathway	PI3K-Akt signaling pathway	8	11	0.7272727272727273
KEGG_2021_Human	gpt-4o-mini-2024-07-18	PPAR signaling pathway	PPAR signaling pathway	2	9	0.2222222222222222
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pancreatic cancer	Pancreatic cancer	4	7	0.5714285714285714
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pancreatic secretion	Pancreatic secretion	1	6	0.16666666666666666
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	3	10	0.3
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Parathyroid hormone synthesis, secretion and action	Parathyroid hormone synthesis, secretion and action	1	3	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Parkinson disease	Parkinson disease	5	12	0.4166666666666667
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pathogenic Escherichia coli infection	Pathogenic Escherichia coli infection	3	4	0.75
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pathways in cancer	Pathways in cancer	7	11	0.6363636363636364
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pathways of neurodegeneration	Pathways of neurodegeneration	8	13	0.6153846153846154
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	2	4	0.5
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pentose phosphate pathway	Pentose phosphate pathway	3	7	0.42857142857142855
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Peroxisome	Peroxisome	4	13	0.3076923076923077
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Pertussis	Pertussis	0	6	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Phagosome	Phagosome	0	9	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Phenylalanine metabolism	Phenylalanine metabolism	1	4	0.25
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	1	3	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Phosphatidylinositol signaling system	Phosphatidylinositol signaling system	2	6	0.3333333333333333
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Phospholipase D signaling pathway	Phospholipase D signaling pathway	3	5	0.6
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism	0	2	0.0
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Phototransduction	Phototransduction	2	10	0.2
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Platelet activation	Platelet activation	3	10	0.3
KEGG_2021_Human	gpt-4o-mini-2024-07-18	Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	3	6	0.5
