lib_name	descr	num_genes
KEGG_2021_Human	Sphingolipid signaling pathway	119
KEGG_2021_Human	Spinocerebellar ataxia	143
KEGG_2021_Human	Spliceosome	150
KEGG_2021_Human	Staphylococcus aureus infection	95
KEGG_2021_Human	Starch and sucrose metabolism	36
KEGG_2021_Human	Steroid biosynthesis	20
KEGG_2021_Human	Steroid hormone biosynthesis	61
KEGG_2021_Human	Sulfur metabolism	10
KEGG_2021_Human	Sulfur relay system	8
KEGG_2021_Human	Synaptic vesicle cycle	78
KEGG_2021_Human	Synthesis and degradation of ketone bodies	10
KEGG_2021_Human	Systemic lupus erythematosus	135
KEGG_2021_Human	T cell receptor signaling pathway	104
KEGG_2021_Human	TGF-beta signaling pathway	94
KEGG_2021_Human	TNF signaling pathway	112
KEGG_2021_Human	Taste transduction	86
KEGG_2021_Human	Taurine and hypotaurine metabolism	11
KEGG_2021_Human	Terpenoid backbone biosynthesis	22
KEGG_2021_Human	Th1 and Th2 cell differentiation	92
KEGG_2021_Human	Th17 cell differentiation	107
KEGG_2021_Human	Thermogenesis	232
KEGG_2021_Human	Thiamine metabolism	15
KEGG_2021_Human	Thyroid cancer	37
KEGG_2021_Human	Thyroid hormone signaling pathway	121
KEGG_2021_Human	Thyroid hormone synthesis	75
KEGG_2021_Human	Tight junction	169
KEGG_2021_Human	Toll-like receptor signaling pathway	104
KEGG_2021_Human	Toxoplasmosis	112
KEGG_2021_Human	Transcriptional misregulation in cancer	192
KEGG_2021_Human	Tryptophan metabolism	42
KEGG_2021_Human	Tuberculosis	180
KEGG_2021_Human	Type I diabetes mellitus	43
KEGG_2021_Human	Type II diabetes mellitus	46
KEGG_2021_Human	Tyrosine metabolism	36
KEGG_2021_Human	Ubiquinone and other terpenoid-quinone biosynthesis	11
KEGG_2021_Human	Ubiquitin mediated proteolysis	140
KEGG_2021_Human	VEGF signaling pathway	59
KEGG_2021_Human	Valine, leucine and isoleucine degradation	48
KEGG_2021_Human	Various types of N-glycan biosynthesis	39
KEGG_2021_Human	Vascular smooth muscle contraction	133
KEGG_2021_Human	Vasopressin-regulated water reabsorption	44
KEGG_2021_Human	Vibrio cholerae infection	50
KEGG_2021_Human	Viral carcinogenesis	203
KEGG_2021_Human	Viral myocarditis	60
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	100
KEGG_2021_Human	Vitamin B6 metabolism	6
KEGG_2021_Human	Vitamin digestion and absorption	24
KEGG_2021_Human	Wnt signaling pathway	166
KEGG_2021_Human	Yersinia infection	137
KEGG_2021_Human	alpha-Linolenic acid metabolism	25
KEGG_2021_Human	beta-Alanine metabolism	30
KEGG_2021_Human	cAMP signaling pathway	216
KEGG_2021_Human	cGMP-PKG signaling pathway	167
KEGG_2021_Human	mRNA surveillance pathway	98
KEGG_2021_Human	mTOR signaling pathway	154
KEGG_2021_Human	p53 signaling pathway	73
Reactome_2022	2-LTR Circle Formation R-HSA-164843	8
Reactome_2022	GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475	26
Reactome_2022	ABC Transporter Disorders R-HSA-5619084	77
Reactome_2022	ABC Transporters In Lipid Homeostasis R-HSA-1369062	18
Reactome_2022	ABC-family Proteins Mediated Transport R-HSA-382556	102
Reactome_2022	ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821	131
Reactome_2022	ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592	25
Reactome_2022	ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170	22
Reactome_2022	AKT Phosphorylates Targets In Cytosol R-HSA-198323	14
Reactome_2022	AKT Phosphorylates Targets In Nucleus R-HSA-198693	10
Reactome_2022	ALK Mutants Bind TKIs R-HSA-9700645	12
Reactome_2022	AMPK Inhibits chREBP Transcriptional Activity R-HSA-163680	8
Reactome_2022	APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337	14
Reactome_2022	APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409	26
Reactome_2022	APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143	87
Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048	24
Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154	67
Reactome_2022	APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409	75
Reactome_2022	APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178	73
Reactome_2022	APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419	73
Reactome_2022	APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway R-HSA-5649702	7
Reactome_2022	APOBEC3G Mediated Resistance To HIV-1 R-HSA-180689	6
Reactome_2022	ARMS-mediated Activation R-HSA-170984	7
Reactome_2022	ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994	27
Reactome_2022	ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183	9
Reactome_2022	ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033	11
Reactome_2022	AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408	54
Reactome_2022	AURKA Activation By TPX2 R-HSA-8854518	72
Reactome_2022	Abacavir ADME R-HSA-2161522	10
Reactome_2022	Abacavir Metabolism R-HSA-2161541	5
Reactome_2022	Abacavir Transmembrane Transport R-HSA-2161517	5
Reactome_2022	Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787	17
Reactome_2022	Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139	36
Reactome_2022	Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136	20
Reactome_2022	Abortive Elongation Of HIV-1 Transcript In Absence Of Tat R-HSA-167242	23
Reactome_2022	Acetylcholine Neurotransmitter Release Cycle R-HSA-264642	17
Reactome_2022	Acetylcholine Binding And Downstream Events R-HSA-181431	14
Reactome_2022	Acetylcholine Inhibits Contraction Of Outer Hair Cells R-HSA-9667769	5
Reactome_2022	Acetylcholine Regulates Insulin Secretion R-HSA-399997	10
Reactome_2022	Acrosome Reaction And Sperm:Oocyte Membrane Binding R-HSA-1300645	6
Reactome_2022	Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948	31
Reactome_2022	Activated NTRK2 Signals Thru CDK5 R-HSA-9032845	5
Reactome_2022	Activated NTRK2 Signals Thru FRS2 And FRS3 R-HSA-9028731	9
Reactome_2022	Activated NTRK2 Signals Thru FYN R-HSA-9032500	6
Reactome_2022	Activated NTRK2 Signals Thru PI3K R-HSA-9028335	6
Reactome_2022	Activated NTRK2 Signals Thru RAS R-HSA-9026519	7
Reactome_2022	Activated NTRK3 Signals Thru PI3K R-HSA-9603381	6
Reactome_2022	Activated NTRK3 Signals Thru RAS R-HSA-9034864	7
Reactome_2022	Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886	36
Reactome_2022	Activated Point Mutants Of FGFR2 R-HSA-2033519	17
Reactome_2022	Activation Of AMPK Downstream Of NMDARs R-HSA-9619483	10
Reactome_2022	Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814	76
Reactome_2022	Activation Of ATR In Response To Replication Stress R-HSA-176187	36
Reactome_2022	Activation Of BAD And Translocation To Mitochondria R-HSA-111447	15
Reactome_2022	Activation Of BH3-only Proteins R-HSA-114452	30
Reactome_2022	Activation Of C3 And C5 R-HSA-174577	6
Reactome_2022	Activation Of Ca-permeable Kainate Receptor R-HSA-451308	9
Reactome_2022	Activation Of G Protein Gated Potassium Channels R-HSA-1296041	29
Reactome_2022	Activation Of GABAB Receptors R-HSA-991365	42
Reactome_2022	Activation Of HOX Genes During Differentiation R-HSA-5619507	91
Reactome_2022	Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964	17
Reactome_2022	Activation Of Matrix Metalloproteinases R-HSA-1592389	33
Reactome_2022	Activation Of NF-kappaB In B Cells R-HSA-1169091	66
Reactome_2022	Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767	7
Reactome_2022	Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755	74
Reactome_2022	Activation Of NOXA And Translocation To Mitochondria R-HSA-111448	5
Reactome_2022	Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209	10
Reactome_2022	Activation Of PUMA And Translocation To Mitochondria R-HSA-139915	9
Reactome_2022	Activation Of RAC1 R-HSA-428540	12
Reactome_2022	Activation Of RAC1 Downstream Of NMDARs R-HSA-9619229	7
Reactome_2022	Activation Of SMO R-HSA-5635838	18
Reactome_2022	Activation Of TRKA Receptors R-HSA-187015	6
Reactome_2022	Activation Of Caspases Thru Apoptosome-Mediated Cleavage R-HSA-111459	6
Reactome_2022	Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168	42
Reactome_2022	Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326	29
Reactome_2022	Activation Of AP-1 Family Of Transcription Factors R-HSA-450341	10
Reactome_2022	Activation Of TFAP2 (AP-2) Family Of Transcription Factors R-HSA-8866907	12
Reactome_2022	mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662	58
Reactome_2022	Activation Of Phototransduction Cascade R-HSA-2485179	11
Reactome_2022	Activation Of Pre-Replicative Complex R-HSA-68962	32
Reactome_2022	Acyl Chain Remodeling Of CL R-HSA-1482798	6
Reactome_2022	Acyl Chain Remodeling Of DAG And TAG R-HSA-1482883	7
Reactome_2022	Acyl Chain Remodelling Of PC R-HSA-1482788	27
Reactome_2022	Acyl Chain Remodelling Of PE R-HSA-1482839	29
Reactome_2022	Acyl Chain Remodelling Of PG R-HSA-1482925	18
Reactome_2022	Acyl Chain Remodelling Of PI R-HSA-1482922	17
Reactome_2022	Acyl Chain Remodelling Of PS R-HSA-1482801	22
Reactome_2022	Adaptive Immune System R-HSA-1280218	733
Reactome_2022	Adenylate Cyclase Activating Pathway R-HSA-170660	9
Reactome_2022	Adenylate Cyclase Inhibitory Pathway R-HSA-170670	13
Reactome_2022	Adherens Junctions Interactions R-HSA-418990	29
Reactome_2022	Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042	28
Reactome_2022	Adrenoceptors R-HSA-390696	9
Reactome_2022	Advanced Glycosylation Endproduct Receptor Signaling R-HSA-879415	13
Reactome_2022	Aflatoxin Activation And Detoxification R-HSA-5423646	19
Reactome_2022	Aggrephagy R-HSA-9646399	24
Reactome_2022	Alpha-defensins R-HSA-1462054	8
Reactome_2022	Alpha-oxidation Of Phytanate R-HSA-389599	6
Reactome_2022	Alpha-protein Kinase 1 Signaling Pathway R-HSA-9645460	11
Reactome_2022	Amine Ligand-Binding Receptors R-HSA-375280	40
Reactome_2022	Amino Acid Conjugation R-HSA-156587	9
Reactome_2022	Amino Acid Transport Across Plasma Membrane R-HSA-352230	33
Reactome_2022	Amino Acids Regulate mTORC1 R-HSA-9639288	55
Reactome_2022	Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444	93
Reactome_2022	Amyloid Fiber Formation R-HSA-977225	79
Reactome_2022	Anchoring Fibril Formation R-HSA-2214320	7
Reactome_2022	Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912	97
Reactome_2022	Androgen Biosynthesis R-HSA-193048	11
Reactome_2022	Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851	165
Reactome_2022	Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170	28
Reactome_2022	Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695	31
Reactome_2022	Antigen processing-Cross Presentation R-HSA-1236975	104
Reactome_2022	Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	307
Reactome_2022	Antimicrobial Peptides R-HSA-6803157	89
Reactome_2022	Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410	83
Reactome_2022	Apoptosis R-HSA-109581	178
Reactome_2022	Apoptosis Induced DNA Fragmentation R-HSA-140342	13
Reactome_2022	Apoptotic Cleavage Of Cell Adhesion Proteins R-HSA-351906	11
Reactome_2022	Apoptotic Cleavage Of Cellular Proteins R-HSA-111465	38
Reactome_2022	Apoptotic Execution Phase R-HSA-75153	52
Reactome_2022	Apoptotic Factor-Mediated Response R-HSA-111471	20
Reactome_2022	Aquaporin-mediated Transport R-HSA-445717	50
Reactome_2022	Arachidonate Production From DAG R-HSA-426048	5
Reactome_2022	Arachidonic Acid Metabolism R-HSA-2142753	59
Reactome_2022	Aryl Hydrocarbon Receptor Signaling R-HSA-8937144	7
Reactome_2022	Asparagine N-linked Glycosylation R-HSA-446203	282
Reactome_2022	Aspartate And Asparagine Metabolism R-HSA-8963693	11
Reactome_2022	Aspirin ADME R-HSA-9749641	44
Reactome_2022	Assembly Of HIV Virion R-HSA-175474	18
Reactome_2022	Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736	25
Reactome_2022	Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889	19
Reactome_2022	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	57
Reactome_2022	Assembly Of ORC Complex At Origin Of Replication R-HSA-68616	38
Reactome_2022	Assembly Of Pre-Replicative Complex R-HSA-68867	110
Reactome_2022	Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471	38
Reactome_2022	Asymmetric Localization Of PCP Proteins R-HSA-4608870	62
Reactome_2022	Atorvastatin ADME R-HSA-9754706	9
Reactome_2022	Attachment And Entry R-HSA-9678110	5
Reactome_2022	Attachment Of GPI Anchor To uPAR R-HSA-162791	7
Reactome_2022	Attenuation Phase R-HSA-3371568	26
Reactome_2022	Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084	63
Reactome_2022	Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425	51
Reactome_2022	Autophagy R-HSA-9612973	128
Reactome_2022	Axon Guidance R-HSA-422475	519
Reactome_2022	Axonal Growth Inhibition (RHOA Activation) R-HSA-193634	8
Reactome_2022	Azathioprine ADME R-HSA-9748787	21
Reactome_2022	B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924	59
Reactome_2022	BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922	23
Reactome_2022	BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453	9
